sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
AAPL,2025-01-02,0,110,Long,11:31:00,11:50:00,11:54:00,0,,245.1351584576148,244.88,245.18066808350497,3,122,34,122,Long Lose,-18.608469,-0.130856839602,0.600005,0.868464,4,1,25.0,1.0,2.0,4.0,2.0,47.54,21,3,9,1.859813004,-18.6084690671,3.2197754416,-19.7684370377,0.0223143766,-0.1308568396,0.0386314547,-0.1390138643,21,23,21,23,0.082453422,-0.0681399181,0.0345991267,0.0311782443,2.3831070283,-2.1854956751,-0.0005289899,0.0108413788,0.9368697166,5.7401431173,-3.3714132032,20,22,0.0185662638,0.034645333,0.0261105261,-0.0979112272,0.0407963446,-0.0979112272,0.0632343342,-0.1305483029,21,23,10,2,245.12,0.274275,0.390425,0.358974,0.641026,0.6,0.0,0.0,0.6,1.666667,0.1672,0.1672,1.42995,0.889158,3.0,21.0,2.0,0.2,1.186342,-0.004213,6,244.97,245.15,244.9,245.12,90573.0,1321.0,245.035638,0.0536781246,0.0225655059,0.0098182056,0.0106472065,61.2314404202,6.9132604196,61.9939647931,2.0508532753,246.0684395573,-0.9484395573,1.3753415509,-0.6896029257,244.8772105296,0.2427894704,244.8859517151,0.2340482849,True,0.25,0.1701588143,0.147,63339.9594715551,1087.6547493749,0.0006121325,0.0003167215,0.0828,0.0828,0.1913707114,26.3986052025,21.4728244075,-0.0251252412,0.3028788931,-2.8913604191,-0.3698455547,0.6596451214,0.0004463379,0.0049046593,0.3196082922,-2.7526615785,-0.4664467429,0.638090116,0.0006214177
AAPL,2025-01-02,1,204,Short,13:22:00,13:27:00,13:30:00,0,,242.52489712971538,242.71,242.52489712971538,2,123,11,123,Short Lose,-2.256708,-0.084591443157,0.112255,0.164454,3,0,0.0,1.0,,3.0,,8.94,5,2,5,0.0,-2.2567084155,0.0,-2.5865698963,0.0,-0.0845914432,0.0,-0.0969561149,5,8,5,7,0.0442685583,0.0719887121,0.0225748935,0.0476802717,1.9609642108,1.5098217688,-0.0033867197,0.0071299621,-0.8896685294,0.5154761233,-1.7298177341,6,8,0.0,0.0235864136,0.0529224299,-0.0561533704,0.0,-0.078334364,0.0453514739,-0.1106575964,0,2,4,2,242.55,0.345,0.345,0.607692,0.392308,0.627222,-0.0,-0.0,0.627222,1.594331,0.0016,0.0016,0.581209,0.970104,6.0,6.0,14.0,0.272727,0.796942,-0.002768,9,242.6629,242.68,242.5,242.55,63383.0,953.0,242.591697,0.0170299672,0.0008156017,0.0005436045,0.0078353805,46.475346665,3.3197197946,51.7916498653,9.7994871158,245.2225805883,2.6725805883,1.7803386661,1.5011641544,242.704371352,0.154371352,242.683993566,0.133993566,False,0.18,0.2107191417,0.2,109053.6411151057,1105.5966637649,-0.0003709887,0.0004867649,0.1784,0.1784,0.2172128394,18.756590693,8.5025734393,-0.3391008593,0.271939893,-2.8045333054,-1.0,0.711191811,0.000396865,-0.4294902057,0.3289972592,-2.6915412074,-1.0,0.6842748003,0.0005423308
AAPL,2025-01-02,2,280,Long,14:24:00,14:25:00,14:30:00,1,14:28:00,242.5951352889685,242.48,242.65281920314592,5,107,27,123,Long Lose,-18.921087,-0.063396470601,1.277435,1.833652,5,3,60.0,2.0,1.0,5.0,4.0,100.0,5,5,7,4.4170598484,-18.9210867258,8.5169465686,-21.0503279229,0.0444055029,-0.0633964706,0.0856224068,-0.0705306473,4,6,4,6,0.0545626659,-0.0657228101,0.0384146108,0.0352002097,1.4203623235,-1.8671141616,0.005433836,0.0178709304,0.3385200986,1.7821645392,-1.9523459598,4,6,0.0237789639,0.0896443399,0.0096866092,-0.0393266162,0.0723461336,-0.0393266162,0.1056129882,-0.0840122053,4,6,4,1,242.5838,0.22425,0.22425,0.75641,0.24359,0.424193,0.0,0.0,0.424193,2.357418,0.1197,0.1347,0.975934,0.999839,2.0,2.0,12.0,0.533333,0.729756,-0.003709,8,242.48,242.6247,242.38,242.5838,70633.0,1088.0,242.528258,0.0750130493,0.0428164788,0.0176388629,0.0072788538,63.3150971094,4.8933412318,77.6173075498,4.7131222999,244.8077058547,-2.2239058547,1.9330672375,-1.1504544754,242.3381884787,0.2456115213,242.3445071962,0.2392928038,True,0.2447,0.1535667246,0.13,72374.7755466617,1114.9193263382,0.0004692263,0.0003041353,0.125,0.11,0.1535915242,26.6627723585,22.8142046962,-0.1168562947,0.3390634777,-2.9353033774,-0.7731040239,0.8054822848,0.0003574023,-0.1032937415,0.372323762,-2.897508221,-0.6976732512,0.7924878835,0.0004344816
AAPL,2025-01-02,3,283,Long,14:44:00,14:49:00,14:54:00,0,,242.52509215772565,242.36,242.53872579730788,3,123,6,123,Long Lose,-2.186075,-0.081939111639,0.112137,0.163938,5,0,0.0,1.0,,5.0,,8.94,8,3,6,0.0,-2.1860748503,0.8828712077,-2.6260627027,0.0,-0.0819391116,0.0330920428,-0.098430868,5,10,9,10,0.0803979169,-0.0501406234,0.012858153,0.0211018224,6.2526800382,-2.3761276389,0.0283666953,0.0234995155,0.6424952609,1.5292450388,-1.1099644071,8,10,0.0056216581,0.0019328158,0.0129679971,-0.0576859878,0.0222249803,-0.0576859878,0.0799522019,-0.1442768202,2,10,0,5,242.5199,0.25875,0.25875,0.817949,0.182051,0.657045,0.0,0.0,0.657045,1.521966,0.2699,0.2829,1.14558,1.278098,7.0,9.0,17.0,0.277778,0.887219,0.000575,10,242.29,242.5199,242.17,242.5199,98227.0,1561.0,242.310311,0.0043056825,-0.0185732949,0.0038030016,0.0095379879,51.2798682366,8.5242041038,59.0206822384,2.1174331869,244.6944356445,-2.1745356445,1.953230992,-1.1133018334,242.378824107,0.141075893,242.3826502108,0.1372497892,True,0.3499,0.2017544483,0.15,85744.3190711232,1265.1954470683,0.000948413,0.0005025212,0.08,0.067,0.157855228,15.7309873574,1.4632738217,-0.105114891,0.369797744,-2.9505217671,-0.8508521433,0.8149862361,0.0004006999,-0.0725293967,0.3912902817,-2.9222157696,-0.8036986449,0.8057902543,0.0004949149
AAPL,2025-01-02,4,260,Short,14:58:00,14:58:00,15:03:00,0,,242.02488059325506,242.24,241.9946551601837,3,123,25,123,Short Lose,-11.679985,-0.109694243764,0.452122,0.657863,5,1,20.0,1.0,2.0,5.0,2.0,35.77,2,4,6,0.8713612306,-11.6799851048,3.3388608097,-10.799985069,0.0144011843,-0.1096942438,0.0551821086,-0.1014295981,2,5,2,5,0.061904132,-0.0628154398,0.0374342836,0.024023067,1.6536748127,-2.61479684,0.0063850112,0.0189379102,-0.1378856372,2.2622590555,-2.7015854252,2,5,0.0124883002,0.0995610452,0.0135694649,-0.078502665,0.0289220345,-0.078502665,0.0655703838,-0.0950295418,2,5,2,0,242.03,0.2484,0.2484,0.841026,0.158974,0.978723,-0.0,-0.0,0.978723,1.021739,0.145,0.145,2.540029,1.029752,1.0,22.0,44.0,0.220588,1.231592,-4.7e-05,15,242.26,242.26,242.025,242.03,278259.0,1280.0,242.125782,0.0903596643,0.0421197427,0.0242972146,0.0119713535,35.8113772796,7.3198459506,45.6750410072,15.1094620093,244.6409525153,2.6109525153,1.9626558085,1.3303160462,242.3747105125,0.3447105125,242.3630799154,0.3330799154,False,0.235,0.1743469692,0.17,109549.5156106391,1205.6483006955,-0.0009911213,0.0004935818,0.09,0.09,0.169309709,26.1208949968,26.1589333175,-0.4249897221,0.2829917897,-2.9296543302,-0.9583295167,0.6615588194,0.0004299862,-0.510331603,0.3518534308,-2.8950143774,-1.0,0.6339398663,0.0004868269
AAPL,2025-01-02,6,304,Long,15:09:00,15:09:00,15:21:00,1,15:11:00,242.70512697257502,243.09,242.89353690533798,5,99,20,123,Long Win,17.690128,0.059217889592,1.274443,1.835429,12,12,100.0,,1.0,,12.0,100.0,3,13,13,49.3691880523,0.0,52.3391061616,-3.9352974327,0.1652638758,0.0,0.1752057079,-0.0330815647,5,0,5,2,0.0619179391,0.1683562749,0.0194538311,0.091816995,3.1828146708,1.8336068928,0.0857401313,0.0667768941,1.5899296988,3.1725173618,-0.1052587711,4,12,0.0776368061,0.2242240451,-0.0100991968,0.1766927146,0.304432317,0.0,0.3126735816,-0.0787864903,9,0,5,0,242.6812,0.302565,0.302565,0.869231,0.130769,0.446218,0.0,0.0,0.446218,2.241055,0.1381,0.1381,0.615826,1.003824,2.0,2.0,18.0,0.285714,1.028519,0.000516,10,242.575,242.728,242.49,242.6812,46676.0,860.0,242.592218,0.1264741723,0.0866076497,0.0375088083,0.0011788571,66.3122965947,3.9619919365,86.131390259,13.868609741,244.5920719501,-1.9108719501,1.9715389992,-0.9692285828,242.354743237,0.326456763,242.3643741869,0.3168258131,True,0.238,0.1821078378,0.1754,75794.1577808845,1122.4804050173,0.0005407732,0.000487338,0.0999,0.0999,0.1814141832,39.1117926031,24.3507924328,-0.3374765666,0.3427152071,-2.9699056103,-0.8882289265,0.7143106727,0.0003999583,-0.3461007956,0.3592822764,-2.9517725091,-0.8357676775,0.7137465085,0.00042774
AAPL,2025-01-03,0,162,Short,12:19:00,12:20:00,12:26:00,0,,242.70484649980108,242.93,242.70484649980108,2,122,38,122,Short Lose,-9.321587,-0.10107129559,0.391681,0.569907,6,0,0.0,1.0,,6.0,,31.15,1,4,7,0.0,-9.3215874471,0.5605637691,-10.4615877025,0.0,-0.1010712956,0.006078032,-0.113431991,1,7,3,7,0.0533644971,-0.0224886811,0.0297738916,0.0207172826,1.7923252275,-1.0855034182,-0.0170572392,0.0102167392,-1.9702656571,-1.4644924906,-2.3989209687,3,4,0.0,0.1012357266,0.1455108181,-0.0865221554,0.0,-0.0865221554,0.0213833327,-0.1020137414,0,7,0,7,242.7124,0.197685,0.196693125,0.435897,0.564103,0.850667,-0.016899,-0.0,0.850667,1.175549,0.06,0.06,1.481543,0.990758,2.0,2.0,5.0,0.5,0.707107,-0.000612,4,242.84,242.85,242.7,242.7124,98860.0,1334.0,242.759425,0.1076568426,0.1054480744,-0.0098744274,0.0060415978,28.8196332445,3.3415071038,37.4362753763,-1.6374749626,243.0857760323,0.3733760323,0.4475728821,0.8342239828,243.1116464856,0.3992464856,243.0930208421,0.3806208421,False,0.15,0.1350470544,0.1197,66727.7436838121,1101.7835749537,-0.0004922311,0.000301435,0.09,0.09,0.1363068326,38.6654253202,21.2502733859,-0.3426580082,0.2738075859,-2.5487494558,-0.8424831823,0.6245678199,0.0030888755,-0.4457449391,0.3541808774,-2.5709312995,-0.8804740589,0.6740096455,0.0018022644
AAPL,2025-01-03,1,167,Short,12:28:00,12:30:00,13:06:00,2,12:39:00,242.76488117974375,242.56,242.66448179287067,6,25,18,123,Short Win,6.718246,0.022507799452,1.275082,1.846673,36,31,86.1111111111,1.0,3.0,6.0,36.0,100.0,10,37,39,12.2190214805,-4.9109551324,13.7190235821,-9.3109552754,0.0409367717,-0.036791701,0.0459621531,-0.0697554494,36,7,36,7,0.0434567339,0.0075458689,0.011271742,0.0224410963,3.8553698012,0.3362522419,0.0427333097,0.0310365501,1.3634070187,2.9785178501,-0.2791570666,5,19,0.0413556442,0.0649106035,0.0958036311,0.0909088288,0.1856072417,-0.0161057327,0.2021248857,-0.0573792472,36,4,36,3,242.7707,0.197685,0.197685,0.461538,0.538462,0.581378,-0.0,-0.0,0.581378,1.72005,0.0164,0.0464,0.67598,0.952149,3.0,3.0,9.0,0.307692,0.989949,-0.000535,4,242.85,242.9064,242.77,242.7707,39279.0,830.0,242.841366,0.0263935998,0.0213692326,-0.0072936697,0.0061590184,40.2884897634,4.2658603944,36.8609508565,4.2718581177,243.0776122285,0.3069122285,0.4424868552,0.6936075611,242.9701679656,0.1994679656,242.954237639,0.183537639,False,0.1364,0.1225386198,0.12,58106.7160388421,950.3087609922,-0.0003265923,0.0003013303,0.12,0.09,0.128696887,20.1299261146,4.995504807,-0.3248567567,0.3085316953,-2.689415481,-0.8780764258,0.7224190066,0.0031956247,-0.3922224278,0.3806111733,-2.7069629281,-0.9130623867,0.7692611794,0.0019781032
AAPL,2025-01-03,2,100,Short,13:15:00,13:15:00,13:18:00,0,,242.71490033934538,243.09,242.71490033934538,2,123,12,123,Short Lose,-4.741882,-0.162806993347,0.122414,0.179468,3,0,0.0,1.0,,3.0,,9.76,0,1,2,0.0,-4.7418819798,0.0,-4.9818819886,0.0,-0.1628069933,0.0,-0.171047114,0,3,0,3,0.0239500974,-0.063703705,0.0222243431,0.0343128914,1.0776515307,-1.8565531041,-0.0266174014,0.0147783759,-2.2547064083,-1.9452676913,-2.5641451253,2,3,0.0,-0.1055900219,0.023112705,-0.1429082845,0.0,-0.1429082845,0.0095162334,-0.1511474477,0,3,0,3,242.7431,0.207,0.207,0.576923,0.423077,0.816111,-0.0,-0.0,0.816111,1.225323,0.065,0.13,0.901473,1.139276,46.0,46.0,11.0,0.104,2.418848,-0.000878,13,242.89,242.9,242.72,242.7431,55641.0,860.0,242.79638,-0.0968774659,-0.0903798605,-0.0180495229,0.0057759587,67.5736355487,7.3577153745,92.0488809211,2.2959441412,243.0181555222,0.2750555222,0.4460356198,0.6166671674,242.6149483721,-0.1281516279,242.6150158707,-0.1280841293,True,0.18,0.1194657609,0.11,61722.3149746281,861.2189530859,-0.0006012781,0.0003219329,0.115,0.05,0.1048610816,47.5059390688,-23.6171341114,-0.0177647468,0.3556494011,-2.8177195762,0.2694500303,0.7651546136,0.0032214826,-0.0466796509,0.4006031342,-2.826705351,0.4442563353,0.7999514116,0.0019526784
AAPL,2025-01-03,3,75,Long,13:30:00,13:30:00,13:34:00,0,,243.01513389297335,242.73,243.0244928341506,4,102,22,102,Long Lose,-10.065827,-0.129434311757,0.328587,0.47724,4,0,0.0,1.0,,4.0,,31.37,2,4,5,0.0,-10.0658265504,0.4940355559,-10.3858176984,0.0,-0.1294343118,0.0063526976,-0.1335490095,0,4,3,4,0.0409528905,-0.0935634381,0.0264045455,0.0357182904,1.5509788079,-2.6194825411,-0.0139837046,0.0127427398,-0.1191653839,3.8278874296,-3.2581774481,1,4,0.0038513369,0.0372913242,0.0024849658,-0.111808399,0.012345425,-0.111808399,0.0226332792,-0.1172815374,2,4,3,4,243.005,0.18354,0.18354,0.615385,0.384615,0.478239,0.0,0.0,0.478239,2.091004,0.11,0.1453,1.19793,1.020052,1.0,1.0,13.0,0.042424,1.978619,-0.000716,7,242.9094,243.05,242.8501,243.005,61341.0,1031.0,242.966832,0.0157803988,0.0069428256,-0.0128222574,0.0108299153,55.2554757422,5.4830626237,29.4061295727,6.6492095706,243.0164617634,-0.0114617634,0.4376924572,-0.0261867966,242.8382171265,0.1667828735,242.8379688434,0.1670311566,True,0.1999,0.1200468149,0.1064,51205.8194365238,793.6826460422,0.0004527681,0.0003709836,0.0899,0.0546,0.1176869469,29.6402431546,12.4280896381,-0.2093477345,0.356134758,-2.9310533909,-0.6739862032,0.7563006915,0.0024839858,-0.1956783014,0.3896452993,-2.9307762975,-0.6936015069,0.7624266952,0.0019624539
