sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
AMZN,2025-01-02,0,117,Long,11:39:00,11:41:00,11:47:00,0,,223.71520258608118,223.29,223.71841734418777,3,110,26,110,Long Lose,-13.887554,-0.200245299747,0.321981,0.445573,6,0,0.0,1.0,,6.0,,28.18,3,3,7,0.0,-14.817695135,2.7355161912,-15.1275199543,0.0,-0.2136570477,0.0470295089,-0.2181244264,2,7,3,8,0.119169434,-0.112779268,0.0685527081,0.0689568462,1.7383621641,-1.6355050182,-0.0593567091,0.0375670772,-1.44292886,0.7394476971,-2.5872412295,3.0,4.0,0.0014371488,0.1437759563,0.1837038181,-0.160937011,0.0178818901,-0.1856587241,0.2566051232,-0.1967007913,3,7,0,8,223.69,0.5175,0.5021666667,0.335897,0.664103,0.689714,0.0,0.0,0.689714,1.449876,0.1,0.18,0.972946,1.223864,3.0,3.0,11.0,0.357143,0.396264,0.0,5,223.4486,223.77,223.42,223.69,54525.0,927.0,223.668865,0.1687135624,0.1542029674,-0.0007345179,0.0076225564,63.6468616694,3.6647571289,61.2396355959,1.6207864063,222.7914133162,0.8985866838,1.0035526511,0.89540562,223.1013769999,0.5886230001,223.1109285022,0.5790714978,True,0.35,0.3463344433,0.3,56041.1278960244,970.6088789146,0.0011629989,0.0008109833,0.25,0.17,0.2829843629,64.5135509431,29.0965912371,-0.3531820597,0.2357923972,-2.6830965984,-0.8933039569,0.4051854875,0.0012076226,-0.3148093013,0.2087501631,-2.7020685406,-0.7212117834,0.3829489994,0.0008928275
AMZN,2025-01-02,1,116,Long,11:49:00,11:49:00,11:53:00,1,11:51:00,223.73520675723043,223.41,223.87061949591885,5,64,41,106,Long Lose,-28.428518,-0.119816513687,1.104067,1.524451,4,3,75.0,4.0,1.0,4.0,3.0,60.38,1,4,5,3.7345239403,-28.4285178445,6.0713980818,-27.7885354348,0.0291404682,-0.1198165137,0.0648960386,-0.1171192059,3,4,2,4,0.0823230228,-0.1411832193,0.0706562828,0.0463624142,1.1651196391,-3.0452085319,0.0183582891,0.0341279115,0.6146016024,2.584435147,-3.5229349032,1.0,4.0,0.0605318337,0.1812256009,0.1651843137,-0.127399924,0.0782280235,-0.127399924,0.1050490601,-0.1452806151,3,4,3,0,223.705,0.3795,0.3795,0.35641,0.64359,0.792683,0.0,0.0,0.792683,1.261538,0.32,0.32,1.90427,0.879974,2.0,2.0,13.0,0.304348,0.769309,-0.003333,7,223.38,223.79,223.38,223.705,101061.0,1223.0,223.641007,0.0665366709,0.0464859338,-0.0148132452,0.0174319911,57.9803919756,6.2422470608,47.1865754705,9.2946788016,222.809986025,0.895013975,0.9972751874,0.8974593836,223.265981071,0.439018929,223.2780580171,0.4269419829,True,0.41,0.2459161651,0.22,53070.7314736939,864.3649303638,0.0013558281,0.0007905558,0.09,0.09,0.2794584947,33.308367834,27.6541524712,-0.3545730268,0.2548374797,-2.7034637807,-0.9397175772,0.5056967644,0.0010923215,-0.3156465267,0.2198908239,-2.7211160609,-0.7632209916,0.4125375716,0.000859656
AMZN,2025-01-02,2,118,Long,11:54:00,11:54:00,11:55:00,0,,223.53513761193238,223.1,223.53513761193238,2,119,12,119,Long Lose,-5.455894,-0.203394346181,0.123478,0.172416,1,0,0.0,1.0,,1.0,,10.08,0,1,2,0.0,-5.4558939796,0.0,-7.1358478812,0.0,-0.2033943462,0.0,-0.2660226023,0,1,0,1,-0.0752804301,-0.0334769575,0.0657885232,0.0,-1.1442790695,0.0,-0.0272587262,0.0350577303,-2.2225678605,-2.2225678605,-2.2225678605,1.0,1.0,0.0,-0.0413829428,0.1570295422,-0.1745861298,0.0,-0.1745861298,0.0134228188,-0.2416107383,0,1,1,1,223.5,0.3795,0.3795,0.369231,0.630769,0.572917,-0.017287,-0.037821,0.572917,1.745455,0.042,0.042,0.522184,0.920521,7.0,7.0,13.0,0.192308,0.523678,-0.004199,5,223.39,223.52,223.328,223.5,31055.0,607.0,223.447593,0.0400036277,0.0828642469,-0.0103688935,-0.0162458629,53.088514061,-3.734703566,55.9657395984,-1.6796301612,222.8290276985,0.6709723015,0.9952116573,0.6742006051,223.4054904906,0.0945095094,223.4087027725,0.0912972275,True,0.192,0.2445979545,0.1953,59471.3791495392,815.0341546973,0.0003580059,0.000829184,0.15,0.15,0.265716874,32.9494316687,-8.070497415,-0.2333707513,0.2829436606,-2.8131727161,-0.8364029116,0.5850232689,0.0011114411,-0.193562493,0.2617112921,-2.8254470444,-0.099263155,0.5865738758,0.0007815808
AMZN,2025-01-02,3,146,Short,12:02:00,12:03:00,12:05:00,0,,222.88487028658253,223.44,222.88487028658253,2,88,5,88,Short Lose,-2.873275,-0.257825905506,0.051334,0.07194,2,0,0.0,1.0,,2.0,,5.68,1,1,3,0.0,-2.8732746753,0.0,-2.8732746753,0.0,-0.2578259055,0.0,-0.2578259055,1,3,1,3,0.0551444405,-0.1406981648,0.033840092,0.0275995357,1.629559412,-5.0978453456,-0.092982388,0.0255552309,-3.4557621822,-2.8565349261,-4.0549894384,2.0,3.0,0.0,0.032503266,0.1041410874,-0.2422611036,0.0,-0.2422611036,0.1204127411,-0.2422611036,0,3,0,3,222.9,0.3312,0.3312,0.392308,0.607692,0.573536,-0.008502,-0.0,0.573536,1.743571,0.3028,0.3678,0.965032,1.147058,3.0,3.0,3.0,0.714286,0.0,-0.0032,5,223.1683,223.2178,222.75,222.9,42141.0,798.0,222.89221,0.1390312288,0.1338520454,0.010675822,-0.0027483193,39.9626890151,2.1350127886,25.4500109254,-0.7299962069,222.8344348637,-0.0655651363,0.9845656535,-0.066592955,223.2336846474,0.3336846474,223.2323853986,0.3323853986,False,0.4678,0.2801138114,0.2,43667.9905935063,698.7705228718,-0.0012051954,0.0009902262,0.165,0.1,0.2442019407,26.4010552426,7.0366423852,-0.1000289029,0.2958649423,-2.9122106434,-0.3520532671,0.690177956,0.0010705146,-0.1083982637,0.2953278174,-2.9178730153,-0.4470421446,0.7074704842,0.0010589898
AMZN,2025-01-02,5,124,Long,12:14:00,12:14:00,12:17:00,0,,223.6251514844855,222.97,223.6251514844855,2,64,8,64,Long Lose,-5.397368,-0.301697278719,0.082453,0.114915,3,0,0.0,1.0,,3.0,,12.5,0,1,2,0.0,-5.3973679725,0.0,-5.1573745664,0.0,-0.3016972787,0.0,-0.2882823406,0,3,0,3,0.1417400534,-0.1595299982,0.080712018,0.0626610436,1.7561207966,-2.5459199082,-0.0304145387,0.0282002388,-1.7326144321,-0.6321519758,-3.8043706965,2.0,3.0,0.0,0.0729453822,0.0567284946,-0.2683363148,0.0,-0.2683363148,0.0089445438,-0.2683363148,0,3,0,3,223.6,0.422625,0.422625,0.420513,0.579487,0.909327,0.0,0.0,0.909327,1.099714,0.1955,0.2076,1.550268,1.008645,1.0,8.0,32.0,0.15,0.740489,-0.001174,6,223.25,223.62,223.2351,223.6,49737.0,718.0,223.427211,0.0813346067,0.0078459125,0.0305997857,0.0214444542,57.0119264171,7.4030477497,38.8999113825,4.4509622231,222.8404839074,0.7595160926,0.9758122761,0.7783424243,223.1721811166,0.4278188834,223.2028512696,0.3971487304,True,0.3849,0.2661158896,0.25,32082.8435590098,576.9729916022,0.0016529754,0.0009430265,0.1894,0.1773,0.263835012,21.8352350867,23.7773354202,-0.3044580124,0.2792681714,-2.8113369879,-0.8877950907,0.5276305869,0.0012520824,-0.2887641773,0.2633258743,-2.8227300614,-0.7421645784,0.5342150309,0.0012065609
AMZN,2025-01-02,6,147,Short,12:18:00,12:19:00,12:52:00,2,12:24:00,222.69483001109296,219.34,222.20172416162896,6,38,13,63,Short Win,111.956907,0.799362595615,0.654755,0.918338,33,31,93.9393939394,1.0,2.0,3.0,33.0,60.32,3,34,35,146.9184025117,-5.9023602025,155.6576735076,-6.4728728085,1.048984637,-0.0698140413,1.1113822731,-0.0765621538,32,4,33,5,0.1229450796,0.1477571905,0.0774415377,0.047214455,1.5875857235,3.1294905421,0.4427299994,0.2932458311,1.5426271638,3.0443879219,0.0668244499,6.0,4.0,0.2214116337,0.5565451919,0.0401217135,1.5221588613,1.9352521216,-0.0179605765,2.0295451484,-0.1032733151,32,2,33,1,222.71,0.422625,0.422625,0.433333,0.566667,0.73913,-0.0,-0.0,0.73913,1.352941,0.075,0.075,1.256908,0.971688,2.0,11.0,8.0,0.409091,0.8,0.005072,9,222.88,222.94,222.71,222.71,41561.0,821.0,222.798617,0.1220422392,0.0442728107,0.0326046709,0.0225823788,40.0108883151,4.6176202185,54.3404602518,1.4992861826,222.8431477704,0.1331477704,0.9714886833,0.1370554003,223.1570460912,0.4470460912,223.1552075464,0.4452075464,False,0.23,0.2578534477,0.235,33066.053483427,613.1664299368,-0.0007405995,0.0009329519,0.155,0.155,0.2653664825,27.5163242543,22.1099917839,-0.2165604223,0.2818319108,-2.9112868894,-0.5055117996,0.6220335591,0.0012148232,-0.2302353325,0.2946457636,-2.9158373157,-0.5619836567,0.6503712071,0.001167317
AMZN,2025-01-02,7,203,Short,13:14:00,13:14:00,13:19:00,0,,218.8648748328197,219.28,218.8025472412736,3,118,4,118,Short Lose,-6.459911,-0.227107137865,0.134081,0.18583,5,1,20.0,1.0,2.0,5.0,2.0,11.02,2,2,6,0.0219695958,-6.459910634,1.0804323141,-6.1999106817,0.0025094931,-0.2271071379,0.0984590669,-0.2179664781,2,5,3,5,0.1695418277,-0.147773122,0.1271146727,0.0489702911,1.3337707134,-3.0176075858,-0.0266104096,0.0252787885,-0.9514392436,1.6169206641,-3.7638557336,2.0,5.0,0.0284750401,0.1353771532,0.1370414779,-0.1713228408,0.033168102,-0.1713228408,0.1164995317,-0.1713228408,2,5,2,5,218.885,0.53475,0.53475,0.574359,0.425641,0.854167,-0.032598,-0.0,0.854167,1.170732,0.08,0.08,0.646451,0.966966,2.0,2.0,19.0,0.47619,1.488646,-0.002894,10,219.09,219.09,218.85,218.885,38153.0,694.0,218.965648,0.0713396958,-0.0061004422,0.0264135003,0.0255133188,42.6412206317,5.1363258641,53.8969966538,-3.1674111171,222.1977378285,3.3127378285,1.5795928108,2.0972099935,219.3596307833,0.4746307833,219.3379447036,0.4529447036,False,0.24,0.303932397,0.31,59019.2068732077,921.8379156341,-0.0008904822,0.0008670605,0.16,0.16,0.3143153944,25.818636394,12.4330499308,-0.3724245381,0.1736442902,0.5414380144,-0.9322231471,0.4518907378,0.0005637268,-0.4864263455,0.214764802,0.8120401072,-0.8875215893,0.3975959861,0.0008204849
AMZN,2025-01-02,8,208,Short,13:32:00,13:32:00,13:37:00,1,13:35:00,218.67477385523742,219.17,218.72710355030839,5,60,28,75,Short Lose,-27.075968,-0.165059746066,0.785504,1.070464,5,1,20.0,1.0,3.0,5.0,3.0,100.0,4,5,6,1.3389731234,-27.0759681877,2.1085771557,-27.0699681893,0.0204104804,-0.1650597461,0.0344375923,-0.165023169,3,5,2,5,0.1673437251,-0.1916049693,0.0915393848,0.0495167199,1.8281062891,-3.8695004359,0.007358091,0.0332204382,0.0703470641,2.3070436324,-3.8762028455,3.0,5.0,-0.0239265215,0.1648818569,0.079280486,-0.208586713,0.0548671757,-0.208586713,0.064011705,-0.2102784509,3,5,4,5,218.71,0.43125,0.43125,0.620513,0.379487,0.81,-0.0,-0.0,0.81,1.234568,0.16,0.21,1.63235,1.069443,5.0,5.0,15.0,0.235294,0.986231,-0.003048,8,219.0259,219.08,218.69,218.71,60910.0,1204.0,218.916577,0.0871992687,0.0117813677,0.0235568725,0.0259305143,43.7677770175,6.7562693229,46.8259176101,8.6717356004,222.1028469748,3.3928469748,1.6434756413,2.0644339895,219.2267758136,0.5167758136,219.2014783817,0.4914783817,False,0.39,0.3163622888,0.297,37314.2943225397,727.1514746255,-0.0015990135,0.001064534,0.23,0.18,0.295819572,18.9197983785,19.0758786671,-0.3981193856,0.1742656479,0.4922070159,-0.9480103518,0.3639484636,0.0006000409,-0.5147344316,0.2173383331,0.784008028,-1.0,0.3528306699,0.0007867843
AMZN,2025-01-02,10,207,Short,13:49:00,13:49:00,13:59:00,0,,218.7748317308619,219.14,218.7536725823595,4,81,11,81,Short Lose,-6.899605,-0.185532472295,0.175535,0.244069,10,1,10.0,1.0,4.0,10.0,4.0,20.99,4,7,10,0.0549105088,-6.8996046486,1.6013566423,-7.4096047537,0.0020915994,-0.1855324723,0.0432299341,-0.1992465306,4,10,6,10,0.194376016,-0.0028010943,0.0801437334,0.0128057847,2.4253426649,-0.2187366371,0.0051635598,0.0402430172,-0.081387936,1.5731813496,-2.3281392634,4.0,10.0,0.0096705432,0.0906573819,0.0635053883,-0.1508226691,0.033820841,-0.1508226691,0.0731261426,-0.21023766,4,10,6,0,218.8,0.50025,0.50025,0.664103,0.335897,0.836735,-0.0,-0.0,0.836735,1.195122,0.3125,0.3125,1.148233,1.133584,18.0,18.0,30.0,0.211538,1.003454,-0.002643,11,219.21,219.26,218.77,218.8,46642.0,884.0,219.053227,0.0194256048,-0.0549819735,0.0136425062,0.030382536,46.8324168727,7.3281620537,52.5058529534,6.3009569047,221.9976627729,3.1976627729,1.7084230685,1.8717042821,219.1674731421,0.3674731421,219.1404122726,0.3404122726,False,0.49,0.3084699288,0.28,40620.6730717946,768.2743051267,-0.0017813193,0.0010552094,0.1775,0.1775,0.2721191733,28.5914572062,15.325709481,-0.3550249686,0.2207891472,-0.3937546394,-0.581405639,0.6003620604,0.0007000055,-0.4473420791,0.2607974679,-0.1857818138,-0.7008153088,0.4819502817,0.0008905987
AMZN,2025-01-02,11,218,Long,14:13:00,14:18:00,14:35:00,1,14:25:00,219.6550822334235,219.64,219.86206200433995,6,68,1,73,Long Lose,-16.026196,-0.099854666262,0.764318,1.041878,17,4,23.5294117647,2.0,1.0,17.0,15.0,100.0,13,15,22,1.6078372517,-16.0261956435,6.4128635016,-18.0661394268,0.0365783076,-0.1263822003,0.0775393439,-0.1582315978,12,22,16,22,0.0358844492,0.068769335,0.020102036,0.0281011532,1.7851151568,2.447206864,0.027560816,0.0378173324,0.5875125032,3.9961326086,-2.7105993215,6.0,8.0,0.0942402089,0.0955215324,-0.0084211645,0.0136593362,0.1320402495,-0.0510403861,0.1684651459,-0.1079542868,12,2,13,4,219.63,0.370875,0.370875,0.738462,0.261538,0.622222,0.0,0.0,0.622222,1.607143,0.055,0.105,0.972657,0.958318,7.0,8.0,62.0,0.185714,0.900575,-0.001403,13,219.49,219.715,219.49,219.63,32434.0,584.0,219.595927,0.061872188,0.0657694173,-0.0127390424,0.0044209066,59.7091620746,2.5408171819,51.5991202401,3.3983297563,221.867564955,-2.237564955,1.7676762529,-1.2658228289,219.3947791636,0.2352208364,219.3879510197,0.2420489803,True,0.225,0.199711849,0.185,33345.7740753188,648.1807879162,0.000569301,0.0005879291,0.17,0.12,0.2083982225,28.3139192949,6.4676730281,-0.2339810487,0.2660016317,-2.1646365509,-0.6665289635,0.6449523593,0.000745924,-0.1752526864,0.2752420054,-2.1254202583,-0.4678025305,0.5365341647,0.0008145987
