sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
META,2025-01-02,0,131,Long,11:48:00,11:48:00,11:55:00,0,,600.3451316145207,599.31,601.1093610890618,4,42,4,42,Long Lose,-43.906189,-0.304341380103,0.250348,0.59584,7,1,14.2857142857,2.0,1.0,7.0,1.0,57.14,4,7,8,2.8194301697,-43.9061886112,3.6194080226,-51.3459827245,0.1174087213,-0.3043413801,0.1507219694,-0.3559112676,1,7,1,7,0.0675646977,-0.1074045115,0.0280914549,0.0289121809,2.4051690453,-3.7148533374,-0.0058110927,0.0602787393,-0.2056706471,1.8701180532,-3.1449010987,1.0,7.0,0.1273206508,0.1765339461,0.1563791564,-0.1597027856,0.1441090231,-0.1597027856,0.1732640277,-0.2065840331,4,7,1,7,600.24,1.01775,1.01775,0.353846,0.646154,0.811024,0.0,0.0,0.811024,1.23301,0.415,0.415,2.464568,0.92355,1.0,2.0,4.0,0.714286,0.57735,0.000937,5,599.725,600.33,599.695,600.24,51342.0,811.0,599.937208,0.3573512111,0.3251700383,0.0090756797,0.0115527465,62.7028228649,3.523353626,85.1588824075,3.3675594908,597.2715570577,2.9684429423,4.3661140948,0.6798821281,599.0386611879,1.2013388121,599.0828739002,1.1571260998,True,0.635,0.6151328583,0.5997,20832.0442603649,480.8677910373,0.0009667473,0.0006863961,0.22,0.22,0.6660527032,30.9203279872,22.2173039541,-0.3769961464,0.1377310475,-2.043188466,-0.8220198686,0.1765369302,0.0002494011,-0.2746434193,0.0935133148,-2.281706042,-0.7268332356,0.1524910765,0.0002553135
META,2025-01-02,1,144,Long,12:05:00,12:14:00,12:18:00,0,,601.3451786492493,599.95,601.3451786492493,2,30,9,30,Long Lose,-12.826788,-0.237001764669,0.093188,0.2236,4,0,0.0,1.0,,4.0,,30.0,9,3,6,0.0,-12.8267881663,0.0,-12.4802977693,0.0,-0.2370017647,0.0,-0.2305996292,9,13,9,13,0.1205943534,-0.0995494294,0.0634606609,0.0554424882,1.9003009381,-1.7955440431,-0.0316426852,0.0188390729,-2.0526022776,0.2445427817,-4.0174531322,10.0,12.0,0.0,0.0498174135,0.0478329009,-0.1906369813,0.0,-0.1906369813,0.0382571379,-0.2237210888,0,13,1,4,601.195,1.01775,1.0547142857,0.420513,0.579487,0.824121,0.0,0.0,0.824121,1.213415,0.632,0.6608,2.31309,0.948671,2.0,10.0,10.0,0.4,0.801234,-0.003449,8,600.375,601.37,600.375,601.195,37204.0,623.0,600.801936,0.2675067666,0.1112364855,0.0679742663,0.0441480074,61.1407822597,6.6706941182,64.1297847736,5.1082668773,597.5330032269,3.6619967731,4.269042199,0.8578028987,600.0029407314,1.1920592686,600.0443381273,1.1506618727,True,0.995,0.5911088626,0.59,16084.1126289883,398.9280190416,0.0013648812,0.000763626,0.363,0.3342,0.6230915838,22.8517187992,24.8409430042,-0.4479143723,0.1280548901,-1.9894358701,-0.8817398665,0.2211517802,0.0002502744,-0.3373619377,0.1010179973,-2.2456431939,-0.8575979542,0.3339701783,0.0002671351
META,2025-01-02,2,194,Short,13:16:00,13:16:00,13:19:00,0,,590.1948682944243,591.67,590.1948682944243,2,31,1,31,Short Lose,-1.504936,-0.254989681555,0.01026,0.024676,3,0,0.0,1.0,,3.0,,3.23,0,1,2,0.0,-1.5049360152,0.0,-1.2048360058,0.0,-0.2549896816,0.0,-0.2041420674,0,3,0,3,0.0696751028,-0.0970087728,0.0248305526,0.1034864084,2.8060230401,-0.9374059295,-0.0115921955,0.0056128915,-0.9000268951,2.8335750752,-4.6336288654,2.0,1.0,0.0,0.0632562038,0.2469263082,-0.1575256614,0.0,-0.1575256614,0.0609607372,-0.1897083235,0,3,0,0,590.38,1.438995,1.438995,0.579487,0.420513,0.746672,-0.0,-0.0,0.746672,1.339276,1.1499,1.1499,1.447099,1.049576,1.0,4.0,17.0,0.3125,1.1541,-0.004239,10,591.485,591.5,590.0201,590.38,22655.0,556.0,590.703779,0.0183539039,-0.0718314505,0.0087846795,0.0407003375,47.8234500715,4.8203571221,58.5679538168,6.1206185885,596.7227622326,6.3427622326,4.4319613244,1.4311411514,591.2004353046,0.8204353046,591.1559622118,0.7759622118,False,1.4799,0.8953046249,0.8342,15655.4561391297,428.5958968933,-0.0014486944,0.0009838784,0.33,0.33,0.853015747,21.9410499999,5.7240129672,-0.3406501647,0.1042690808,0.0038763524,-0.8619963842,0.3014728854,0.0002819699,-0.3997410394,0.1296475591,-0.0423489179,-0.8651404387,0.2880920904,0.0002904964
META,2025-01-02,4,219,Long,13:44:00,13:44:00,13:51:00,1,13:47:00,592.6251270560425,591.71,593.1688527271938,5,14,1,19,Long Lose,-20.705744,-0.183718257761,0.197836,0.467908,7,2,28.5714285714,2.0,1.0,7.0,3.0,100.0,4,7,8,0.244471827,-20.7057435808,3.2503886197,-20.8443397459,0.0329219056,-0.1837182578,0.0970416111,-0.1849479961,3,7,3,7,0.1254934673,-0.0727001571,0.033459191,0.0377411302,3.7506426007,-1.926284582,0.0258227374,0.0439980412,0.76389543,5.0794167989,-2.4369204368,1.0,7.0,0.0918021326,0.1626763826,0.0102550139,-0.0481191328,0.1975417032,-0.0481191328,0.2218545283,-0.1669480651,3,7,3,0,592.28,1.2075,1.2075,0.651282,0.348718,0.980174,0.0,0.0,0.980174,1.020227,0.6188,0.7188,0.723003,0.934164,1.0,7.0,14.0,0.285714,0.906531,-0.00235,10,591.2912,592.3,591.2912,592.28,6739.0,290.0,591.761812,0.2015690241,0.092810724,0.0600761903,0.0243410549,55.1924827765,3.680759592,32.4131606375,1.8043990192,596.4668614138,-4.1868614138,4.4603470712,-0.9386851173,591.4699596125,0.8100403875,591.4823238665,0.7976761335,True,1.0088,0.7357855748,0.75,9320.8412735406,315.2735819545,0.0012840009,0.001210928,0.39,0.29,0.7876409593,16.9438771609,14.018545294,-0.0517829514,0.131680038,-2.0371047914,-0.2967594473,0.26330322,0.0003048,-0.058193445,0.1392799231,-2.056462539,-0.2562737591,0.2544676398,0.0003006495
META,2025-01-02,5,274,Long,14:19:00,14:19:00,14:36:00,1,14:25:00,595.255111017488,594.65,595.6809705268711,6,18,1,21,Long Lose,-18.447902,-0.147474799332,0.219159,0.518743,17,6,35.2941176471,1.0,4.0,17.0,14.0,100.0,7,15,17,4.2313724399,-18.447901685,10.351303195,-18.447901685,0.0362914172,-0.1474747993,0.0827495933,-0.1474747993,9,17,10,17,0.0891508993,0.0736298057,0.0302186303,0.0600732968,2.9501965662,1.2256661387,0.0272802198,0.0541815583,0.3037840355,4.8344351686,-4.560984708,3.0,1.0,0.0715573924,0.1422669942,0.1985328667,-0.0806546469,0.1596289886,-0.1092198343,0.1881941761,-0.1209819703,6,2,10,0,595.13,0.98325,0.98325,0.741026,0.258974,0.763889,0.0,0.0,0.763889,1.309091,0.2187,0.32,1.328717,0.956506,1.0,1.0,13.0,0.666667,0.685119,-0.010288,10,594.58,595.13,594.41,595.13,13839.0,372.0,594.746227,0.2539478176,0.1936853961,-0.0157980877,0.0380302547,64.4064618489,4.7930428036,46.4964467072,9.9856321487,596.2855489402,-1.1555489402,4.383878032,-0.2635905771,593.9182763249,1.2117236751,593.9662654171,1.1637345829,True,0.72,0.6093638723,0.57,10415.3112558842,316.2609996394,0.0006891625,0.0005619216,0.5013,0.4,0.6370725286,23.1801668914,15.2796791045,-0.2901627006,0.0920488001,-2.780445404,-0.7491573691,0.2023129109,0.0002856559,-0.274017819,0.0848719021,-2.7714585448,-0.6924996051,0.2268027992,0.0002620376
META,2025-01-02,6,276,Long,14:39:00,14:43:00,14:44:00,0,,595.5351012878864,594.8,595.5351012878864,2,24,1,24,Long Lose,-0.764908,-0.128440454303,0.010207,0.024701,1,0,0.0,1.0,,1.0,,4.17,4,1,6,0.0,-0.7649079896,0.0886683596,-0.6549110374,0.0,-0.1284404543,0.0148888553,-0.1099701824,4,5,5,5,0.0420332285,-0.0995122835,0.0263272767,0.0330909786,1.5965657578,-3.0072330183,-0.0416890182,0.0021866399,,,,,,0.0,0.00747574,0.1450822912,-0.0814585275,0.0075580077,-0.0814585275,0.0486903652,-0.0893356511,2,5,0,2,595.395,0.87975,0.87975,0.802564,0.197436,0.210647,0.0,0.0,0.210647,4.747268,0.0,0.0,0.636352,0.927637,5.0,21.0,3.0,0.405405,1.681703,-0.005485,15,595.3218,595.5725,595.225,595.395,6430.0,230.0,595.424958,-0.0201634143,-0.0644773435,0.001751293,0.0212813181,51.0996646725,2.6907436891,62.2353365433,3.5791634169,596.2553717583,-0.8603717583,4.308831778,-0.1996763398,595.1094395145,0.2855604855,595.1146937016,0.2803062984,True,0.3475,0.5065904312,0.4899,10104.4702412568,322.6607076301,0.0003527692,0.0005204598,0.3475,0.3475,0.5461086116,27.7471234253,-5.3825648009,-0.2174748487,0.1473814665,-2.8338649447,-0.5827759437,0.3236983545,0.0002931816,-0.2060499524,0.1481808907,-2.8250334943,-0.5551762685,0.4056714145,0.000271717
META,2025-01-02,7,281,Long,14:48:00,14:48:00,14:56:00,0,,595.6851489782547,595.53,596.4852290038498,3,32,4,32,Long Lose,-23.645893,-0.165175178714,0.252575,0.593318,8,1,12.5,2.0,1.0,8.0,1.0,75.0,1,9,9,2.179828078,-23.6458930323,4.9140410515,-22.2059329058,0.0914840701,-0.1651751787,0.1467466349,-0.1551165326,1,8,2,8,0.0725980093,0.0666776746,0.0159261974,0.02348116,4.5584019613,2.839624388,0.0675109258,0.0677582763,1.0466502531,3.4835292022,-0.3780163973,1.0,8.0,0.1343543284,0.1062648778,0.0947309691,0.0151133501,0.1829051217,0.0,0.2048698573,-0.1863979849,1,0,2,0,595.5,0.98325,0.98325,0.815385,0.184615,0.834586,0.0,0.0,0.834586,1.198198,1.05,1.05,2.772616,1.260149,26.0,26.0,3.0,0.297297,0.272727,-0.005261,11,594.39,595.72,594.39,595.5,43968.0,967.0,595.074087,-0.0196945414,-0.0558490029,0.0053179166,0.0154182724,49.8645582939,4.9148794603,63.0909780467,2.5746317583,596.2423264124,-0.7423264124,4.2863465837,-0.1731839453,595.1134356795,0.3865643205,595.1115907072,0.3884092928,True,1.33,0.6798735143,0.4992,15857.9496753902,416.3714037823,0.0016470315,0.0008112592,0.28,0.28,0.5395185639,28.1862452153,-8.0532663193,-0.2718882522,0.1776500436,-2.8469517406,-0.7541591818,0.4067950521,0.0003028374,-0.2293228796,0.1487912723,-2.8381416909,-0.6340466171,0.388383289,0.0002613158
META,2025-01-02,8,282,Long,15:04:00,15:04:00,15:26:00,2,15:13:00,595.5351143675815,596.0,596.5586146824241,7,5,1,22,Long Win,2.537059,0.019334846637,0.22842,0.544521,22,17,77.2727272727,2.0,1.0,6.0,22.0,100.0,8,23,23,7.8868822929,-4.5962150893,9.1861463459,-6.1261203606,0.0764070719,-0.0856675424,0.1066311533,-0.1141830105,10,2,9,5,0.0689346126,0.0584989961,0.0580376253,0.0220592949,1.1877572918,2.6518978206,0.0634419708,0.0649875239,1.1576652789,4.1502203386,-0.868141648,1.0,22.0,0.1719301722,0.1059013661,0.0652548914,0.1196875525,0.2889299513,0.0,0.3359650596,-0.0554342348,10,0,10,0,595.3,0.98325,0.98325,0.85641,0.14359,0.568966,0.0,0.0,0.568966,1.757576,0.26,0.26,1.431003,0.994434,42.0,42.0,3.0,0.192308,0.282843,-0.00062,10,594.97,595.55,594.97,595.3,15911.0,379.0,595.207482,-0.1422335021,-0.2703735305,0.0072346495,0.0604526894,48.4760051857,4.4976633228,41.0494705284,10.245440102,596.2247058622,-0.9247058622,4.2413376092,-0.2180222249,595.1464509731,0.1535490269,595.1406073709,0.1593926291,True,0.58,0.6582671408,0.5849,11118.7724470383,354.4679729847,0.0008570781,0.000932819,0.32,0.32,0.6619515233,33.6722496779,3.3188800082,-0.1512076977,0.211326392,-2.8809105732,-0.6086969757,0.5184912649,0.0003467897,-0.1560706037,0.17588036,-2.8750685409,-0.5709662158,0.407263879,0.0002783629
META,2025-01-03,0,136,Long,12:06:00,12:07:00,12:10:00,0,,602.1451042335395,601.31,602.1451042335395,2,27,2,27,Long Lose,-1.730185,-0.143668461397,0.020421,0.049765,3,0,0.0,1.0,,3.0,,7.41,1,1,3,0.0,-1.8101846582,0.0,-1.7299852188,0.0,-0.1503113324,0.0,-0.1436518546,1,2,1,4,0.0683933832,-0.0564743267,0.0448951919,0.0303940412,1.5234010649,-1.8580723232,-0.0509680841,0.0162321168,-2.156340715,-2.0282992752,-2.2843821548,3.0,4.0,0.0,0.0688300806,0.1675851121,-0.1212377915,0.0,-0.1212377915,0.0149491728,-0.1212377915,0,4,0,4,602.04,0.7157025,0.681237,0.402564,0.597436,0.681818,0.0,0.0,0.681818,1.466667,0.05,0.05,0.995619,0.857608,2.0,10.0,11.0,0.571429,0.784193,-0.008619,12,601.89,602.1,601.88,602.04,13254.0,416.0,601.976979,0.1639224448,0.0810343847,0.0264444826,0.0282217887,60.5781347081,3.7642616032,42.2294768,7.7290071489,602.0476158122,-0.0076158122,3.3376406,-0.0022817952,601.176467023,0.863532977,601.2154081245,0.8245918755,True,0.22,0.4257926991,0.39,13312.321623123,387.7024172775,0.0002491839,0.0005139462,0.17,0.17,0.4964887773,35.9689570137,2.0381860922,-0.3729381638,0.1411839899,-2.5875239081,-0.8564572494,0.465370798,0.0005446032,-0.2859794853,0.1089991205,-2.633134533,-0.8394571004,0.3980230355,0.0003928972
META,2025-01-03,1,133,Long,12:10:00,12:11:00,12:13:00,0,,601.7850893893415,601.19,601.7850893893415,2,25,1,25,Long Lose,-0.625058,-0.103867354541,0.010179,0.024879,2,0,0.0,1.0,,2.0,,4.0,1,1,3,0.0,-0.6250582524,0.0,-0.7150557568,0.0,-0.1038673545,0.0,-0.118822445,1,3,1,3,0.0164144538,-0.0529684978,0.0290054804,0.0234844189,0.5659087016,-2.2554740653,-0.0045447013,0.006629514,-3.1351544543,-2.0468755361,-4.2234333725,3.0,2.0,0.0,0.0204273636,0.167208998,-0.0756222213,0.0,-0.0756222213,0.0523372252,-0.0955665434,0,3,0,3,601.675,0.6380775,0.6380775,0.412821,0.587179,0.707547,-0.010361,0.0,0.707547,1.413333,0.33,0.36,0.892091,0.924443,2.0,9.0,18.0,0.285714,1.486627,-0.006752,8,601.3,601.78,601.25,601.675,10744.0,353.0,601.459777,0.0262128778,0.0295329622,-0.0097017975,0.0031908566,52.0633018007,2.3768748767,46.6656211145,-0.9737336445,602.0432634626,-0.3682634626,3.3215622143,-0.1108705599,601.2710174153,0.4039825847,601.281393407,0.393606593,True,0.53,0.4356160186,0.39,12043.6153105334,368.4529635293,0.0006066576,0.0006050761,0.2,0.17,0.47122023,32.1218704625,-7.6600663853,-0.2379174786,0.1762681271,-2.6247550856,0.099119964,0.6426915507,0.0005599482,-0.1963930163,0.1503973312,-2.6768867502,0.2506612046,0.5696342484,0.0004097044
