sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
NVDA,2025-01-02,0,115,Long,11:47:00,11:48:00,11:55:00,2,11:52:00,138.1851348438616,138.28,138.52620111193016,6,44,29,217,Long Win,15.941929,0.053051060302,2.240139,2.607932,7,7,100.0,,1.0,,7.0,60.37,2,8,9,35.2995004226,0.0,36.599465102,-1.5161149034,0.186497462,0.0,0.2009704064,-0.0378331753,5,1,5,2,0.1227307321,-0.0313559691,0.0692753544,0.0831626709,1.7716362935,-0.3770437957,0.0710245314,0.068989784,1.2758494436,4.1034185676,-1.4169553334,2,8,0.2468630727,0.3303502475,0.2375923716,0.0868557565,0.4081496756,0.0,0.4197304432,-0.1194990449,5,0,6,1,138.1601,0.36225,0.36225,0.353846,0.646154,0.757297,0.0,0.0,0.757297,1.320485,0.045,0.045,1.040744,0.878056,2.0,2.0,19.0,0.391304,0.806718,-0.004127,9,138.02,138.18,137.995,138.1601,309970.0,2883.0,138.123026,0.0592884548,0.0303772489,0.0056501651,0.0116305204,61.5684558201,5.5292555305,60.8079152593,8.1263874291,136.9248601932,1.2352398068,0.85520605,1.4443768339,137.8381470285,0.3219529715,137.852860511,0.307239489,True,0.185,0.1949959431,0.2,297834.8890943842,2695.4848747805,0.0010145554,0.0006739022,0.14,0.14,0.2220767792,27.4378669964,17.4107405499,-0.5173790664,0.2784461494,-2.5418533186,-1.0,0.6884593333,0.0011749455,-0.453586958,0.2394012622,-2.552189492,-1.0,0.6935505435,0.0011189836
NVDA,2025-01-02,1,189,Short,13:53:00,13:53:00,13:58:00,0,,135.67486696069042,135.96,135.66629866873674,3,221,8,221,Short Lose,-4.351345,-0.229099158377,0.143763,0.167582,5,0,0.0,1.0,,5.0,,6.33,2,2,4,0.0,-4.3513448783,1.0223639657,-5.6113442488,0.0,-0.2290991584,0.0941924607,-0.2954383715,0,5,2,5,0.0797038726,-0.1070827933,0.0558729634,0.0864209463,1.4265195159,-1.2390837851,-0.0485218994,0.0425009927,-1.7807490141,0.6285326545,-3.9580383754,2,1,0.0063149294,0.096149447,0.1783973092,-0.191991486,0.0133399075,-0.191991486,0.1128364549,-0.2704095057,2,5,2,5,135.6831,0.36225,0.373635,0.674359,0.325641,0.274643,-0.0,-0.0,0.274643,3.641092,0.1393,0.1393,1.167962,1.017948,3.0,4.0,31.0,0.243243,0.937228,-0.001288,18,135.76,135.86,135.58,135.6831,263342.0,2557.0,135.715778,0.0929189762,0.049059654,0.0329926137,0.0054333542,41.0219348644,2.6286036056,32.5721020344,9.8849962778,136.9090753059,1.2259753059,0.9798034968,1.2512461018,135.9626964649,0.2795964649,135.9430869344,0.2599869344,False,0.28,0.2321141764,0.21,225471.292538179,2188.3405278976,-0.0007139092,0.0012861957,0.1407,0.1407,0.228021631,31.6797010166,19.2523064382,-0.3877133728,0.2613528456,-2.4026673406,-0.9987628739,0.5169073072,0.0008605788,-0.4175738721,0.2901349498,-2.4104616112,-0.9999999877,0.5159045965,0.0011537111
NVDA,2025-01-02,2,293,Long,14:48:00,14:48:00,14:58:00,1,14:53:00,137.18515897424004,137.16,137.5465405616553,5,78,34,218,Long Lose,-25.196665,-0.084029973684,2.273513,2.613152,10,3,30.0,2.0,1.0,10.0,7.0,99.54,1,11,11,13.5210080918,-29.3139635029,33.6163976488,-42.3328774346,0.2898831853,-0.0982111911,0.2971724073,-0.1418287334,1,3,5,4,0.1507029327,0.088691798,0.0785423842,0.0638856915,1.9187466001,1.3882889249,0.0826926974,0.1186350762,0.7394812207,3.4204723279,-1.3135758041,1,10,0.2634552653,0.2476910036,0.1497439187,0.0,0.3238317416,0.0,0.4009623095,-0.3718014143,5,0,5,0,137.17,0.2916975,0.2916975,0.815385,0.184615,0.923077,0.0,0.0,0.923077,1.083333,0.435,0.435,2.151531,1.228705,2.0,2.0,23.0,0.2,0.947587,0.000481,5,136.69,137.18,136.66,137.17,576858.0,5066.0,137.030663,-0.000566741,-0.0244218801,0.001291977,0.0112815811,50.0510202127,8.8880403968,55.6437389466,2.6678954072,136.8896052215,0.2803947785,0.9415525834,0.2978004452,136.9313746219,0.2386253781,136.9325256271,0.2374743729,True,0.52,0.2321216217,0.199,268115.1042945814,2366.4808194441,0.0035054443,0.0013712416,0.085,0.085,0.1889157192,21.5819135736,5.0720258726,-0.3420609715,0.2969147641,-2.9276164209,-0.7585197878,0.6163813776,0.0010153684,-0.3101990415,0.2619673529,-2.9268878381,-0.8474657264,0.6076716186,0.0011797322
NVDA,2025-01-02,3,92,Long,15:13:00,15:13:00,15:17:00,0,,137.92517784442137,137.57,137.93088417484157,3,217,78,217,Long Lose,-34.402875,-0.274089136125,0.941757,1.091117,4,1,25.0,2.0,1.0,4.0,1.0,41.94,1,3,4,0.5966139993,-34.4028747685,3.716529275,-39.8627267715,0.0055456861,-0.2740891361,0.03454613,-0.3175880044,1,4,1,4,0.1641662889,-0.139113298,0.0803673319,0.0800589942,2.0426992542,-1.7376348445,-0.0080028743,0.0466671005,-0.475731701,2.1412335318,-2.2942832869,1,4,0.0041374205,0.2695064273,0.0063004018,-0.2537703016,0.0290023202,-0.2537703016,0.0507540603,-0.2972737819,1,4,1,4,137.92,0.3558675,0.3558675,0.879487,0.120513,0.869667,0.0,0.0,0.869667,1.149866,0.18,0.18,1.937463,0.950061,3.0,3.0,21.0,0.055777,2.864896,-0.000376,14,137.6591,137.92,137.62,137.92,526668.0,3648.0,137.778507,0.1717447979,0.1291631877,0.0274377106,0.0075719498,66.8621772478,4.9555424276,82.1531597164,2.8476765377,136.9128212076,1.0071787924,0.9276642278,1.0857148117,137.3529397774,0.5670602226,137.3750947786,0.5449052214,True,0.3,0.2105494039,0.2051,271833.7818500838,2335.4983354869,0.001923252,0.0011410607,0.12,0.12,0.2216168304,46.4915914809,31.2843402449,-0.4907912156,0.2332088301,-2.7302992464,-0.9361358041,0.4917647446,0.0009110646,-0.4157889952,0.1838295393,-2.730973836,-0.9389286902,0.4703560819,0.0011400029
NVDA,2025-01-02,4,84,Long,15:21:00,15:23:00,15:35:00,2,15:28:00,137.89516469913457,137.74,137.87585758368698,6,44,53,217,Long Win,2.139962,0.007152267455,2.246107,2.603931,12,11,91.6666666667,3.0,1.0,3.0,12.0,100.0,5,12,15,17.540011201,-2.8251445584,28.3854978534,-6.6565586266,0.0586229444,-0.0284517711,0.0948711744,-0.0596989093,11,5,7,6,0.1275658837,0.0046896464,0.0610384601,0.0259430063,2.0899263118,0.1807672685,0.0084078236,0.0263337903,0.5283725946,4.4334065387,-2.8069206311,3,10,-0.0140018242,0.1699097273,0.0183270666,-0.1014576837,0.1452607151,-0.1014576837,0.210312568,-0.1631735441,11,14,12,2,137.89,0.3105,0.3105,0.905128,0.094872,0.724138,-0.029442,0.0,0.724138,1.380952,0.16,0.16,1.050153,1.04781,5.0,11.0,228.0,0.063197,2.964978,-0.000435,17,137.68,137.955,137.665,137.89,278558.0,2763.0,137.859681,0.0666904059,0.0502620038,-0.0072488385,0.0118386203,58.5185516345,5.04691254,46.0884487538,-2.7925405581,136.9281612413,0.9618387587,0.9256964729,1.039043344,137.5414168434,0.3485831566,137.5548400887,0.3351599113,True,0.29,0.2130674049,0.18,265254.7327541818,2449.7921118344,0.0015967488,0.000955213,0.13,0.13,0.2033453854,22.4088601087,11.8304534541,-0.462303075,0.2695834643,-2.7866785825,-0.9398565565,0.553525894,0.0008160625,-0.4134103853,0.2239739561,-2.7870139745,-0.9450294824,0.5381302777,0.0010683619
NVDA,2025-01-03,0,57,Long,11:34:00,11:35:00,12:09:00,4,11:44:00,143.4950967474143,143.81,143.66314549982542,8,42,10,208,Long Win,17.561787,0.058773162533,2.138446,2.529768,34,33,97.0588235294,1.0,2.0,1.0,34.0,100.0,5,34,36,28.0615320395,-0.6234789401,31.0014515088,-18.1665049379,0.0939121411,-0.0434494944,0.1037510242,-0.1201050723,30,2,30,6,0.0614123983,0.0538560208,0.0395401079,0.0657217881,1.5531671926,0.8194545878,0.084756552,0.084442984,1.0224889347,2.2208604152,-0.335074438,3,35,0.1171153875,0.1561210462,0.0031587834,0.225869556,0.3987040203,-0.0171440638,0.4460941153,-0.1044672831,30,2,30,2,143.4899,0.25875,0.25875,0.320513,0.679487,0.425,0.0,0.0,0.425,2.352941,0.006,0.05,0.645087,0.952318,2.0,2.0,30.0,0.088235,0.865628,-0.003288,6,143.4304,143.49,143.35,143.4899,219040.0,2414.0,143.423152,0.0704716931,0.0700792687,-0.0054463752,0.0029193998,59.9487613377,2.072699108,84.5554734641,0.1530264567,142.5923441486,0.8975558514,1.2167038118,0.7376946161,143.2660449293,0.2238550707,143.273958657,0.215941343,True,0.14,0.1655813385,0.14,339550.9180550528,3072.1090643771,0.0004175381,0.0007331902,0.134,0.09,0.1738718483,21.874099098,0.4869066433,-0.3651317884,0.3478421311,-2.2900752663,-0.8959381492,0.7618330593,0.0006643256,-0.2992739117,0.3092836061,-2.692433877,-0.9625054825,0.670668017,0.0007400651
NVDA,2025-01-03,1,159,Short,12:33:00,12:33:00,12:36:00,0,,143.63491054554882,143.82,143.63491054554882,2,208,16,208,Short Lose,-3.237855,-0.140889121623,0.162911,0.194944,3,0,0.0,1.0,,3.0,,7.69,0,1,2,0.0,-3.237855421,0.0,-3.7178553304,0.0,-0.1408891216,0.0,-0.1617754049,0,3,0,3,0.0615308739,-0.0500547003,0.0058977782,0.0197019704,10.4328904483,-2.5405936277,-0.0024592774,0.0085892241,-1.6181299246,-0.8019157523,-2.4343440968,2,3,0.0,0.0473268577,0.0238742581,-0.1143095827,0.0,-0.1143095827,0.0034808034,-0.1427129381,0,3,0,3,143.645,0.198375,0.20242875,0.469231,0.530769,0.678571,-0.0,-0.0,0.678571,1.473684,0.0643,0.0643,1.970657,1.023878,1.0,1.0,17.0,0.416667,0.905768,-0.0011,10,143.74,143.78,143.64,143.645,522176.0,2488.0,143.732852,0.0562236343,0.0413005244,0.0112246177,0.0018492461,38.3276114134,3.5000381101,53.6630964996,7.68911421,142.7725265371,-0.8724734629,1.209836637,-0.7211498116,143.8178553143,0.1728553143,143.8075055652,0.1625055652,False,0.14,0.120205266,0.1197,264975.5928154313,2215.3149838732,-0.0006444371,0.0004630059,0.0757,0.0757,0.1174019233,32.7170896567,20.7663809227,0.0141246629,0.3564559749,-2.5543348015,-0.5129290964,0.7884141734,0.0009031523,-0.0417709461,0.3411480227,-2.8057056983,-0.504068524,0.7816027253,0.0011283331
NVDA,2025-01-03,2,134,Long,12:40:00,12:40:00,13:02:00,3,12:49:00,143.92505715370632,144.34,144.13081953843349,9,42,1,208,Long Win,12.490742,0.041670208052,2.127001,2.532257,22,20,90.9090909091,2.0,1.0,4.0,22.0,62.02,5,23,23,25.0911257612,-2.5990771896,27.0395832763,-8.2989205484,0.0837061902,-0.0211582255,0.0902064149,-0.0697669216,16,4,20,4,0.0509548175,0.0949811032,0.0235660162,0.0359115056,2.1622160071,2.6448655252,0.1349155385,0.0940104615,1.7612116712,3.0132956461,0.0096462094,1,22,0.1429705688,0.1999837309,0.0557570802,0.2957210772,0.5076452514,0.0,0.5329371857,-0.0690664358,16,0,20,0,143.9194,0.2064825,0.2064825,0.487179,0.512821,0.812727,0.0,0.0,0.812727,1.230425,0.03,0.03,0.869284,0.941886,2.0,2.0,52.0,0.089286,1.123999,-0.000592,5,143.83,143.93,143.82,143.9194,193356.0,1629.0,143.882163,0.0335412757,0.0146639158,0.0137013278,0.0025880161,57.8766545335,4.1669036884,70.3597005551,4.6464915231,142.7840140826,1.1353859174,1.2079601249,0.9399200305,143.8154853672,0.1039146328,143.8155879027,0.1038120973,True,0.11,0.1114266917,0.1197,222431.3700826536,1948.0413736248,0.000579659,0.0005097485,0.08,0.08,0.118301678,23.5983471112,8.5997777975,-0.3603970027,0.3572396706,-2.4218920556,-1.0,0.787732972,0.0009219093,-0.3035015239,0.3342632349,-2.7434297997,-0.809486154,0.7704879829,0.0011056115
NVDA,2025-01-03,3,209,Long,13:35:00,13:35:00,13:44:00,0,,144.70507436563736,144.63,144.84741012377413,4,207,5,207,Long Lose,-21.595681,-0.162057207174,0.944517,1.121165,9,1,11.1111111111,2.0,1.0,9.0,1.0,44.44,7,9,10,0.5882898511,-21.595681411,3.1741795511,-22.5156561665,0.0813088074,-0.1620572072,0.0882192257,-0.1689608347,1,9,3,9,0.058972459,-0.0230116632,0.0193984923,0.0289159643,3.0400537327,-0.7958117153,0.0122720384,0.0386329499,0.3023915322,3.2846794687,-2.7176786326,1,9,0.0983692351,0.1641331038,0.0498412667,-0.0451983961,0.110300673,-0.0451983961,0.1414004868,-0.1143090934,7,9,3,0,144.6954,0.2113125,0.2113125,0.628205,0.371795,0.737647,0.0,0.0,0.737647,1.355662,0.0475,0.09,1.051631,1.017525,1.0,4.0,22.0,0.277778,1.159169,-0.000142,10,144.57,144.7,144.53,144.6954,338631.0,2501.0,144.630915,0.099423708,0.0841466672,0.0201881555,-0.0024555573,66.9531737997,2.9281268669,89.5792394525,1.1486425045,142.9980404568,1.6973595432,1.2528150491,1.3548364896,144.4336176574,0.2617823426,144.446665143,0.248734857,True,0.17,0.1313116033,0.13,322005.4249335423,2554.2361551469,0.0009355052,0.0004683902,0.1225,0.08,0.1290499971,43.4800060183,24.659107822,-0.5571555302,0.3363539554,-2.5837396407,-1.0,0.6923974878,0.0009160562,-0.4269994725,0.2492028409,-2.793439707,-1.0,0.5780810728,0.0009893427
NVDA,2025-01-03,5,202,Long,14:06:00,14:14:00,14:17:00,0,,144.72515263137527,144.38,144.72515263137527,2,207,78,207,Long Lose,-28.274042,-0.250466288513,0.804032,0.95001,3,0,0.0,1.0,,3.0,,37.68,8,1,7,0.0,-28.2740420305,0.0,-30.6139782883,0.0,-0.2504662885,0.0,-0.2711946707,8,11,8,11,0.1175162663,-0.0801193328,0.0521111208,0.0589388306,2.2551091678,-1.3593641409,-0.0557917403,0.0289949089,-3.1812162593,-1.6870574356,-5.818808701,10,9,0.0,0.0885418251,0.0360495401,-0.2192012561,0.0557677849,-0.2192012561,0.0932918334,-0.2729649941,5,11,0,0,144.7072,0.22425,0.2113125,0.728205,0.271795,0.900435,0.0,0.0,0.900435,1.110575,0.0548,0.17,1.49609,1.082687,5.0,19.0,62.0,0.097561,0.911685,3.6e-05,8,144.5001,144.72,144.49,144.7072,597683.0,4205.0,144.649152,0.1037186155,0.0825600158,0.0154444055,0.0028570971,64.1716301512,5.228475623,69.6788946672,2.3569612019,143.1193978769,1.5878021231,1.2663036685,1.2538873278,144.4013987302,0.3058012698,144.4123962527,0.2948037473,True,0.23,0.1968810821,0.19,399496.775433517,3377.3231420571,0.0013982815,0.0008464466,0.1752,0.06,0.1818449173,25.798314996,14.9976851642,-0.4611122557,0.359452326,-2.7994873163,-0.8133753033,0.7127713959,0.0007594961,-0.387944479,0.2999100861,-2.8997726629,-0.8014191241,0.7047182726,0.0006712955
