sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
TSLA,2025-01-02,1,291,Short,14:44:00,14:44:00,14:48:00,0,,376.604840698045,377.42,376.2404472714488,3,79,10,79,Short Lose,-38.50985,-0.319857371682,0.33248,0.59737,4,1,25.0,1.0,3.0,4.0,3.0,40.51,3,2,4,3.5104485043,-38.5098497871,5.4104479591,-40.1098494316,0.0932130479,-0.3198573717,0.1436637922,-0.3331467427,3,4,3,4,0.134547908,-0.1277493837,0.0087183297,0.0685465713,15.4327620533,-1.8636874366,0.0352481343,0.0466446438,-0.0400262411,2.7082297027,-1.9305337624,3,4,0.0967394774,0.1630429786,0.1477393823,-0.1659520807,0.1380500431,-0.1659520807,0.1685803411,-0.2508528572,3,4,3,0,376.675,1.0241325,1.0241325,0.805128,0.194872,0.434189,-0.0,-0.0,0.434189,2.303146,0.6025,0.6449,1.426446,0.941294,1.0,1.0,3.0,0.608696,0.879049,-0.006457,14,377.12,377.6199,376.595,376.675,121245.0,2827.0,377.156731,0.220624273,0.1677260419,0.0079940786,0.0224520763,39.9399519097,4.0786480531,36.5823021159,5.5356439582,382.8663740548,6.1913740548,6.6574783591,0.9299878604,377.5815093104,0.9065093104,377.5342417904,0.8592417904,False,1.0249,0.652422075,0.5937,84997.9682861462,1946.2301351763,-0.0012867539,0.0010571088,0.4224,0.38,0.693111854,21.7472025305,13.2548261948,-0.2471064661,0.1602658285,-2.9719871452,-0.9469130609,0.3249266743,0.0001380409,-0.2394117761,0.1743007586,-2.9650292652,-0.848958671,0.3954181035,0.0001507294
TSLA,2025-01-02,2,267,Long,14:53:00,14:53:00,14:54:00,0,,379.52517881711657,378.1,379.52517881711657,2,78,11,78,Long Lose,-15.939561,-0.381806290421,0.114114,0.205447,1,0,0.0,1.0,,1.0,,14.1,0,1,2,0.0,-15.939561071,0.0,-17.8095098262,0.0,-0.3818062904,0.0,-0.426597875,0,1,0,1,0.0856484145,-0.0578551756,0.0579731925,0.0,1.4773796437,0.0,-0.0660649727,0.0773158477,-2.1562637837,-2.1562637837,-2.1562637837,1,1,0.0,0.2514241508,0.0496414813,-0.3123146867,0.0,-0.3123146867,0.0589049219,-0.394017263,0,1,0,1,379.425,0.91425,0.91425,0.828205,0.171795,0.57905,0.0,0.0,0.57905,1.726966,0.4099,0.4099,1.106769,1.131411,1.0,1.0,39.0,0.142857,1.563848,-0.003651,8,378.98,379.6485,378.88,379.425,145171.0,2394.0,379.292999,0.666972963,0.5265712164,0.1570816234,-0.0083399384,64.5497435437,2.4896557584,70.0369302827,6.0008320801,382.7974693194,-3.3724693194,6.6358294394,-0.5082212179,377.8577353963,1.5672646037,377.9110452834,1.5139547166,True,0.7685,0.8338155139,0.53,131166.4582729506,2329.1788143191,0.0012463453,0.0019082435,0.3586,0.3586,0.7369693899,37.2696760963,27.2813194145,-0.3375913668,0.1321724007,-2.9872314756,-0.8614215192,0.2566060426,0.0001586479,-0.3165710351,0.1167909236,-2.9832618357,-0.9117901522,0.2573498313,0.0001485974
TSLA,2025-01-02,3,185,Short,14:58:00,14:58:00,15:06:00,0,,376.7648445922166,377.5,376.02980394086893,3,79,1,79,Short Lose,-32.871355,-0.397349488177,0.228796,0.412559,8,1,12.5,1.0,2.0,8.0,2.0,27.85,2,5,8,0.6610553353,-32.8713550298,1.6709520524,-36.3889141651,0.175455684,-0.3973494882,0.1993432544,-0.4398698017,2,8,3,7,0.2266934619,0.0017867554,0.1555396355,0.0678958604,1.4574642739,0.0263161173,-0.0068240321,0.0603482238,0.118393071,3.2875519257,-2.3192156082,1,8,0.1950848894,0.2209903758,0.0798424354,-0.1765221552,0.1963745943,-0.1765221552,0.2255693576,-0.2335581065,2,8,3,7,376.7799,1.46625,1.46625,0.841026,0.158974,0.937625,-0.0,-0.0,0.937625,1.066524,0.2401,0.4414,1.077006,1.069527,1.0,1.0,140.0,0.118881,2.774576,-0.000486,17,377.53,377.5799,376.7799,376.7799,137223.0,2617.0,377.057996,0.2272764746,-0.0599082454,0.1444445657,0.0713700771,43.5005823924,5.8455748688,57.016958432,10.933608594,382.7649760983,5.9850760983,6.6254258248,0.9033496498,377.8966941889,1.1167941889,377.8883774923,1.1084774923,False,0.8,0.8854414679,0.85,127411.517645948,2296.2477591145,-0.002015326,0.0022260669,0.5599,0.3586,0.8278810276,26.9146009047,18.0570007537,-0.2745245712,0.1707522886,-2.9782435479,-0.9580480063,0.4466296287,0.0001469031,-0.2492070154,0.1815265223,-2.972803758,-0.9171872603,0.5311488399,0.0001355228
TSLA,2025-01-02,4,248,Long,15:10:00,15:11:00,15:36:00,2,15:32:00,378.70519664362405,379.1,379.56145555612625,7,16,23,79,Long Win,50.28984,0.167812528447,0.8205,1.47966,25,19,76.0,1.0,2.0,17.0,25.0,63.29,3,26,27,78.2881470849,-9.0090996862,92.2377639848,-14.0062706382,0.2612402783,-0.0300625292,0.3077888548,-0.1608027284,22,7,22,2,0.2409342703,-0.0128293221,0.0957657983,0.1214292231,2.5158697013,-0.1056526734,0.0815939013,0.1027313405,0.8623540297,4.044519718,-1.0602030907,2,26,0.2261406382,0.2520342233,0.0423038462,0.1196915276,0.5942319882,0.0,0.6875396155,-0.2350517642,23,0,23,1,378.64,1.25856,1.25856,0.874359,0.125641,0.794821,0.0,0.0,0.794821,1.258146,0.3999,0.5099,1.073986,0.920672,2.0,2.0,79.0,0.172043,2.862295,-0.002089,16,377.885,378.6999,377.75,378.64,115548.0,2146.0,378.270119,0.3607042063,0.1654338526,0.1371834904,0.0290434316,61.5703674758,5.5620041406,74.4528883504,3.5868160825,382.6746552073,-4.0346552073,6.6122470754,-0.610179136,377.4728924988,1.1671075012,377.5136231969,1.1263768031,True,0.9499,0.7684931038,0.7296,107587.9929605665,2062.4967844175,0.0019245213,0.001376442,0.55,0.44,0.8347089167,23.966029842,19.1277981407,-0.220898828,0.1690305468,-2.9888214494,-0.5277328538,0.3784472782,0.0001428125,-0.2384069986,0.1534949034,-2.9853627161,-0.6730363798,0.3101891286,0.0001453884
TSLA,2025-01-03,0,143,Long,12:25:00,12:25:00,12:29:00,0,,395.45514410547855,394.16,395.45514410547855,2,75,7,75,Long Lose,-9.235909,-0.333644821389,0.072045,0.133865,4,0,0.0,1.0,,4.0,,9.33,0,1,3,0.0,-9.2359092646,2.1038052013,-10.8738641919,0.0,-0.3336448214,0.075999416,-0.3928155174,0,4,1,4,0.1724492684,-0.1608300993,0.0805238558,0.1257829944,2.1415922864,-1.2786315041,-0.0834044524,0.0659655881,-1.9392336071,-1.3770971511,-2.5858459917,1,2,0.0,0.1062600189,-0.0035297548,-0.2957465102,0.0,-0.2957465102,0.085980174,-0.3828646571,0,4,1,4,395.44,1.080885,1.10193,0.448718,0.551282,0.892142,0.0,0.0,0.892142,1.120897,0.4043,0.4743,1.546831,1.090566,1.0,23.0,9.0,0.25,1.467653,-0.008419,8,394.66,395.47,394.5957,395.44,196402.0,2698.0,395.070066,0.3507662207,0.189496743,0.1017587924,0.0297553426,65.0817414465,7.2488254751,79.9075136591,5.59239516,388.0474104599,7.3925895401,4.6129948951,1.6025574942,394.2689661738,1.1710338262,394.2822357291,1.1577642709,True,0.8743,0.699893206,0.6266,126970.5700587172,1938.5156625982,0.0021274891,0.0009615391,0.47,0.4,0.6417704708,35.2730164604,18.1272438518,-0.4456128313,0.1497768388,-1.2677110712,-1.0,0.2537413634,0.0002432655,-0.3563671759,0.1293876266,-1.1765429277,-1.0,0.2384161555,0.0002336888
TSLA,2025-01-03,1,118,Long,12:36:00,12:40:00,13:33:00,2,12:52:00,395.3151527928999,397.87,395.57518312509677,6,15,16,75,Long Win,47.434968,0.159893463067,0.776492,1.43854,53,45,84.9056603774,2.0,1.0,9.0,53.0,100.0,15,54,56,70.6844551972,-12.4667656268,75.9343483815,-18.464200067,0.2382626765,-0.1313712209,0.2559589804,-0.1945704746,50,13,51,13,0.1380783378,-0.0025140262,0.068767073,0.0228725017,2.0079135529,-0.1099147911,0.2380066262,0.1767754841,1.1441267921,4.3833400649,-1.7974250812,5,6,0.0657804208,0.2212832035,0.1911262589,0.6500371237,1.0509726145,-0.0785478389,1.1306588279,-0.1811280279,50,13,51,4,395.3005,1.1555775,1.1555775,0.487179,0.512821,0.802513,0.0,0.0,0.802513,1.246085,0.4467,0.4855,1.634887,0.914454,5.0,5.0,24.0,0.055556,0.65841,-0.007036,4,394.63,395.42,394.5845,395.3005,154132.0,2172.0,395.115602,0.236354207,0.1445835427,0.0517786171,0.0199960236,62.5933741542,6.4935534506,76.9158627837,5.874018913,388.2503223691,7.0501776309,4.6821133871,1.5057682393,394.4393103623,0.8611896377,394.4496150853,0.8508849147,True,0.8355,0.5700943297,0.52,94276.8456815894,1511.4769945856,0.0017356291,0.0007467932,0.3888,0.35,0.6234262546,27.5266349195,21.9971592196,-0.4142924211,0.1762620262,-1.5760336133,-1.0,0.3029308509,0.0002734712,-0.335632198,0.1527482142,-1.4961438018,-1.0,0.3074016918,0.0002434991
TSLA,2025-01-03,2,288,Long,14:40:00,14:40:00,14:53:00,1,14:45:00,406.2851500586946,405.61,406.32983867756644,5,71,14,73,Long Lose,-52.447109,-0.176815592088,0.757804,1.419304,13,3,23.0769230769,1.0,4.0,13.0,7.0,100.0,6,12,14,3.494079739,-52.4471085479,15.711018519,-67.356859144,0.0505855575,-0.1768155921,0.2031742565,-0.2270810205,5,13,7,12,0.1629622208,0.054014184,0.0864781728,0.0675079221,1.8844318224,0.8001162286,-0.0126937505,0.0506636148,0.1401449686,4.0554407225,-2.4149904583,1,9,0.0110004108,0.1658665867,0.236339794,-0.1460941058,0.0818717769,-0.1460941058,0.2252335413,-0.2115718347,5,13,5,0,406.245,1.22475,1.22475,0.794872,0.205128,0.875014,0.0,0.0,0.875014,1.142839,0.5145,0.5145,1.172683,0.975222,1.0,4.0,17.0,0.409091,1.093166,0.008169,9,405.4448,406.3,405.3855,406.245,172283.0,2421.0,405.921572,0.2104449013,0.1159828835,0.0188619717,0.037800023,58.0987277596,6.1279737045,57.4761178992,1.1392530245,392.1425118509,14.1024881491,7.304644486,1.9306193718,405.013063865,1.231936135,405.0607379001,1.1842620999,True,0.9145,0.678965079,0.71,146913.5857025614,2288.2990230566,0.0020486453,0.0012406599,0.4,0.4,0.6962160912,35.7600753986,28.0060973551,-0.5394702643,0.1002466497,-1.9954858969,-1.0,0.1973994926,0.0002198255,-0.4344768238,0.0742972174,-2.111943795,-1.0,0.1432857878,0.0001886649
TSLA,2025-01-03,3,328,Long,15:11:00,15:11:00,15:24:00,2,15:16:00,407.1951606280612,407.95,408.34205551328154,6,15,22,73,Long Win,45.179977,0.151633012307,0.754292,1.425732,13,13,100.0,,1.0,,13.0,100.0,3,14,14,65.2781405046,0.0,85.4075865101,-1.5332953426,0.2638889131,0.0,0.2866448932,-0.017115931,5,0,5,1,0.2200551827,0.2514050844,0.1466745564,0.1653382199,1.5002955392,1.5205503275,0.1226949674,0.1475309029,0.9922204215,2.7150365364,-0.8142758066,2,13,0.2816608672,0.4631484624,-0.0141890334,0.1866450551,0.5293351998,0.0,0.6139639972,-0.1841646406,5,0,6,0,407.19,1.11435,1.11435,0.874359,0.125641,0.940125,0.0,0.0,0.940125,1.063688,0.159,0.159,1.360619,1.142306,2.0,2.0,10.0,0.307692,1.028519,0.00987,4,406.485,407.19,406.4401,407.19,251766.0,3206.0,406.859142,0.5186070772,0.2329435055,0.1919089553,0.0468773082,64.5656620242,5.3016424869,64.0935391475,12.6354932425,393.02217177,14.16782823,7.8155525166,1.8127737226,405.5363926907,1.6536073093,405.6206170091,1.5693829909,True,0.7499,0.7123391452,0.6616,185037.8187511472,2551.1808304734,0.0017451797,0.0014063264,0.5909,0.5909,0.6235974022,39.3855373091,29.0429485432,-0.5570642202,0.0912279118,-2.2636789494,-1.0,0.1903046881,0.000178773,-0.4429357798,0.0593378792,-2.3555860961,-1.0,0.1209831926,0.0001489305
TSLA,2025-01-06,0,112,Short,12:42:00,12:42:00,12:48:00,0,,407.9048040643862,409.26,407.9048040643862,2,73,19,73,Short Lose,-26.220307,-0.338318193358,0.196998,0.373309,6,0,0.0,1.0,,6.0,,26.03,0,2,5,0.0,-26.2203071109,1.9015737834,-28.5003073157,0.0,-0.3383181934,0.0245358303,-0.3677368248,0,6,1,6,0.2928159221,-0.1236291534,0.2082355302,0.0741038228,1.4061765628,-1.6683235588,-0.0582234631,0.0427529625,-1.4211425474,5.0113870212,-3.6856844038,1,2,0.0,0.216742642,0.1565790672,-0.3235366939,0.0,-0.3235366939,0.0365259641,-0.3556991535,0,6,1,6,407.929,1.43175,1.3849285714,0.492308,0.507692,0.847966,-0.0,-0.0,0.847966,1.179292,0.03,0.752,1.952137,1.167582,8.0,10.0,65.0,0.1,1.738165,-0.005614,8,408.9296,409.06,407.88,407.929,251331.0,3800.0,408.414102,0.3815176551,0.1358360395,0.0533425086,0.0961695535,39.6320821603,8.1676960047,49.0431808713,11.7050085176,415.7856506304,7.8566506304,4.5712500889,1.7187094291,409.8046133916,1.8756133916,409.7173670984,1.7883670984,False,1.18,0.9080918563,0.7863,128746.6062791122,2166.3155310785,-0.0026709149,0.0014462429,1.15,0.428,0.7777540216,32.4867975579,20.717682285,-0.4328887027,0.0677678445,-1.3325733795,-1.0,0.1095781598,0.0002691915,-0.5005523448,0.0991906151,-1.1013842616,-1.0,0.1101904635,0.0002469636
TSLA,2025-01-06,1,115,Short,13:16:00,13:16:00,13:24:00,2,13:20:00,407.40482381008604,406.85,406.22911438920687,6,15,15,73,Short Win,9.268337,0.031238116934,0.757591,1.424072,8,8,100.0,,1.0,,8.0,100.0,3,9,9,31.7695126414,0.0,53.0578587617,-4.1825854243,0.2259463857,0.0,0.2996004975,-0.068442741,5,0,4,1,0.1316716543,0.2332237802,0.1101509047,0.125456839,1.19537515,1.8589961465,0.1143710289,0.1206141193,1.0122292582,1.9807325442,-0.5939630917,3,8,0.2884436803,0.4592041066,0.1113386705,0.2035060948,0.5404748966,0.0,0.5978098868,-0.2175638395,5,0,6,0,407.6045,1.1907675,1.1907675,0.579487,0.420513,0.705532,-0.0,-0.0,0.705532,1.417371,0.8114,0.8114,2.065808,0.95732,1.0,1.0,26.0,0.171171,1.761479,-0.004604,19,408.445,408.4913,407.3,407.6045,177786.0,3450.0,407.856485,0.2974754189,0.137403583,0.0576533014,0.0512092673,37.6915666561,6.8159778026,49.332427713,12.2085712423,415.4144527941,7.8099527941,4.7172403821,1.6556189978,408.8985988792,1.2940988792,408.8356598945,1.2311598945,False,1.1913,0.7383895358,0.6903,86061.2366396091,1725.48927364,-0.0020721663,0.0011632398,0.3799,0.3799,0.7713086762,23.9267996478,26.8059821345,-0.4404434848,0.0831978293,-1.6723555996,-1.0,0.1704815741,0.0002520011,-0.5091960013,0.1143445071,-1.4886337942,-1.0,0.2985746865,0.0002440175
