Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Win mean,Long,Win,mean,2.0,233.57,6.77,35.07,12.6,112.73,15.18,0.06,1.17,1.65,19.73,15.73,80.52,1.38,2.8,6.73,19.73,96.6,6.7,19.87,21.03,25.66,-3.46,28.16,-6.25,0.1,-0.04,0.11,-0.06,16.77,4.6,15.5,5.97,0.06,0.05,0.03,0.04,2.01,1.14,0.06,0.05,1.19,3.3,-1.33,6.47,13.37,0.08,0.13,0.04,0.14,0.26,-0.02,0.28,-0.08,16.8,2.43,16.9,1.2,233.37,0.26,0.26,0.64,0.36,0.69,-0.01,0.0,0.69,1.58,0.08,0.09,1.02,1.01,3.77,11.1,28.73,0.3,1.44,-0.0,13.57,73189.3,1028.3,0.08,0.05,0.02,0.01,60.92,4.31,60.48,3.58,232.8,0.57,1.24,0.46,233.11,0.26,233.12,0.26,0.19,0.17,0.15,69525.81,1023.64,0.0,0.0,0.11,0.1,0.16,30.6,18.1,-0.34,0.32,-2.6,-0.78,0.66,0.0,-0.3,0.3,-2.64,-0.77,0.67,0.0
Long Win std,Long,Win,std,0.74,6.69,1.28,27.74,9.69,21.72,13.37,0.05,0.22,0.31,9.88,7.95,16.43,0.75,3.31,6.18,9.88,10.41,4.32,8.81,9.54,19.67,4.69,19.84,7.65,0.07,0.03,0.07,0.04,9.79,4.01,10.44,3.66,0.04,0.05,0.02,0.03,0.99,1.26,0.05,0.03,0.46,1.22,2.11,5.3,8.48,0.07,0.06,0.04,0.14,0.17,0.03,0.17,0.04,9.7,3.59,9.74,1.9,6.71,0.11,0.1,0.19,0.19,0.2,0.02,0.0,0.2,0.74,0.08,0.08,0.39,0.16,6.11,14.51,25.83,0.23,0.79,0.0,7.9,53678.82,383.09,0.05,0.05,0.02,0.01,7.04,2.23,18.62,4.73,6.83,1.49,0.62,1.01,6.67,0.13,6.68,0.13,0.11,0.06,0.06,28398.54,373.35,0.0,0.0,0.05,0.05,0.06,9.69,11.8,0.13,0.06,1.03,0.2,0.11,0.0,0.11,0.07,1.01,0.21,0.11,0.0
Long Win min,Long,Win,min,0.0,220.79,4.0,13.0,1.0,63.0,0.65,0.0,0.65,0.93,6.0,5.0,38.46,1.0,1.0,1.0,6.0,62.9,1.0,7.0,7.0,2.65,-22.18,3.45,-41.38,0.02,-0.15,0.02,-0.15,4.0,0.0,4.0,1.0,-0.02,-0.05,0.01,0.02,-0.38,-2.18,0.01,0.01,0.22,1.91,-9.94,1.0,1.0,-0.02,0.01,-0.02,-0.06,0.04,-0.12,0.06,-0.25,4.0,0.0,5.0,0.0,220.44,0.12,0.12,0.2,0.11,0.0,-0.1,0.0,0.0,1.06,0.0,0.0,0.58,0.77,1.0,1.0,2.0,0.05,0.0,-0.01,4.0,26361.0,504.0,-0.03,-0.03,-0.01,-0.01,45.38,0.01,23.62,-10.07,221.35,-2.32,0.41,-1.23,220.29,-0.0,220.3,-0.0,0.05,0.07,0.07,31026.61,552.93,0.0,0.0,0.04,0.04,0.08,18.43,-3.67,-0.53,0.2,-2.99,-1.0,0.48,0.0,-0.49,0.17,-2.99,-1.0,0.4,0.0
Long Win 25%,Long,Win,25%,2.0,230.11,6.0,22.0,6.0,101.25,5.76,0.02,1.05,1.49,13.25,10.0,71.36,1.0,1.0,3.0,13.25,100.0,4.0,13.5,15.25,10.43,-4.78,12.31,-6.17,0.05,-0.05,0.06,-0.07,10.0,2.0,8.0,4.0,0.03,0.01,0.02,0.02,1.53,0.58,0.03,0.03,0.96,2.62,-1.49,3.0,6.5,0.04,0.09,0.01,0.04,0.14,-0.02,0.14,-0.09,10.0,0.0,10.25,0.0,229.67,0.19,0.19,0.51,0.2,0.61,0.0,0.0,0.61,1.25,0.03,0.03,0.77,0.88,1.0,2.0,8.25,0.12,1.04,-0.0,8.25,44740.5,747.25,0.04,0.02,0.0,0.0,55.66,2.6,47.79,0.89,227.32,-0.25,0.84,-0.36,229.49,0.17,229.49,0.16,0.12,0.12,0.11,46617.53,751.36,0.0,0.0,0.08,0.07,0.12,23.44,12.89,-0.46,0.25,-2.95,-0.95,0.58,0.0,-0.38,0.23,-2.95,-0.94,0.59,0.0
Long Win 50%,Long,Win,50%,2.0,233.79,7.0,26.0,11.0,123.5,12.17,0.05,1.28,1.84,17.0,13.5,84.52,1.0,2.0,5.0,17.0,100.0,5.0,17.0,19.0,20.22,-1.86,22.85,-4.29,0.07,-0.03,0.09,-0.05,15.0,4.0,12.5,6.0,0.06,0.04,0.03,0.03,1.91,1.4,0.05,0.04,1.14,3.03,-0.63,4.5,12.5,0.08,0.14,0.03,0.1,0.22,-0.01,0.24,-0.07,14.5,1.0,15.0,0.0,233.77,0.24,0.24,0.66,0.34,0.73,0.0,0.0,0.73,1.37,0.07,0.07,0.95,1.0,1.0,5.0,19.0,0.28,1.33,-0.0,12.0,54250.5,939.0,0.08,0.04,0.01,0.01,62.05,4.01,57.2,3.31,233.15,0.26,0.95,0.36,233.55,0.28,233.56,0.27,0.19,0.15,0.14,64593.51,920.29,0.0,0.0,0.1,0.09,0.14,29.44,18.57,-0.36,0.33,-2.84,-0.83,0.66,0.0,-0.32,0.31,-2.91,-0.79,0.7,0.0
Long Win 75%,Long,Win,75%,2.0,238.36,8.0,27.0,19.75,129.0,21.17,0.07,1.34,1.88,24.75,23.0,93.08,1.75,3.0,7.0,24.75,100.0,9.0,25.75,26.5,37.5,-0.65,39.9,-2.93,0.15,-0.02,0.16,-0.03,20.0,6.0,20.75,6.75,0.08,0.06,0.05,0.04,2.53,1.76,0.09,0.07,1.51,3.28,-0.18,8.0,18.5,0.1,0.17,0.07,0.19,0.34,0.0,0.35,-0.05,20.75,4.0,20.75,2.0,238.22,0.31,0.31,0.8,0.49,0.8,0.0,0.0,0.8,1.63,0.12,0.13,1.19,1.09,3.0,14.5,46.5,0.4,1.64,-0.0,16.0,86523.75,1235.5,0.11,0.09,0.03,0.01,63.73,6.05,73.66,6.44,237.28,1.8,1.71,1.28,238.03,0.35,238.03,0.33,0.23,0.19,0.19,87075.79,1168.06,0.0,0.0,0.12,0.12,0.21,35.25,24.36,-0.25,0.36,-2.71,-0.66,0.75,0.0,-0.23,0.36,-2.8,-0.67,0.74,0.0
Long Win max,Long,Win,max,4.0,243.26,9.0,120.0,37.0,135.0,50.64,0.18,1.39,1.93,55.0,37.0,100.0,4.0,19.0,30.0,55.0,100.0,21.0,47.0,54.0,77.42,0.0,82.22,-0.59,0.26,0.0,0.28,-0.02,51.0,17.0,51.0,18.0,0.14,0.17,0.08,0.12,3.84,4.08,0.19,0.12,2.09,7.29,0.56,20.0,30.0,0.3,0.23,0.14,0.54,0.7,0.0,0.7,-0.03,51.0,17.0,51.0,7.0,243.13,0.6,0.6,0.89,0.8,0.94,0.0,0.0,0.94,5.0,0.37,0.37,2.47,1.52,29.0,71.0,102.0,1.0,3.22,0.0,29.0,309615.0,2029.0,0.23,0.19,0.06,0.01,77.21,10.21,94.02,13.87,244.59,3.86,2.61,2.09,242.85,0.55,242.86,0.53,0.62,0.35,0.35,125348.01,1903.51,0.0,0.0,0.24,0.24,0.35,60.18,50.14,-0.1,0.41,2.72,-0.3,0.84,0.0,-0.09,0.39,2.55,-0.31,0.86,0.0
Long Lose mean,Long,Lose,mean,0.31,234.36,3.5,98.6,15.29,106.77,-10.14,-0.1,0.51,0.72,6.16,1.19,16.63,1.35,2.23,6.16,4.32,43.9,4.32,5.15,7.48,1.33,-10.24,2.67,-11.45,0.02,-0.1,0.03,-0.11,3.81,7.71,5.08,7.53,0.05,-0.02,0.03,0.03,2.01,-1.21,0.0,0.02,-0.46,2.09,-3.18,4.23,6.87,0.02,0.05,0.03,-0.06,0.04,-0.07,0.06,-0.1,3.92,6.63,3.65,4.61,234.29,0.21,0.22,0.66,0.34,0.67,-0.01,0.0,0.67,1.93,0.09,0.1,1.07,1.01,8.21,14.23,31.42,0.24,1.38,-0.0,11.6,69916.29,999.77,0.05,0.03,0.01,0.0,57.79,4.38,57.36,3.57,233.98,0.31,1.23,0.18,234.1,0.19,234.11,0.18,0.17,0.14,0.12,63722.48,949.51,0.0,0.0,0.08,0.07,0.14,33.15,11.34,-0.25,0.34,-2.64,-0.62,0.71,0.0,-0.22,0.32,-2.73,-0.6,0.7,0.0
Long Lose std,Long,Lose,std,0.53,8.01,1.3,29.56,14.17,24.61,11.18,0.06,0.45,0.63,3.86,1.73,21.92,0.87,1.56,3.86,3.19,35.35,4.28,3.72,3.87,2.45,11.12,4.11,11.88,0.03,0.05,0.03,0.06,3.94,4.54,4.37,4.56,0.03,0.06,0.02,0.02,1.76,2.22,0.02,0.01,1.69,2.71,1.88,3.94,4.59,0.03,0.05,0.03,0.06,0.04,0.05,0.04,0.06,4.47,5.05,3.85,4.12,8.01,0.07,0.07,0.18,0.18,0.22,0.02,0.01,0.21,2.04,0.08,0.1,0.34,0.14,11.88,17.49,39.73,0.19,0.6,0.0,6.23,40297.61,445.17,0.06,0.06,0.02,0.01,9.31,2.38,17.06,5.11,7.94,1.32,0.68,0.83,8.04,0.14,8.04,0.14,0.1,0.05,0.04,28280.59,346.37,0.0,0.0,0.04,0.03,0.04,9.88,16.56,0.15,0.05,0.63,0.35,0.11,0.0,0.14,0.06,0.55,0.38,0.11,0.0
Long Lose min,Long,Lose,min,0.0,220.78,2.0,22.0,1.0,57.0,-57.26,-0.33,0.01,0.01,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.83,0.0,1.0,2.0,0.0,-57.26,0.0,-57.26,0.0,-0.33,0.0,-0.39,0.0,1.0,0.0,1.0,-0.03,-0.16,0.0,0.0,-0.84,-10.07,-0.04,0.0,-8.13,-8.13,-9.9,1.0,1.0,-0.01,-0.09,-0.01,-0.28,0.0,-0.28,0.01,-0.35,0.0,0.0,0.0,0.0,220.67,0.12,0.12,0.22,0.09,-0.06,-0.1,-0.01,0.06,1.0,0.0,0.0,0.61,0.78,0.0,1.0,2.0,0.02,0.0,-0.01,5.0,20679.0,387.0,-0.09,-0.07,-0.04,-0.01,33.22,-1.38,22.7,-10.03,221.36,-2.22,0.4,-1.32,220.41,-0.13,220.41,-0.13,0.05,0.06,0.05,28749.95,509.74,0.0,0.0,0.04,0.03,0.07,14.31,-25.8,-0.55,0.22,-2.99,-1.0,0.46,0.0,-0.45,0.16,-2.99,-1.0,0.36,0.0
