Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Win mean,Long,Win,mean,1.83,227.14,6.09,23.13,13.78,72.04,7.73,0.05,0.73,1.02,22.39,18.48,81.11,1.38,2.96,5.52,22.39,91.97,6.96,22.7,23.83,15.95,-4.21,18.98,-6.45,0.11,-0.06,0.13,-0.08,18.78,5.48,18.61,6.3,0.07,0.04,0.03,0.04,2.31,0.63,0.08,0.07,1.14,3.31,-1.48,6.87,10.0,0.1,0.13,0.03,0.16,0.31,-0.04,0.34,-0.1,19.26,3.96,19.74,1.74,226.89,0.26,0.26,0.64,0.36,0.72,-0.01,-0.0,0.72,1.59,0.11,0.12,1.16,1.05,13.65,22.61,42.52,0.26,1.54,-0.0,12.65,42488.78,781.39,0.06,0.04,0.01,0.01,58.83,4.94,58.14,2.99,226.86,0.04,1.12,-0.11,226.65,0.24,226.66,0.23,0.23,0.17,0.16,39562.19,726.66,0.0,0.0,0.12,0.1,0.17,28.86,15.41,-0.21,0.31,-2.84,-0.57,0.68,0.0,-0.18,0.31,-2.83,-0.5,0.67,0.0
Long Win std,Long,Win,std,0.58,6.27,0.9,14.41,11.8,27.99,8.85,0.06,0.31,0.43,12.95,12.23,14.98,0.59,2.6,3.43,12.95,16.34,4.58,12.99,12.98,13.05,5.06,15.51,9.0,0.08,0.03,0.08,0.04,13.45,4.09,13.72,3.82,0.04,0.06,0.01,0.03,1.09,1.36,0.05,0.04,0.4,1.14,1.73,5.22,7.99,0.08,0.1,0.07,0.19,0.22,0.04,0.23,0.04,13.27,5.09,13.43,2.4,6.25,0.12,0.12,0.22,0.22,0.2,0.03,0.0,0.2,0.96,0.08,0.08,0.34,0.12,34.56,36.5,48.74,0.17,0.81,0.0,5.67,21705.22,293.33,0.07,0.07,0.02,0.01,8.06,2.36,13.8,5.22,5.88,1.15,0.65,0.67,6.26,0.22,6.26,0.21,0.11,0.08,0.08,24446.12,342.03,0.0,0.0,0.06,0.06,0.09,9.09,13.39,0.21,0.06,0.16,0.41,0.12,0.0,0.19,0.07,0.18,0.41,0.12,0.0
Long Win min,Long,Win,min,1.0,217.93,4.0,10.0,1.0,44.0,0.24,0.0,0.27,0.37,4.0,3.0,45.0,1.0,1.0,1.0,4.0,44.83,1.0,5.0,7.0,3.1,-23.5,4.44,-44.08,0.02,-0.12,0.04,-0.2,4.0,0.0,4.0,1.0,0.0,-0.04,0.0,0.01,0.03,-2.36,0.0,0.02,0.1,2.13,-7.78,1.0,1.0,0.0,-0.07,-0.02,-0.08,0.08,-0.12,0.1,-0.2,4.0,0.0,4.0,0.0,217.9,0.14,0.14,0.09,0.09,0.17,-0.13,-0.01,0.17,1.01,0.0,0.0,0.47,0.89,1.0,1.0,3.0,0.04,0.34,-0.01,4.0,18802.0,485.0,-0.1,-0.11,-0.08,-0.01,36.03,-0.49,29.64,-13.18,217.72,-1.29,0.44,-1.18,217.5,-0.15,217.5,-0.14,0.07,0.08,0.08,21762.13,482.2,0.0,0.0,0.04,0.04,0.08,18.43,-21.19,-0.56,0.16,-2.99,-1.0,0.47,0.0,-0.44,0.11,-2.99,-1.0,0.44,0.0
Long Win 25%,Long,Win,25%,1.5,221.88,6.0,13.0,4.5,53.0,2.17,0.01,0.54,0.75,12.5,9.5,75.96,1.0,1.0,3.0,12.5,100.0,3.5,13.5,14.5,6.19,-5.62,8.0,-7.46,0.06,-0.07,0.07,-0.1,10.5,2.5,10.0,3.5,0.04,0.0,0.02,0.02,2.05,0.13,0.04,0.04,0.95,2.76,-1.72,2.5,5.0,0.04,0.08,0.0,0.03,0.15,-0.06,0.19,-0.12,11.5,1.0,12.0,0.0,221.72,0.17,0.17,0.53,0.17,0.63,0.0,0.0,0.63,1.18,0.05,0.07,1.0,0.95,1.0,3.5,13.0,0.1,0.88,-0.0,9.0,31455.0,631.0,0.02,0.01,0.0,0.0,55.45,3.58,52.34,0.27,222.2,-0.52,0.73,-0.49,221.64,0.12,221.65,0.12,0.16,0.13,0.1,26247.67,556.53,0.0,0.0,0.08,0.08,0.12,22.87,7.15,-0.26,0.29,-2.95,-0.86,0.58,0.0,-0.3,0.29,-2.94,-0.77,0.61,0.0
Long Win 50%,Long,Win,50%,2.0,224.89,6.0,17.0,10.0,61.0,5.59,0.04,0.63,0.87,20.0,16.0,81.48,1.0,2.0,5.0,20.0,100.0,5.0,19.0,20.0,14.25,-2.92,14.97,-3.69,0.09,-0.05,0.11,-0.07,13.0,6.0,14.0,7.0,0.06,0.03,0.03,0.03,2.27,1.02,0.07,0.06,1.18,3.09,-1.28,5.0,8.0,0.1,0.11,0.01,0.13,0.26,-0.04,0.28,-0.09,15.0,2.0,15.0,1.0,224.73,0.24,0.24,0.62,0.38,0.77,0.0,0.0,0.77,1.3,0.09,0.11,1.14,1.03,2.0,5.0,21.0,0.21,1.52,-0.0,12.0,37864.0,721.0,0.05,0.03,0.01,0.01,60.5,4.64,58.12,3.25,225.01,-0.17,0.94,-0.29,224.71,0.17,224.72,0.16,0.21,0.16,0.14,30417.54,604.8,0.0,0.0,0.1,0.09,0.15,26.4,21.73,-0.2,0.31,-2.9,-0.62,0.67,0.0,-0.2,0.32,-2.86,-0.62,0.66,0.0
Long Win 75%,Long,Win,75%,2.0,233.63,7.0,27.0,21.5,78.5,10.33,0.07,0.82,1.12,27.0,22.0,92.71,2.0,3.5,8.0,27.0,100.0,9.0,26.5,29.0,19.53,-1.04,22.28,-2.28,0.14,-0.04,0.16,-0.04,27.0,6.5,23.5,7.0,0.09,0.07,0.04,0.05,2.74,1.34,0.11,0.09,1.41,3.58,-0.47,9.5,13.5,0.13,0.16,0.03,0.22,0.41,-0.01,0.44,-0.07,27.0,6.0,27.5,2.5,233.53,0.31,0.31,0.83,0.47,0.85,0.0,0.0,0.85,1.59,0.16,0.16,1.38,1.1,4.0,22.0,52.0,0.42,1.91,-0.0,16.5,45532.5,811.5,0.1,0.07,0.02,0.01,63.82,6.42,65.2,6.11,233.74,0.22,1.29,0.38,233.38,0.36,233.39,0.35,0.28,0.19,0.17,38565.72,700.94,0.0,0.0,0.13,0.12,0.19,31.79,23.94,-0.11,0.35,-2.81,-0.49,0.75,0.0,-0.11,0.36,-2.81,-0.32,0.74,0.0
Long Win max,Long,Win,max,3.0,235.88,8.0,66.0,42.0,133.0,42.43,0.24,1.38,1.92,59.0,56.0,100.0,3.0,11.0,14.0,59.0,100.0,18.0,60.0,61.0,51.61,0.0,62.74,-0.64,0.32,0.0,0.32,-0.02,57.0,15.0,58.0,15.0,0.15,0.22,0.06,0.12,5.4,2.92,0.24,0.16,1.88,7.61,0.58,18.0,31.0,0.38,0.45,0.35,0.76,1.01,0.0,1.05,-0.03,57.0,22.0,58.0,9.0,235.69,0.69,0.69,0.91,0.91,0.99,0.0,0.0,0.99,5.75,0.34,0.34,1.75,1.32,139.0,139.0,171.0,0.52,3.22,0.0,24.0,124249.0,1846.0,0.21,0.19,0.05,0.01,70.33,10.76,81.44,13.61,235.11,3.5,2.82,1.34,235.26,0.91,235.27,0.85,0.55,0.44,0.4,128139.69,2031.12,0.0,0.0,0.27,0.27,0.49,52.21,33.73,0.35,0.41,-2.46,0.79,0.86,0.0,0.32,0.42,-2.32,0.49,0.86,0.01
Long Lose mean,Long,Lose,mean,0.37,228.05,3.66,77.18,10.94,83.85,-8.72,-0.12,0.38,0.53,6.84,1.45,18.42,1.52,2.6,6.84,5.6,41.75,3.48,5.48,7.24,1.79,-9.03,3.09,-10.06,0.03,-0.13,0.05,-0.14,3.34,7.18,3.95,7.26,0.06,-0.03,0.04,0.03,1.68,-26443325585.56,0.0,0.03,-0.7,1.63,-3.17,3.43,5.46,0.04,0.08,0.05,-0.07,0.06,-0.09,0.08,-0.13,3.61,4.37,3.95,3.53,227.94,0.29,0.29,0.64,0.36,0.67,-0.01,-0.0,0.67,2.13,0.1,0.12,1.11,1.04,5.55,12.48,38.08,0.28,1.14,-0.0,11.18,48526.82,845.35,0.07,0.04,0.01,0.01,58.68,4.3,56.77,3.29,227.4,0.54,1.15,0.51,227.68,0.26,227.69,0.26,0.23,0.18,0.17,43207.61,769.64,0.0,0.0,0.12,0.1,0.18,29.66,14.13,-0.33,0.31,-2.59,-0.73,0.65,0.0,-0.29,0.29,-2.59,-0.67,0.63,0.0
Long Lose std,Long,Lose,std,0.68,6.67,1.71,30.21,9.99,25.86,10.48,0.07,0.35,0.49,5.49,2.03,22.45,1.18,2.94,5.49,5.79,35.84,4.85,5.33,5.77,4.5,10.37,5.6,11.03,0.05,0.07,0.05,0.07,4.63,6.41,4.85,6.42,0.05,0.06,0.03,0.02,1.01,208214953865.21,0.03,0.02,1.83,2.39,2.13,3.79,4.33,0.06,0.08,0.05,0.08,0.08,0.06,0.08,0.07,4.95,3.16,5.54,3.33,6.68,0.1,0.1,0.2,0.2,0.21,0.02,0.0,0.21,3.37,0.11,0.12,0.36,0.18,10.98,17.17,44.75,0.18,0.45,0.0,5.28,27478.52,340.57,0.07,0.05,0.02,0.01,7.09,2.26,14.64,4.37,6.32,1.26,0.61,0.91,6.66,0.19,6.66,0.19,0.14,0.07,0.06,15728.1,209.1,0.0,0.0,0.07,0.04,0.06,10.55,13.68,0.14,0.05,0.62,0.3,0.13,0.0,0.13,0.06,0.66,0.35,0.13,0.0
Long Lose min,Long,Lose,min,0.0,218.05,2.0,13.0,1.0,43.0,-67.56,-0.33,0.01,0.01,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.96,0.0,1.0,1.0,0.0,-67.56,0.0,-68.49,0.0,-0.33,0.0,-0.41,0.0,1.0,0.0,1.0,-0.08,-0.17,0.01,0.0,-1.14,-1639486186223.0,-0.07,0.0,-6.39,-5.2,-9.98,1.0,1.0,-0.0,-0.06,-0.02,-0.29,0.0,-0.29,0.0,-0.38,0.0,0.0,0.0,0.0,217.98,0.09,0.09,0.23,0.08,0.04,-0.09,-0.04,0.04,1.0,0.0,0.0,0.44,0.83,1.0,1.0,2.0,0.02,0.35,-0.01,4.0,16836.0,462.0,-0.11,-0.11,-0.03,-0.02,27.2,-3.73,13.47,-9.03,217.72,-2.24,0.5,-1.27,217.59,-0.19,217.59,-0.18,0.09,0.08,0.07,21358.45,456.28,0.0,0.0,0.04,0.04,0.07,15.85,-25.99,-0.56,0.17,-2.98,-1.0,0.25,0.0,-0.48,0.14,-2.98,-1.0,0.24,0.0
