Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Win mean,Long,Win,mean,1.61,18.86,6.28,43.67,15.67,113.61,6.56,0.35,1.17,0.96,21.0,17.11,81.68,1.67,4.06,5.87,21.0,90.77,6.06,21.33,22.5,10.48,-1.31,11.88,-2.25,0.56,-0.15,0.64,-0.25,18.78,4.89,18.28,5.94,0.17,0.2,0.1,0.18,1.71,1.11,0.34,0.26,1.38,3.2,-0.54,7.06,10.83,0.36,0.64,0.06,1.02,1.5,-0.06,1.59,-0.27,18.72,0.89,18.56,1.17,18.78,0.07,0.07,0.71,0.29,0.72,-0.01,-0.0,0.72,1.51,0.02,0.03,1.04,1.04,6.22,13.06,48.11,0.18,1.62,-0.0,11.39,59269.72,319.39,0.02,0.02,0.0,0.0,60.5,3.46,65.74,2.57,18.72,0.06,0.26,0.24,18.71,0.07,18.71,0.07,0.05,0.05,0.04,54578.94,274.46,0.0,0.0,0.03,0.02,0.04,32.21,14.52,-0.29,0.46,-2.62,-0.81,0.9,0.01,-0.27,0.41,-2.6,-0.88,0.89,0.01
Long Win std,Long,Win,std,0.85,1.15,1.67,26.86,17.5,60.04,5.88,0.38,0.67,0.55,10.13,10.42,17.51,1.29,4.3,3.87,10.13,19.03,4.56,9.96,10.06,8.89,1.48,10.0,1.87,0.47,0.14,0.51,0.14,10.45,3.53,9.55,3.69,0.1,0.17,0.05,0.14,1.03,0.64,0.19,0.12,0.34,0.78,1.23,6.23,7.73,0.16,0.27,0.1,0.65,0.63,0.1,0.67,0.14,10.41,1.37,8.89,1.5,1.13,0.02,0.02,0.17,0.17,0.18,0.02,0.0,0.18,0.51,0.02,0.02,0.42,0.13,8.17,10.36,44.29,0.11,0.58,0.0,4.68,44665.91,237.8,0.02,0.01,0.01,0.0,6.75,2.05,12.58,6.39,0.95,0.25,0.13,0.83,1.1,0.04,1.1,0.04,0.02,0.01,0.01,28524.82,114.17,0.0,0.0,0.01,0.01,0.01,9.26,12.91,0.15,0.03,0.75,0.39,0.05,0.0,0.11,0.04,0.78,0.14,0.06,0.0
Long Win min,Long,Win,min,0.0,16.76,4.0,12.0,1.0,53.0,0.55,0.05,0.37,0.3,9.0,7.0,30.43,1.0,1.0,1.0,9.0,35.0,1.0,10.0,10.0,1.41,-4.71,1.53,-7.76,0.14,-0.56,0.15,-0.73,6.0,0.0,2.0,1.0,-0.02,-0.03,0.04,0.04,-0.52,-0.25,0.15,0.11,0.55,2.45,-3.4,1.0,3.0,0.07,0.34,-0.08,0.29,0.84,-0.39,0.84,-0.56,6.0,0.0,7.0,0.0,16.74,0.05,0.05,0.38,0.08,0.33,-0.06,-0.01,0.33,1.0,0.0,0.0,0.46,0.78,1.0,1.0,2.0,0.05,0.86,-0.0,7.0,14066.0,68.0,-0.01,-0.0,-0.01,-0.0,46.83,-0.74,30.64,-5.85,16.91,-0.36,0.13,-1.06,16.68,0.0,16.69,0.0,0.02,0.03,0.02,26299.49,128.96,0.0,0.0,0.01,0.01,0.03,20.29,-12.49,-0.56,0.41,-2.99,-1.0,0.79,0.0,-0.44,0.33,-2.98,-1.0,0.77,0.0
Long Win 25%,Long,Win,25%,1.0,18.17,5.0,25.0,4.0,66.25,1.38,0.09,0.66,0.54,13.5,11.0,75.26,1.0,1.0,3.0,13.5,100.0,3.0,14.25,16.75,3.5,-1.36,4.0,-3.03,0.26,-0.19,0.33,-0.24,12.5,3.0,13.5,3.25,0.12,0.06,0.07,0.09,1.23,0.8,0.21,0.16,1.19,2.66,-1.16,2.0,4.0,0.27,0.43,-0.0,0.6,1.04,-0.08,1.11,-0.36,12.5,0.0,13.5,0.0,18.09,0.05,0.05,0.62,0.15,0.6,-0.02,0.0,0.6,1.16,0.0,0.01,0.69,0.96,1.0,4.5,16.25,0.07,1.09,-0.0,9.0,33112.75,189.25,0.01,0.01,-0.0,0.0,56.21,2.54,61.29,-1.85,18.2,-0.08,0.17,-0.45,18.05,0.05,18.05,0.05,0.03,0.04,0.03,33291.17,187.64,0.0,0.0,0.02,0.02,0.03,23.65,4.52,-0.38,0.44,-2.96,-0.96,0.88,0.0,-0.35,0.39,-2.96,-1.0,0.86,0.0
Long Win 50%,Long,Win,50%,2.0,18.45,6.0,30.5,7.0,101.0,4.61,0.27,1.04,0.86,19.0,14.5,85.29,1.0,2.5,5.0,19.0,100.0,5.0,19.5,21.5,6.94,-0.91,8.14,-1.61,0.4,-0.14,0.45,-0.2,17.0,4.0,17.0,5.0,0.16,0.21,0.08,0.14,1.65,1.16,0.28,0.19,1.4,2.89,-0.01,4.0,8.5,0.37,0.59,0.04,0.74,1.15,0.0,1.3,-0.25,17.0,0.0,17.0,0.5,18.39,0.06,0.06,0.74,0.26,0.74,0.0,0.0,0.74,1.36,0.03,0.03,1.02,1.04,3.0,9.5,30.0,0.17,1.58,-0.0,9.5,39183.0,265.5,0.02,0.01,0.0,0.0,59.16,3.62,68.07,0.6,18.32,0.04,0.19,0.22,18.34,0.06,18.34,0.06,0.05,0.04,0.04,50500.69,263.14,0.0,0.0,0.02,0.02,0.04,31.7,16.72,-0.3,0.46,-2.88,-0.92,0.91,0.01,-0.28,0.43,-2.88,-0.93,0.9,0.01
Long Win 75%,Long,Win,75%,2.0,19.61,8.0,64.25,23.5,130.0,11.23,0.34,1.37,1.13,24.5,19.0,91.67,1.5,5.5,7.0,24.5,100.0,7.75,25.25,26.0,17.64,-0.36,19.45,-0.96,0.55,-0.06,0.67,-0.16,22.0,6.75,22.25,8.5,0.25,0.28,0.12,0.2,2.19,1.56,0.46,0.38,1.63,3.6,0.25,11.5,15.0,0.46,0.73,0.07,1.58,1.99,0.0,2.09,-0.18,21.75,1.0,21.75,2.0,19.51,0.09,0.09,0.85,0.38,0.86,0.0,0.0,0.86,1.66,0.04,0.04,1.32,1.14,5.75,20.0,73.0,0.26,2.06,-0.0,11.75,68780.5,358.75,0.03,0.02,0.01,0.0,65.82,4.64,72.41,5.3,19.29,0.18,0.29,0.96,19.43,0.09,19.44,0.09,0.06,0.05,0.06,59004.41,299.6,0.0,0.0,0.04,0.03,0.05,37.52,21.29,-0.16,0.48,-2.67,-0.81,0.94,0.01,-0.2,0.45,-2.66,-0.8,0.92,0.01
Long Win max,Long,Win,max,4.0,20.81,9.0,97.0,56.0,269.0,17.96,1.49,2.88,2.35,53.0,53.0,100.0,5.0,17.0,16.0,53.0,100.0,19.0,54.0,55.0,29.5,0.0,32.41,-0.35,1.67,0.0,1.97,-0.14,53.0,14.0,46.0,14.0,0.34,0.64,0.26,0.57,3.94,2.11,0.77,0.46,1.94,5.05,0.75,18.0,29.0,0.69,1.28,0.3,2.58,2.73,0.0,2.76,-0.07,53.0,4.0,46.0,4.0,20.72,0.1,0.1,0.92,0.62,1.0,0.0,0.0,1.0,3.0,0.06,0.08,2.17,1.29,27.0,33.0,140.0,0.42,2.81,0.0,26.0,173448.0,1101.0,0.05,0.05,0.02,0.0,71.91,7.68,87.81,14.26,20.28,0.59,0.56,1.81,20.57,0.16,20.57,0.16,0.11,0.07,0.06,132535.72,564.48,0.0,0.0,0.05,0.05,0.07,52.51,36.09,-0.09,0.54,0.19,0.69,0.98,0.02,-0.07,0.47,0.29,-0.54,0.97,0.01
Long Lose mean,Long,Lose,mean,0.28,18.68,3.74,100.52,17.96,108.66,-4.88,-0.47,0.6,0.49,6.72,0.88,12.01,1.38,2.79,6.72,5.11,47.42,4.72,5.84,8.08,0.6,-4.93,1.19,-5.5,0.04,-0.48,0.09,-0.51,4.08,8.6,5.08,8.32,0.19,-0.1,0.12,0.1,1.77,-1.24,0.02,0.07,-0.16,2.39,-2.65,4.45,7.57,0.12,0.26,0.11,-0.23,0.21,-0.26,0.3,-0.39,3.76,6.14,3.98,4.58,18.65,0.07,0.07,0.69,0.31,0.7,-0.01,-0.0,0.7,1.82,0.03,0.03,1.21,1.04,9.88,23.64,43.08,0.23,1.51,-0.0,12.28,66621.08,327.2,0.02,0.01,0.0,0.0,59.13,4.61,57.68,3.68,18.51,0.14,0.29,0.36,18.58,0.07,18.58,0.06,0.06,0.05,0.04,54265.49,276.98,0.0,0.0,0.03,0.03,0.04,30.94,14.68,-0.27,0.45,-2.5,-0.75,0.9,0.01,-0.24,0.41,-2.45,-0.71,0.88,0.01
Long Lose std,Long,Lose,std,0.61,1.06,1.77,61.9,26.18,61.57,6.54,0.18,0.65,0.52,4.75,1.56,21.07,0.92,2.74,4.75,3.77,35.57,5.84,4.51,4.91,1.71,6.52,2.91,7.65,0.07,0.16,0.1,0.16,5.48,7.11,5.99,7.18,0.15,0.18,0.08,0.06,1.49,2.08,0.08,0.05,1.77,2.9,1.75,5.49,7.11,0.15,0.35,0.15,0.21,0.21,0.17,0.23,0.18,4.25,5.27,4.49,5.76,1.06,0.02,0.02,0.15,0.15,0.24,0.02,0.0,0.24,1.52,0.03,0.03,0.55,0.12,17.34,35.26,39.14,0.2,0.63,0.0,5.56,49113.7,197.67,0.02,0.02,0.01,0.0,8.65,2.84,15.06,4.97,0.86,0.28,0.16,0.77,1.06,0.06,1.06,0.06,0.04,0.02,0.01,30021.59,149.3,0.0,0.0,0.02,0.01,0.01,11.37,16.52,0.19,0.03,0.84,0.43,0.05,0.0,0.15,0.04,0.97,0.47,0.06,0.0
Long Lose min,Long,Lose,min,0.0,16.77,2.0,22.0,1.0,45.0,-34.09,-0.98,0.01,0.01,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.94,0.0,1.0,2.0,0.0,-34.09,0.0,-37.72,0.0,-0.98,0.0,-0.96,0.0,1.0,0.0,1.0,-0.11,-0.49,0.03,0.0,-0.77,-9.06,-0.14,0.01,-8.94,-8.94,-8.94,1.0,1.0,-0.0,-0.56,-0.11,-0.82,0.0,-0.82,0.0,-1.06,0.0,0.0,0.0,0.0,16.73,0.04,0.04,0.34,0.08,0.09,-0.12,-0.01,0.09,1.0,0.0,0.0,0.48,0.82,1.0,1.0,2.0,0.04,0.0,-0.0,5.0,15466.0,89.0,-0.07,-0.05,-0.02,-0.0,29.04,-0.93,14.11,-12.22,16.91,-0.36,0.1,-1.21,16.66,-0.12,16.66,-0.12,0.01,0.03,0.02,22584.83,115.26,0.0,0.0,0.01,0.01,0.03,14.64,-31.4,-0.55,0.4,-2.99,-1.0,0.76,0.0,-0.46,0.31,-2.99,-1.0,0.72,0.0
