Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Win mean,Long,Win,mean,1.95,634.39,6.68,10.47,6.79,35.42,16.29,0.06,0.36,0.91,22.68,19.26,82.78,1.56,2.16,6.5,22.68,90.33,6.0,23.21,24.26,28.31,-7.19,33.83,-10.31,0.12,-0.07,0.15,-0.09,18.53,5.16,17.95,5.84,0.1,0.05,0.06,0.05,2.06,1.06,0.1,0.08,1.26,3.66,-1.33,7.11,10.53,0.14,0.22,0.03,0.23,0.42,-0.02,0.45,-0.12,18.53,1.58,18.79,0.63,633.41,1.08,1.07,0.6,0.4,0.64,-0.01,0.0,0.64,2.02,0.39,0.48,1.15,1.06,5.21,13.16,33.42,0.23,1.5,-0.0,9.84,24506.47,639.84,0.38,0.27,0.06,0.03,62.43,4.89,63.66,3.04,630.42,2.99,4.38,0.73,632.13,1.28,632.17,1.24,0.81,0.69,0.61,21784.97,552.21,0.0,0.0,0.42,0.33,0.65,33.59,22.05,-0.3,0.16,-2.56,-0.78,0.34,0.0,-0.27,0.14,-2.57,-0.73,0.3,0.0
Long Win std,Long,Win,std,0.71,28.6,1.53,4.74,7.99,10.61,18.03,0.06,0.12,0.31,14.87,14.04,11.58,0.63,1.77,3.95,14.87,14.59,4.41,14.71,14.87,23.43,5.95,26.88,6.74,0.07,0.04,0.07,0.04,14.89,5.04,15.14,4.83,0.07,0.05,0.04,0.03,1.4,1.01,0.06,0.04,0.44,1.85,1.84,6.05,6.37,0.06,0.13,0.05,0.2,0.22,0.03,0.23,0.06,14.89,2.65,14.84,1.16,28.49,0.44,0.44,0.18,0.18,0.27,0.01,0.0,0.27,1.27,0.34,0.33,0.47,0.16,9.37,17.53,41.44,0.23,0.71,0.0,3.76,13645.38,283.33,0.33,0.3,0.07,0.03,7.56,2.7,15.22,4.1,28.7,3.48,2.56,0.66,28.46,0.89,28.45,0.85,0.43,0.26,0.28,11200.92,207.73,0.0,0.0,0.29,0.17,0.22,14.34,13.43,0.16,0.06,0.52,0.26,0.16,0.0,0.13,0.06,0.51,0.27,0.13,0.0
Long Win min,Long,Win,min,1.0,596.56,4.0,4.0,1.0,17.0,0.47,0.0,0.17,0.4,6.0,4.0,57.14,1.0,1.0,1.0,6.0,60.0,1.0,7.0,8.0,3.2,-18.8,4.8,-23.44,0.03,-0.15,0.04,-0.19,3.0,0.0,3.0,1.0,0.03,-0.03,0.0,0.01,0.67,-0.98,0.03,0.03,0.52,1.84,-5.8,1.0,1.0,0.02,0.08,-0.04,-0.04,0.07,-0.08,0.11,-0.28,3.0,0.0,4.0,0.0,595.3,0.4,0.4,0.31,0.14,0.17,-0.04,0.0,0.17,1.0,0.0,0.06,0.51,0.88,1.0,1.0,3.0,0.04,0.28,-0.01,4.0,4971.0,215.0,-0.14,-0.27,-0.06,-0.04,48.48,1.41,37.25,-4.29,596.22,-5.72,1.49,-0.68,595.15,0.15,595.14,0.16,0.3,0.26,0.22,8695.92,280.89,0.0,0.0,0.1,0.1,0.27,16.5,3.32,-0.55,0.07,-2.96,-1.0,0.11,0.0,-0.48,0.05,-2.97,-1.0,0.12,0.0
Long Win 25%,Long,Win,25%,2.0,614.72,6.0,8.5,1.0,26.5,2.5,0.02,0.25,0.61,12.5,10.0,76.07,1.0,1.0,3.0,12.5,83.89,3.0,13.5,14.5,8.45,-11.62,11.74,-14.02,0.07,-0.1,0.09,-0.11,10.0,2.0,9.0,2.5,0.07,0.01,0.04,0.02,1.3,0.26,0.06,0.06,1.0,2.58,-1.4,2.5,4.5,0.1,0.11,0.0,0.12,0.25,-0.04,0.29,-0.17,10.0,0.0,9.5,0.0,613.53,0.77,0.77,0.45,0.23,0.47,0.0,0.0,0.47,1.13,0.15,0.25,0.83,0.95,1.0,2.5,5.0,0.07,0.94,-0.0,7.5,14656.5,447.5,0.2,0.09,0.01,0.01,57.63,3.04,56.71,0.97,611.9,1.4,2.46,0.33,612.38,0.6,612.44,0.63,0.52,0.53,0.43,13245.22,396.47,0.0,0.0,0.25,0.25,0.49,21.35,9.68,-0.44,0.12,-2.88,-0.98,0.2,0.0,-0.39,0.1,-2.88,-0.94,0.19,0.0
Long Win 50%,Long,Win,50%,2.0,623.13,7.0,9.0,4.0,41.0,10.16,0.04,0.43,1.12,20.0,15.0,83.33,1.5,1.0,6.0,20.0,100.0,5.0,20.0,21.0,20.08,-6.16,25.33,-7.53,0.09,-0.08,0.14,-0.09,13.0,4.0,12.0,5.0,0.08,0.04,0.06,0.03,1.94,1.08,0.08,0.07,1.3,2.9,-0.52,6.0,11.0,0.14,0.21,0.01,0.15,0.38,0.0,0.41,-0.11,13.0,0.0,14.0,0.0,622.87,1.0,0.99,0.56,0.44,0.58,0.0,0.0,0.58,1.74,0.32,0.38,1.14,1.01,2.0,5.0,11.0,0.14,1.62,-0.0,10.0,25772.0,609.0,0.3,0.18,0.06,0.03,61.03,4.5,62.59,2.5,615.73,3.27,3.84,0.92,620.57,1.14,620.63,1.12,0.65,0.63,0.57,20040.42,531.28,0.0,0.0,0.35,0.32,0.62,33.67,23.76,-0.32,0.15,-2.72,-0.8,0.38,0.0,-0.24,0.14,-2.71,-0.73,0.34,0.0
Long Win 75%,Long,Win,75%,2.0,650.26,7.0,12.0,7.0,44.0,23.77,0.08,0.46,1.15,30.0,23.5,89.44,2.0,2.5,9.0,30.0,100.0,7.5,30.0,31.5,42.02,-2.59,47.32,-6.0,0.16,-0.03,0.18,-0.06,23.0,6.5,23.0,7.0,0.13,0.09,0.07,0.07,2.35,1.77,0.14,0.1,1.47,3.92,-0.29,10.5,15.0,0.17,0.26,0.07,0.32,0.53,0.0,0.56,-0.08,23.0,2.0,23.5,1.0,649.28,1.28,1.28,0.77,0.55,0.89,0.0,0.0,0.89,2.14,0.53,0.62,1.31,1.14,5.0,14.5,58.0,0.27,1.98,-0.0,11.5,30925.5,798.5,0.55,0.33,0.09,0.05,66.1,5.42,70.74,6.61,644.28,5.1,5.3,1.17,648.36,1.61,648.36,1.58,0.99,0.8,0.72,24824.25,648.01,0.0,0.0,0.5,0.36,0.78,35.4,32.78,-0.15,0.2,-2.57,-0.72,0.43,0.0,-0.16,0.17,-2.6,-0.64,0.39,0.0
Long Win max,Long,Win,max,4.0,689.8,11.0,20.0,27.0,48.0,68.31,0.23,0.5,1.22,58.0,54.0,100.0,3.0,6.0,15.0,58.0,100.0,19.0,58.0,61.0,80.21,0.0,86.12,-0.19,0.27,0.0,0.3,-0.01,57.0,20.0,55.0,22.0,0.3,0.14,0.19,0.13,7.34,2.83,0.24,0.19,2.2,8.32,0.39,21.0,22.0,0.25,0.55,0.12,0.83,1.03,0.0,1.07,-0.03,57.0,9.0,55.0,4.0,688.52,2.14,2.14,0.86,0.69,1.0,0.0,0.0,1.0,5.8,1.16,1.16,2.48,1.38,42.0,62.0,118.0,0.8,2.55,0.01,20.0,57795.0,1283.0,1.2,1.0,0.26,0.12,79.18,11.94,99.79,10.25,694.24,10.29,12.03,1.61,687.15,3.24,687.19,3.14,1.88,1.38,1.39,49283.39,1053.42,0.0,0.0,1.32,0.86,1.12,72.21,42.29,-0.07,0.26,-0.95,0.08,0.64,0.0,-0.07,0.24,-0.91,0.15,0.61,0.0
Long Lose mean,Long,Lose,mean,0.38,620.86,3.63,27.21,4.52,29.95,-13.12,-0.15,0.16,0.38,6.85,1.34,15.23,1.49,2.64,6.85,5.18,46.66,3.72,5.76,7.54,2.22,-13.33,4.82,-14.43,0.03,-0.15,0.06,-0.16,3.32,7.67,4.34,7.6,0.06,-0.02,0.04,0.04,2.02,-0.79,-0.0,0.03,-0.58,1.8,-2.91,3.83,6.05,0.05,0.09,0.05,-0.08,0.08,-0.1,0.11,-0.14,3.67,5.48,4.18,3.87,620.44,0.88,0.88,0.64,0.36,0.65,-0.01,0.0,0.66,2.15,0.32,0.36,1.15,0.99,5.49,14.09,41.22,0.26,1.42,-0.0,12.4,20237.2,504.38,0.22,0.15,0.03,0.02,58.95,4.17,57.98,3.13,618.21,2.23,3.74,0.75,619.62,0.82,619.64,0.79,0.65,0.55,0.51,17832.56,443.08,0.0,0.0,0.33,0.29,0.56,29.73,13.29,-0.3,0.17,-2.62,-0.68,0.38,0.0,-0.29,0.15,-2.62,-0.7,0.36,0.0
Long Lose std,Long,Lose,std,0.7,22.78,1.67,11.09,5.91,9.63,15.97,0.07,0.15,0.37,4.64,2.2,22.98,1.53,2.18,4.64,3.95,38.06,4.02,4.65,4.68,5.09,15.87,8.53,18.42,0.05,0.07,0.07,0.07,4.56,5.13,4.37,4.93,0.04,0.07,0.02,0.02,1.56,1.81,0.03,0.02,1.62,2.58,1.71,3.99,5.19,0.06,0.08,0.05,0.09,0.09,0.08,0.1,0.07,4.63,4.36,5.09,4.47,22.71,0.32,0.31,0.17,0.17,0.27,0.02,0.0,0.25,2.46,0.27,0.29,0.52,0.14,8.21,18.37,48.85,0.21,0.7,0.0,6.65,17109.09,257.55,0.23,0.2,0.06,0.02,7.69,2.0,18.2,4.4,22.02,3.17,2.07,0.74,22.5,0.53,22.51,0.52,0.33,0.18,0.17,13046.03,165.33,0.0,0.0,0.16,0.12,0.19,9.16,13.07,0.15,0.05,0.53,0.36,0.15,0.0,0.13,0.05,0.53,0.34,0.14,0.0
Long Lose min,Long,Lose,min,0.0,592.19,2.0,6.0,1.0,15.0,-73.57,-0.34,0.01,0.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.12,0.0,1.0,1.0,0.0,-73.57,0.0,-92.46,0.0,-0.34,0.0,-0.36,0.0,1.0,0.0,1.0,-0.05,-0.21,0.01,0.0,-2.12,-5.07,-0.08,0.0,-5.06,-5.06,-8.82,1.0,1.0,-0.01,-0.06,-0.02,-0.45,0.0,-0.45,0.0,-0.55,0.0,0.0,0.0,0.0,592.18,0.49,0.49,0.28,0.08,-0.19,-0.08,-0.0,0.05,1.0,0.0,0.0,0.21,0.79,0.0,1.0,2.0,0.03,0.0,-0.03,4.0,2075.0,183.0,-0.19,-0.32,-0.09,-0.02,39.34,-2.5,8.34,-7.46,596.24,-4.9,1.5,-1.1,591.47,-0.36,591.48,-0.33,0.19,0.32,0.3,7500.18,272.55,0.0,0.0,0.04,0.04,0.32,14.53,-20.74,-0.54,0.05,-2.99,-1.0,0.08,0.0,-0.5,0.04,-2.99,-1.0,0.06,0.0
