Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Win mean,Long,Win,mean,2.17,136.1,6.59,52.14,31.14,218.0,31.07,0.11,2.22,2.57,18.55,15.17,83.83,2.0,2.66,6.48,18.55,94.78,6.14,18.34,19.97,44.52,-8.7,48.87,-18.44,0.16,-0.05,0.18,-0.1,16.38,5.66,15.83,6.97,0.1,0.05,0.06,0.05,1.77,0.84,0.12,0.09,1.25,3.68,-1.53,4.59,10.38,0.11,0.23,0.07,0.31,0.52,-0.03,0.55,-0.13,16.28,2.28,16.59,2.14,135.95,0.26,0.26,0.63,0.37,0.69,-0.0,0.0,0.69,1.88,0.07,0.08,1.09,0.98,11.34,17.9,32.83,0.26,1.36,-0.0,11.69,425508.93,3357.34,0.06,0.03,0.01,0.01,58.47,4.66,56.13,3.46,134.94,1.01,1.29,0.9,135.71,0.24,135.72,0.22,0.18,0.16,0.15,373995.21,3096.75,0.0,0.0,0.11,0.1,0.17,30.33,14.14,-0.35,0.33,-2.56,-0.71,0.68,0.0,-0.3,0.29,-2.56,-0.72,0.67,0.0
Long Win std,Long,Win,std,0.6,8.64,0.98,26.42,24.02,14.69,52.27,0.18,0.25,0.24,9.18,8.06,17.57,1.35,3.28,5.69,9.18,13.35,4.91,8.44,8.93,56.73,13.33,57.75,19.85,0.19,0.05,0.19,0.06,9.29,6.13,9.87,5.56,0.07,0.06,0.04,0.03,0.72,1.23,0.16,0.1,0.4,1.38,2.02,4.22,7.75,0.06,0.18,0.07,0.63,0.68,0.05,0.7,0.07,9.3,3.9,9.58,3.16,8.64,0.11,0.11,0.17,0.17,0.23,0.01,0.0,0.23,1.8,0.07,0.07,0.3,0.08,26.28,31.28,51.24,0.24,0.81,0.0,7.0,358430.67,2350.23,0.07,0.06,0.02,0.01,9.45,1.85,17.52,4.45,9.17,1.6,0.81,0.76,8.74,0.19,8.73,0.18,0.09,0.06,0.06,245022.33,1839.74,0.0,0.0,0.05,0.04,0.07,11.14,13.48,0.18,0.06,0.48,0.49,0.12,0.0,0.16,0.07,0.47,0.45,0.14,0.0
Long Win min,Long,Win,min,1.0,120.02,5.0,40.0,1.0,199.0,0.74,0.0,1.24,1.46,6.0,5.0,41.18,1.0,1.0,1.0,6.0,58.45,2.0,7.0,7.0,6.74,-64.66,8.34,-84.66,0.02,-0.22,0.04,-0.28,5.0,0.0,4.0,1.0,0.0,-0.05,0.01,0.0,0.05,-2.89,0.01,0.03,0.49,2.0,-7.25,1.0,1.0,-0.03,-0.02,-0.0,-0.14,0.15,-0.16,0.17,-0.35,5.0,0.0,4.0,0.0,119.95,0.14,0.14,0.32,0.09,0.0,-0.03,0.0,0.0,1.03,0.0,0.0,0.51,0.87,1.0,1.0,2.0,0.04,0.0,-0.01,4.0,163168.0,1407.0,-0.11,-0.11,-0.03,-0.0,33.9,-0.56,18.42,-2.79,120.29,-2.84,0.56,-0.84,119.7,-0.16,119.71,-0.17,0.06,0.09,0.08,166212.8,1428.76,0.0,0.0,0.06,0.04,0.09,14.4,-13.53,-0.58,0.2,-2.98,-1.0,0.39,0.0,-0.45,0.14,-2.97,-1.0,0.29,0.0
Long Win 25%,Long,Win,25%,2.0,131.4,6.0,42.0,10.0,208.0,9.06,0.03,2.13,2.53,12.0,10.0,80.0,1.0,1.0,3.0,12.0,100.0,4.0,13.0,14.0,21.74,-10.94,27.04,-21.5,0.08,-0.08,0.09,-0.13,10.0,2.0,7.0,4.0,0.06,0.01,0.03,0.03,1.45,0.24,0.06,0.04,0.96,2.76,-2.34,2.0,6.0,0.07,0.14,0.02,0.08,0.23,-0.07,0.26,-0.15,9.0,0.0,9.0,0.0,131.28,0.17,0.17,0.51,0.24,0.59,0.0,0.0,0.59,1.13,0.01,0.04,0.91,0.93,1.0,1.0,6.0,0.09,0.87,-0.0,8.0,214306.0,1926.0,0.02,0.01,-0.0,0.0,55.93,3.81,43.75,0.15,131.45,0.6,0.75,0.77,131.04,0.13,131.06,0.13,0.11,0.12,0.11,223740.61,1996.11,0.0,0.0,0.07,0.07,0.12,22.41,6.69,-0.46,0.28,-2.92,-1.0,0.66,0.0,-0.41,0.24,-2.91,-1.0,0.62,0.0
Long Win 50%,Long,Win,50%,2.0,136.52,6.0,44.0,28.0,217.0,17.56,0.06,2.24,2.59,17.0,14.0,90.91,1.0,1.0,5.0,17.0,100.0,4.0,17.0,18.0,28.06,-2.84,31.34,-14.38,0.09,-0.03,0.11,-0.09,15.0,4.0,15.0,5.0,0.08,0.05,0.05,0.04,1.62,1.14,0.07,0.06,1.3,3.28,-1.03,3.0,10.0,0.09,0.19,0.04,0.13,0.35,0.0,0.4,-0.12,15.0,0.0,15.0,1.0,136.29,0.24,0.22,0.63,0.37,0.71,0.0,0.0,0.71,1.4,0.05,0.06,1.05,0.96,2.0,2.0,19.0,0.17,1.12,-0.0,10.0,278558.0,2494.0,0.06,0.03,0.01,0.01,58.71,4.57,58.97,2.95,136.25,0.91,0.94,1.04,135.81,0.24,135.83,0.23,0.15,0.15,0.14,272195.11,2449.79,0.0,0.0,0.1,0.08,0.14,27.5,17.11,-0.41,0.34,-2.66,-0.91,0.7,0.0,-0.35,0.3,-2.69,-0.93,0.69,0.0
Long Win 75%,Long,Win,75%,2.0,143.66,7.0,47.0,39.0,224.0,24.96,0.08,2.32,2.66,24.0,18.0,95.24,3.0,3.0,7.5,24.0,100.0,6.0,22.0,24.0,35.78,-0.62,39.21,-6.66,0.15,-0.01,0.16,-0.05,22.0,7.0,20.0,7.0,0.13,0.08,0.08,0.07,2.13,1.59,0.12,0.09,1.62,4.43,-0.13,5.0,14.0,0.14,0.33,0.1,0.25,0.5,0.0,0.52,-0.09,22.0,2.0,23.0,3.0,143.49,0.31,0.31,0.76,0.49,0.88,0.0,0.0,0.88,1.69,0.12,0.12,1.29,1.02,4.0,17.0,25.0,0.33,1.84,-0.0,13.0,451076.0,3863.0,0.08,0.07,0.02,0.01,63.85,5.94,70.36,5.76,142.78,1.28,1.47,1.47,143.27,0.35,143.27,0.34,0.22,0.19,0.18,387279.6,3168.95,0.0,0.0,0.13,0.12,0.2,36.67,23.34,-0.31,0.37,-2.42,-0.67,0.77,0.0,-0.25,0.33,-2.37,-0.67,0.77,0.0
Long Win max,Long,Win,max,4.0,147.65,9.0,153.0,84.0,246.0,276.34,0.94,2.55,2.83,41.0,38.0,100.0,5.0,16.0,23.0,41.0,100.0,22.0,42.0,42.0,303.29,0.0,313.58,-1.52,1.03,0.0,1.07,-0.02,38.0,23.0,39.0,23.0,0.35,0.22,0.18,0.15,3.97,2.64,0.88,0.59,1.85,7.42,0.77,17.0,35.0,0.25,0.92,0.28,3.32,3.77,0.0,3.94,-0.06,38.0,14.0,39.0,12.0,147.54,0.55,0.55,0.91,0.68,0.97,0.0,0.0,0.97,10.0,0.27,0.27,1.81,1.18,93.0,103.0,228.0,1.0,3.04,0.0,33.0,1746478.0,12131.0,0.17,0.18,0.04,0.03,76.5,8.08,84.56,15.12,146.36,4.88,3.83,1.82,147.42,0.63,147.42,0.6,0.43,0.35,0.32,1134569.57,8680.96,0.0,0.0,0.22,0.2,0.35,63.15,38.33,0.13,0.42,-0.73,0.74,0.88,0.0,0.13,0.39,-0.9,0.61,0.88,0.0
Long Lose mean,Long,Lose,mean,0.26,137.98,3.36,203.64,23.0,214.67,-18.92,-0.2,0.79,0.91,6.22,1.16,15.4,1.53,2.32,6.22,4.29,35.16,2.78,4.19,6.28,2.56,-19.18,5.23,-20.94,0.04,-0.2,0.06,-0.22,2.38,6.45,3.43,6.29,0.09,-0.05,0.06,0.05,1.66,-0.9,-0.01,0.03,-0.83,1.51,-3.32,2.9,5.19,0.04,0.11,0.06,-0.15,0.07,-0.15,0.11,-0.19,2.72,6.09,2.74,4.4,137.92,0.26,0.26,0.65,0.35,0.63,-0.01,0.0,0.63,1.82,0.08,0.09,1.2,1.0,6.03,11.72,37.59,0.23,1.4,-0.0,11.64,428032.09,3451.64,0.07,0.05,0.01,0.01,60.02,4.12,60.89,3.33,137.27,0.64,1.13,0.76,137.67,0.25,137.68,0.24,0.19,0.16,0.15,339618.5,2838.51,0.0,0.0,0.11,0.09,0.16,31.47,15.0,-0.34,0.33,-2.72,-0.78,0.69,0.0,-0.29,0.29,-2.71,-0.76,0.67,0.0
Long Lose std,Long,Lose,std,0.52,7.12,1.61,32.81,21.51,11.41,22.34,0.1,0.82,0.94,3.34,1.78,21.5,1.43,2.07,3.34,2.8,35.99,2.97,3.35,3.33,5.1,22.26,8.58,23.98,0.07,0.1,0.08,0.1,2.71,3.5,2.88,3.43,0.06,0.09,0.04,0.03,0.9,1.58,0.04,0.02,1.45,2.44,1.32,2.13,3.31,0.06,0.11,0.08,0.11,0.09,0.1,0.11,0.1,2.92,3.76,2.87,3.89,7.14,0.1,0.1,0.19,0.19,0.2,0.01,0.0,0.2,0.8,0.09,0.09,0.45,0.11,13.89,17.21,46.16,0.19,0.59,0.0,4.77,356686.84,2956.11,0.07,0.06,0.02,0.01,9.16,1.67,14.7,4.32,7.16,1.15,0.55,0.87,7.18,0.2,7.18,0.19,0.1,0.06,0.06,176759.2,1461.64,0.0,0.0,0.04,0.04,0.06,10.53,12.87,0.16,0.07,0.36,0.26,0.12,0.0,0.15,0.06,0.39,0.29,0.12,0.0
Long Lose min,Long,Lose,min,0.0,121.41,2.0,44.0,1.0,196.0,-97.06,-0.5,0.01,0.01,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.48,0.0,1.0,2.0,0.0,-97.06,0.0,-97.06,0.0,-0.5,0.0,-0.54,0.0,1.0,0.0,1.0,-0.03,-0.43,0.01,0.01,-1.31,-5.34,-0.12,0.01,-4.64,-4.64,-7.33,1.0,1.0,-0.0,-0.15,-0.03,-0.48,0.0,-0.48,0.0,-0.5,0.0,0.0,0.0,0.0,121.37,0.14,0.14,0.2,0.08,0.25,-0.06,0.0,0.25,1.0,0.0,0.0,0.52,0.74,1.0,1.0,2.0,0.03,0.0,-0.01,4.0,145727.0,1366.0,-0.14,-0.13,-0.04,-0.0,25.47,0.81,22.23,-5.7,120.17,-2.61,0.57,-1.36,120.86,-0.29,120.87,-0.27,0.06,0.09,0.08,178649.7,1470.86,0.0,0.0,0.04,0.04,0.09,15.64,-22.63,-0.56,0.2,-2.99,-1.0,0.45,0.0,-0.46,0.14,-2.99,-1.0,0.37,0.0
