Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Win mean,Long,Win,mean,1.87,404.27,6.4,23.93,9.93,73.93,73.4,0.27,0.73,1.37,29.47,24.67,83.98,1.58,2.6,8.75,29.47,92.95,7.2,29.4,30.67,96.53,-11.55,107.08,-18.48,0.37,-0.08,0.41,-0.13,26.33,6.07,25.67,7.13,0.12,0.03,0.09,0.07,1.55,0.07,0.19,0.15,1.17,3.13,-1.38,8.93,10.53,0.15,0.34,0.06,0.59,0.89,-0.04,0.96,-0.17,26.13,2.73,27.0,1.73,403.6,1.03,1.03,0.72,0.28,0.64,-0.0,0.0,0.64,1.82,0.33,0.37,1.37,1.03,2.07,3.87,42.2,0.28,1.54,-0.0,11.07,144704.53,2093.2,0.3,0.18,0.06,0.03,62.21,5.06,61.39,5.91,401.49,2.11,5.06,0.44,402.55,1.06,402.58,1.02,0.77,0.65,0.61,105664.29,1633.73,0.0,0.0,0.44,0.4,0.64,32.29,19.69,-0.3,0.16,-2.68,-0.77,0.36,0.0,-0.26,0.14,-2.67,-0.71,0.34,0.0
Long Win std,Long,Win,std,0.64,12.11,1.4,18.85,7.59,2.34,68.39,0.23,0.14,0.26,15.36,13.55,13.44,1.0,2.32,5.61,15.36,19.58,4.99,14.87,15.66,79.76,11.13,84.99,15.74,0.27,0.06,0.3,0.07,15.91,5.51,17.04,5.14,0.07,0.08,0.05,0.04,1.04,1.88,0.1,0.06,0.27,0.65,1.28,5.74,8.81,0.1,0.15,0.06,0.41,0.4,0.05,0.41,0.05,16.09,3.97,15.69,2.89,12.25,0.25,0.25,0.15,0.15,0.22,0.01,0.0,0.22,0.9,0.26,0.25,0.25,0.12,1.49,4.64,39.2,0.22,0.76,0.01,4.61,51434.3,597.91,0.18,0.19,0.06,0.02,5.26,1.84,13.34,5.06,11.82,5.83,1.51,1.02,12.3,0.49,12.3,0.48,0.22,0.13,0.17,34211.51,417.09,0.0,0.0,0.12,0.1,0.14,10.79,6.74,0.17,0.05,0.38,0.23,0.14,0.0,0.15,0.04,0.39,0.3,0.12,0.0
Long Win min,Long,Win,min,1.0,379.56,4.0,14.0,1.0,70.0,20.43,0.07,0.23,0.44,13.0,10.0,52.63,1.0,1.0,1.0,13.0,30.99,1.0,14.0,14.0,39.19,-36.66,42.64,-54.73,0.13,-0.18,0.14,-0.21,5.0,0.0,2.0,1.0,0.01,-0.08,0.02,0.01,0.28,-5.73,0.08,0.07,0.8,2.19,-3.41,1.0,1.0,0.02,0.16,-0.04,0.12,0.41,-0.15,0.47,-0.24,5.0,0.0,6.0,0.0,378.64,0.66,0.69,0.49,0.09,0.22,-0.03,0.0,0.22,1.06,0.0,0.04,0.76,0.86,1.0,1.0,2.0,0.03,0.32,-0.02,4.0,55773.0,1052.0,0.06,0.02,-0.01,-0.01,53.24,2.01,35.86,-2.66,382.67,-8.5,2.48,-1.4,377.47,0.35,377.51,0.36,0.4,0.39,0.38,50712.86,897.07,0.0,0.0,0.28,0.28,0.43,17.1,9.84,-0.56,0.08,-2.99,-1.0,0.14,0.0,-0.44,0.06,-2.99,-1.0,0.12,0.0
Long Win 25%,Long,Win,25%,1.5,396.08,6.0,15.0,3.5,72.5,41.24,0.14,0.75,1.42,18.0,15.0,76.57,1.0,1.0,5.5,18.0,100.0,3.0,18.0,19.0,63.45,-16.84,67.73,-19.84,0.22,-0.13,0.23,-0.19,16.0,1.5,14.5,3.5,0.08,-0.01,0.06,0.04,0.89,-0.17,0.12,0.11,0.99,2.74,-2.5,4.5,4.5,0.06,0.22,0.02,0.32,0.58,-0.07,0.65,-0.19,14.5,0.0,16.0,0.0,395.39,0.88,0.88,0.6,0.16,0.47,0.0,0.0,0.47,1.24,0.16,0.16,1.31,0.92,1.0,1.0,11.0,0.1,0.86,-0.0,7.5,115213.0,1768.0,0.19,0.06,0.02,0.02,59.59,3.6,52.24,1.93,392.41,-2.62,4.11,-0.53,394.07,0.8,394.1,0.79,0.64,0.57,0.53,83574.83,1384.2,0.0,0.0,0.37,0.34,0.55,25.33,14.49,-0.4,0.13,-2.91,-0.93,0.26,0.0,-0.36,0.11,-2.93,-0.96,0.3,0.0
Long Win 50%,Long,Win,50%,2.0,405.02,6.0,15.0,8.0,74.0,47.45,0.17,0.77,1.44,21.0,19.0,84.91,1.0,2.0,8.5,21.0,100.0,6.0,22.0,22.0,66.93,-11.02,75.93,-15.75,0.26,-0.08,0.28,-0.15,20.0,5.0,21.0,7.0,0.12,0.01,0.08,0.07,1.22,0.15,0.17,0.15,1.14,3.08,-0.92,9.0,7.0,0.13,0.32,0.05,0.52,0.83,-0.02,0.88,-0.17,20.0,1.0,21.0,0.0,403.84,1.03,1.03,0.76,0.24,0.68,0.0,0.0,0.68,1.47,0.28,0.31,1.41,1.03,1.0,2.0,33.0,0.25,1.51,-0.0,10.0,138611.0,2146.0,0.24,0.14,0.04,0.02,61.57,5.3,64.09,6.83,398.25,3.27,4.9,0.57,403.09,0.93,403.12,0.88,0.75,0.63,0.6,107362.45,1573.25,0.0,0.0,0.43,0.36,0.62,29.14,19.13,-0.33,0.16,-2.8,-0.82,0.37,0.0,-0.32,0.15,-2.79,-0.75,0.35,0.0
Long Win 75%,Long,Win,75%,2.0,411.17,7.0,16.0,16.0,75.0,60.14,0.29,0.78,1.45,41.5,30.0,94.89,2.0,3.5,10.5,41.5,100.0,10.5,38.5,40.5,78.36,-1.89,88.82,-7.43,0.39,-0.02,0.43,-0.08,37.5,8.5,38.0,9.5,0.15,0.07,0.12,0.08,2.26,1.33,0.25,0.18,1.31,3.37,-0.7,12.5,15.0,0.24,0.41,0.09,0.83,1.1,0.0,1.19,-0.15,37.5,4.0,38.0,2.0,410.89,1.13,1.13,0.84,0.4,0.81,0.0,0.0,0.81,2.13,0.48,0.51,1.53,1.12,2.5,4.0,64.0,0.34,1.97,-0.0,15.0,174293.0,2404.5,0.35,0.2,0.08,0.04,64.35,6.59,70.68,9.76,414.09,5.24,6.12,1.11,409.56,1.17,409.59,1.13,0.89,0.7,0.67,112527.06,1928.52,0.0,0.0,0.5,0.44,0.72,36.18,22.79,-0.18,0.17,-2.58,-0.67,0.4,0.0,-0.17,0.15,-2.55,-0.6,0.38,0.0
Long Win max,Long,Win,max,3.0,425.07,9.0,68.0,23.0,79.0,257.65,0.86,0.82,1.48,55.0,52.0,100.0,4.0,9.0,20.0,55.0,100.0,17.0,56.0,57.0,306.86,0.0,334.0,-1.21,1.02,0.0,1.11,-0.02,54.0,20.0,54.0,20.0,0.24,0.25,0.19,0.17,3.95,2.16,0.46,0.27,1.82,4.38,0.52,21.0,30.0,0.29,0.67,0.19,1.65,1.93,0.0,2.06,-0.05,54.0,13.0,54.0,10.0,424.34,1.63,1.63,0.91,0.51,0.94,0.0,0.0,0.94,4.52,0.97,0.97,1.7,1.22,5.0,18.0,133.0,0.78,2.86,0.01,18.0,251766.0,3206.0,0.69,0.64,0.19,0.07,76.84,7.91,80.22,13.37,416.41,14.17,7.82,1.84,423.41,2.23,423.46,2.19,1.27,0.99,1.06,185037.82,2551.18,0.0,0.0,0.71,0.6,0.92,57.36,32.55,0.05,0.24,-1.58,-0.13,0.65,0.0,0.06,0.22,-1.5,0.07,0.58,0.0
Long Lose mean,Long,Lose,mean,0.32,407.79,3.26,67.97,7.18,73.12,-23.09,-0.25,0.29,0.55,6.18,1.5,18.83,1.97,2.44,6.18,4.89,38.21,3.5,4.32,6.59,2.97,-23.09,5.61,-26.32,0.05,-0.25,0.08,-0.28,3.24,7.47,4.18,7.03,0.12,-0.1,0.07,0.07,1.92,-1.34,-0.02,0.04,-0.88,1.35,-3.04,3.35,5.68,0.05,0.14,0.09,-0.19,0.08,-0.2,0.14,-0.27,3.12,5.62,3.38,4.35,407.52,0.99,0.99,0.69,0.31,0.69,-0.0,0.0,0.69,1.69,0.37,0.42,1.23,1.01,6.12,9.79,29.68,0.28,1.35,-0.0,10.5,124201.68,1844.44,0.25,0.16,0.04,0.03,60.22,4.86,58.92,3.3,403.83,3.69,4.15,0.79,406.58,0.94,406.61,0.91,0.78,0.63,0.59,101760.97,1554.01,0.0,0.0,0.42,0.36,0.62,33.18,16.97,-0.33,0.16,-2.63,-0.8,0.38,0.0,-0.3,0.15,-2.65,-0.79,0.36,0.0
Long Lose std,Long,Lose,std,0.59,14.73,1.42,13.5,6.02,2.54,22.24,0.1,0.3,0.56,4.03,2.55,24.85,2.41,2.66,4.03,4.47,38.28,3.95,4.29,4.48,5.74,22.24,8.59,25.84,0.06,0.1,0.08,0.11,3.79,4.14,3.97,4.07,0.09,0.09,0.06,0.04,1.19,1.51,0.05,0.03,1.13,2.09,1.25,3.06,4.0,0.09,0.15,0.09,0.12,0.1,0.1,0.12,0.11,4.11,3.78,3.95,3.43,14.73,0.28,0.27,0.16,0.16,0.2,0.01,0.0,0.2,1.0,0.24,0.27,0.27,0.12,12.35,12.95,39.42,0.24,0.65,0.01,3.78,47857.77,633.07,0.24,0.19,0.07,0.03,8.24,1.97,15.88,3.43,13.81,3.75,1.52,0.81,15.03,0.62,15.02,0.61,0.34,0.2,0.17,34298.3,450.08,0.0,0.0,0.2,0.14,0.15,10.94,10.96,0.17,0.04,0.41,0.3,0.14,0.0,0.14,0.05,0.42,0.3,0.14,0.0
Long Lose min,Long,Lose,min,0.0,379.53,2.0,15.0,1.0,68.0,-82.91,-0.44,0.01,0.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.33,0.0,1.0,2.0,0.0,-82.91,0.0,-107.39,0.0,-0.44,0.0,-0.47,0.0,1.0,0.0,1.0,0.02,-0.27,0.01,0.0,0.76,-7.23,-0.09,0.01,-3.58,-2.98,-6.81,1.0,1.0,-0.07,-0.1,-0.07,-0.4,0.0,-0.4,0.0,-0.55,0.0,0.0,0.0,0.0,379.42,0.53,0.57,0.28,0.08,0.16,-0.03,0.0,0.16,1.01,0.0,0.0,0.61,0.84,1.0,1.0,2.0,0.05,0.0,-0.02,5.0,41392.0,831.0,-0.32,-0.31,-0.07,-0.01,32.86,0.8,12.28,-2.77,382.8,-3.37,2.17,-0.97,377.86,-0.42,377.91,-0.43,0.38,0.36,0.31,54646.07,990.87,0.0,0.0,0.2,0.18,0.36,19.28,-12.2,-0.54,0.1,-2.99,-1.0,0.19,0.0,-0.46,0.07,-2.98,-1.0,0.09,0.0
