sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
AAPL,2025-01-02,5,252,Short,15:04:00,15:04:00,15:09:00,0,,242.33,242.5884,,0,123,0,123,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.07903972,,0.0244711811,,-3.2299103004,,,,,,,,,0.0,-0.0759604743,0.0190950921,-0.1407939259,0.0,-0.1407939259,0.0536023768,-0.1601056367,0,5,0,5,242.34,0.2484,0.2484,0.85641,0.14359,-0.579557,-0.0,-0.0,0.579557,1.725455,0.0298,0.0298,1.007106,1.034519,8.0,8.0,35.0,0.170732,1.463957,-0.000222,14,242.23,242.3999,242.2101,242.34,92014.0,1161.0,242.33412,0.0223205909,0.0645235888,-0.0099990859,-0.016101956,49.4447321135,-6.350947218,26.9185654916,-5.6883919894,244.6096270085,2.2696270085,1.9703410023,1.1518955378,242.2841622704,-0.0558377296,242.2820138088,-0.0579861912,True,0.1898,0.1900972363,0.1754,91364.7747169402,1232.3506406051,0.0004952947,0.000483746,0.16,0.16,0.1837543111,36.343217378,-0.8455996184,-0.1362219197,0.3690033564,-2.9537414362,-1.0,0.8952699211,0.0004147817,-0.1328306689,0.4115688017,-2.9287480229,-1.0,0.8648700334,0.0004471918
AAPL,2025-01-03,6,225,Long,14:11:00,14:11:00,14:22:00,0,,242.91,242.76200000000003,,0,105,0,105,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0303375767,,0.0074500286,,-4.0721422919,,,,,,,,,0.0,-0.0094762586,0.0249159781,-0.0576368876,0.0,-0.0576368876,0.0349938246,-0.0576368876,0,11,0,11,242.9,0.138,0.1357575,0.720513,0.279487,-0.191429,0.011891,0.0,0.191429,5.223881,0.0525,0.055,1.409455,0.786341,1.0,7.0,6.0,0.321429,1.274544,-0.000527,18,242.9201,242.985,242.88,242.9,73992.0,1228.0,242.951331,0.018309074,0.0185866436,0.0029037938,-0.0015906817,55.8496407286,-2.4982302862,71.7020888065,1.1808332851,243.0011981677,-0.1011981677,0.4194140385,-0.2412846456,242.8724478726,0.0275521274,242.8751327287,0.0248672713,True,0.105,0.0904386859,0.08,52496.8734268149,832.2826318981,-0.0001440818,0.0002437255,0.0525,0.05,0.1150120373,24.0142764261,1.402260637,-0.1054540023,0.4053946431,-2.9559859974,-0.8232025712,0.9493373629,0.0036522679,-0.1353463219,0.437979479,-2.957701674,-0.8748731659,0.9190313332,0.00218032
AAPL,2025-01-03,12,238,Long,15:28:00,15:28:00,15:31:00,0,,242.91,242.76843749999995,,0,74,0,74,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.0356938179,,0.0205419318,,-1.7376076533,,,,,,,,,0.0,-0.037774181,0.0057341583,-0.05496236,0.0,-0.05496236,0.0232612235,-0.0631964215,0,3,1,3,242.8935,0.1250625,0.1250625,0.917949,0.082051,0.578584,0.0,0.0,0.578584,1.728358,0.0,0.0,0.906559,0.98977,49.0,50.0,69.0,0.066667,1.837259,-0.000543,8,242.86,242.91,242.8521,242.8935,33626.0,659.0,242.887754,-0.0191844316,-0.0170568968,-0.0015383002,-0.0002946173,42.1226885163,2.6391261585,52.9230097681,0.9726577619,242.9970592662,-0.1035592662,0.3956222905,-0.2617629712,242.9438560669,-0.0503560669,242.9433676202,-0.0498676202,False,0.0579,0.0787208351,0.08,37091.893012847,733.8529687213,0.0001461653,0.0001535302,0.0579,0.0579,0.0795344405,40.337672227,-14.4545937674,0.0735568819,0.4400709769,-2.9806888267,-0.5398508311,0.9396585407,0.0034729551,0.0558688094,0.4219924342,-2.9818198493,-0.4804684271,0.9461924615,0.0023063124
AAPL,2025-01-06,2,240,Long,13:54:00,13:54:00,14:01:00,0,,245.07,244.85421,,0,70,0,70,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0553098908,,0.0367625569,,-1.5045169743,,,,,,,,,0.0,0.004927394,0.0161868186,-0.1163004224,0.0,-0.1163004224,0.0306053743,-0.1203811389,0,7,0,7,245.055,0.207,0.203895,0.676923,0.323077,0.15,0.0,0.0,0.15,6.666667,0.01,0.01,0.882201,1.060138,1.0,1.0,13.0,0.5,0.966353,0.000305,12,245.04,245.13,245.03,245.055,30670.0,604.0,245.082962,0.0328230605,0.0003499506,0.0165341664,0.0079694718,56.1734589849,2.8644416389,49.2916758301,6.5061085674,245.4346622948,-0.3796622948,0.8024428061,-0.4731331529,244.9335317857,0.1214682143,244.935756992,0.119243008,True,0.1,0.145292464,0.12,34765.3366337147,649.970800433,2.04038e-05,0.000458645,0.09,0.09,0.1370504817,30.2277573632,11.0234619858,-0.098137928,0.3242683644,-2.7791999568,-0.2584751916,0.747173436,0.0015584976,-0.0398814075,0.3489056065,-2.7408648054,-0.1036263299,0.6531160314,0.0016049784
AAPL,2025-01-08,4,184,Short,12:52:00,12:52:00,13:01:00,0,,241.32,241.57649999999998,,0,98,0,98,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0763087498,,0.029849249,,-2.5564713508,,,,,,,,,0.0,0.0451840179,0.1287180351,-0.1325957694,0.0,-0.1325957694,0.039364369,-0.1719601384,0,9,0,9,241.335,0.26565,0.243915,0.517949,0.482051,0.035714,-0.0,-0.0,0.035714,28.0,0.0,0.03,1.377996,1.042146,1.0,1.0,15.0,0.555556,0.915079,-0.004634,10,241.34,241.38,241.24,241.335,67219.0,799.0,241.297927,0.0531702496,0.0270731465,0.0135066462,0.0062952285,39.504786259,2.0998798036,46.4656291989,9.2839467521,242.1111366516,0.7761366516,0.9178491022,0.8456037596,241.594374662,0.259374662,241.5816682305,0.2466682305,False,0.14,0.1658393889,0.14,48780.2711059652,711.6285718114,-2.73475e-05,0.0003999886,0.14,0.11,0.1591326009,28.4664103687,13.3152208389,-0.3673900796,0.2357180507,-1.1626394721,-0.9973327333,0.5772762454,0.0021002613,-0.413501766,0.2593656897,-0.9862153087,-0.9903441959,0.5419782648,0.0017695961
AAPL,2025-01-08,6,221,Long,13:39:00,13:39:00,13:41:00,0,,242.21,241.99300000000002,,0,75,0,75,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.088285533,,0.0378222831,,-2.3342200907,,,,,,,,,0.0,-0.0364002973,0.0870572078,-0.0948389761,0.0,-0.0948389761,0.0289017341,-0.0990916598,0,2,1,2,242.2,0.207,0.207,0.638462,0.361538,-0.25,0.0,0.0,0.25,4.0,0.0,0.02,1.07997,1.024402,14.0,14.0,14.0,0.25,1.277753,-0.002992,7,242.22,242.23,242.15,242.2,40395.0,677.0,242.193383,-0.0015227472,0.0259446026,-0.0141703415,-0.0066485041,49.8214693646,-4.6882925883,53.5584279153,-5.092366612,242.0962142688,0.1037857312,0.8754465154,0.1185517669,242.2030142943,-0.0030142943,242.2008914805,-0.0008914805,False,0.08,0.1324583319,0.118,37403.8289514379,640.6624922174,-4.12873e-05,0.0003972209,0.08,0.06,0.1293031025,28.6170323413,-6.5582058204,-0.0373698442,0.3278580735,-2.8330098664,0.1277021662,0.6619670614,0.001833135,-0.0296212462,0.3195158754,-2.8247796241,-0.0704961969,0.6205627896,0.0015290532
AAPL,2025-01-08,9,195,Short,14:08:00,14:08:00,14:09:00,0,,241.56,241.8395475,,0,101,0,101,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.1423520736,,0.058912715,,-2.416321731,,,,,,,,,0.0,-0.0618164365,0.0093685141,-0.1201712119,0.0,-0.1201712119,0.0794794099,-0.1523355356,0,1,0,1,241.572,0.2675475,0.2675475,0.712821,0.287179,-0.507692,-0.0,-0.0,0.507692,1.969697,0.12,0.1201,1.215285,1.158012,66.0,66.0,14.0,0.060241,1.192537,0.000638,5,241.44,241.64,241.38,241.572,61157.0,980.0,241.504697,0.0033275619,0.0638804441,-0.0367161704,-0.0119183559,50.2801812596,-6.8492369365,51.5962426124,-4.0794282123,242.0611725384,0.4891725384,0.8582934395,0.5699362431,241.5614089587,-0.0105910413,241.5621667097,-0.0098332903,True,0.26,0.2256998378,0.22,50323.163657533,854.3184879054,0.000505153,0.000538325,0.14,0.1399,0.1949028945,27.8395803613,-13.3327325813,-0.0879393491,0.3069808409,-2.6120321635,-0.0628758406,0.6602487401,0.0016357038,-0.1175939981,0.3317113174,-2.5778934902,-0.0395967664,0.6607063548,0.0015703272
AAPL,2025-01-08,11,227,Long,14:33:00,14:33:00,14:43:00,0,,242.32,242.0199725,,0,97,0,97,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0870559093,,0.0345505292,,-2.519669349,,,,,,,,,0.0,-0.0118197072,0.0255548028,-0.1733316826,0.008377698,-0.1733316826,0.0330155586,-0.1815855722,3,10,0,10,242.31,0.29325,0.308775,0.776923,0.223077,-0.285714,0.0,0.0,0.285714,3.5,0.0,0.0,0.69329,1.026465,10.0,10.0,55.0,0.184211,1.654224,0.001241,14,242.35,242.39,242.25,242.31,33607.0,729.0,242.306566,0.0529651483,0.1301549895,-0.0421731489,-0.0175083462,53.3828990399,-4.9487341156,55.9576980579,-8.2257237637,242.0672423653,0.2427576347,0.8367182705,0.2901306728,242.2116830324,0.0983169676,242.2175696827,0.0924303173,True,0.14,0.2117485806,0.1799,48474.6538638632,806.4236560304,-0.0002682154,0.0006520151,0.14,0.14,0.2062891801,34.9909412106,-8.2679427152,-0.219008506,0.3305802299,-2.8633885883,-0.6211872302,0.6926542135,0.0013723071,-0.2020910837,0.3067934403,-2.8531176158,-0.5271179611,0.6084434807,0.0011474672
AAPL,2025-01-10,1,161,Long,12:21:00,12:21:00,12:34:00,0,,235.56,235.20895749999997,,0,127,0,127,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0802829818,,0.0552029716,,-1.4543235532,,,,,,,,,0.0,0.0281756509,0.174349398,-0.1608856396,0.0259438178,-0.1608856396,0.1108662985,-0.1906085078,1,13,0,13,235.5089,0.345,0.3511483929,0.438462,0.561538,-0.47303,0.047246,0.0,0.47303,2.114029,0.149,0.25,0.767975,0.989052,1.0,1.0,7.0,0.7,0.745356,-0.00479,7,235.665,235.77,235.44,235.5089,61871.0,1106.0,235.607243,0.0437314147,0.0634924154,-0.0288952615,0.0045671304,55.632525635,-1.7762984852,45.6018120284,4.6618407582,236.5424262323,-1.0335262323,1.9104000506,-0.5409998979,235.2951082785,0.2137917215,235.2973610455,0.2115389545,True,0.33,0.2330995282,0.2,80563.8629305602,1221.0649994143,-0.0005989487,0.0006459374,0.181,0.08,0.2356797324,34.0191568584,13.5502745565,-0.1185468913,0.2237645737,-2.9116677045,0.3635122795,0.6218288737,0.0004504997,-0.0829753419,0.2127418027,-2.8984203241,0.1269334912,0.5806572841,0.0003205379
AAPL,2025-01-10,2,104,Short,12:38:00,12:38:00,12:44:00,0,,235.16,235.54224999999997,,0,127,0,127,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.103526463,,0.0528944704,,-1.957226573,,,,,,,,,0.0,-0.0399429557,0.0522302464,-0.2593757973,0.0,-0.2593757973,0.0488987159,-0.2848881708,0,6,0,6,235.18,0.36225,0.36225,0.482051,0.517949,0.171429,-0.0,-0.0,0.171429,5.833333,0.035,0.035,1.275422,0.961587,1.0,1.0,5.0,0.071429,1.700717,-0.000689,6,235.21,235.24,235.065,235.18,87636.0,1138.0,235.15724,0.0794478,0.074933189,0.0080301139,-0.0017577515,40.5778023514,1.3125364172,34.6312463362,6.7660317285,236.4986353711,1.3186353711,1.8876391019,0.6985632846,235.3304032103,0.1504032103,235.3251209278,0.1451209278,False,0.175,0.2045489183,0.19,68711.3736511001,1098.6770166749,-8.50376e-05,0.0004685319,0.14,0.14,0.2127201249,27.511988849,15.4064123728,-0.0245696889,0.2508877061,-2.9035955882,-0.5997170068,0.5679495518,0.0004498331,-0.064906426,0.2570299239,-2.8877756073,-0.6327340603,0.6479372646,0.000342393
