sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
AMZN,2025-01-02,4,147,Short,12:09:00,12:09:00,12:14:00,0,,223.04,223.367625,,0,72,0,72,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.1844562599,,0.0843279726,,-2.1873674204,,,,,,,,,0.0,0.0043144362,0.0673431906,-0.2533234694,0.0403524111,-0.2533234694,0.1008810276,-0.2622906719,1,5,0,5,223.035,0.43125,0.4269375,0.407692,0.592308,-0.061224,0.037995,0.004047,0.061224,16.333333,0.0677,0.0677,1.225713,1.030848,1.0,1.0,8.0,0.583333,1.016395,0.009413,7,223.02,223.055,222.81,223.035,44008.0,716.0,222.918073,0.06335925,0.0506315111,-0.0043011246,0.0085144318,44.9265503315,0.3980101215,28.2968469932,3.7945736149,222.8374165975,-0.1975834025,0.9793951405,-0.2017402316,223.187714274,0.152714274,223.202462991,0.167462991,False,0.245,0.2709616855,0.25,35904.0018724219,645.9175725141,0.0002820583,0.000916303,0.1773,0.1773,0.2628532986,22.1610209338,12.6330507065,-0.0447986008,0.3084728131,-2.9144718699,-0.4023819521,0.7522958038,0.0011174212,-0.0187297647,0.3106845415,-2.9205175019,-0.5196031629,0.7877746422,0.0011703276
AMZN,2025-01-02,9,207,Short,13:41:00,13:41:00,13:45:00,0,,218.94,219.46025000000003,,0,83,0,83,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.1650014041,,0.1006317918,,-1.6396548369,,,,,,,,,0.0,-0.0485909999,0.0826056522,-0.2911947388,0.0,-0.2911947388,0.0456704421,-0.305991962,0,4,1,4,218.96,0.50025,0.50025,0.64359,0.35641,0.619048,-0.020517,-0.0,0.619048,1.615385,0.075,0.075,0.951746,0.916257,10.0,10.0,30.0,0.25,1.003454,-0.002643,11,219.09,219.09,218.88,218.96,39420.0,866.0,218.988876,0.0011283059,0.0127124706,-0.0230383041,0.0057270697,49.4818618307,1.9403447882,32.8709823535,-1.9926294928,222.0386170321,3.0786170321,1.6881413986,1.8236724925,219.0855986278,0.1255986278,219.072456128,0.112456128,False,0.21,0.2526233193,0.23,41418.5974855146,782.572690435,-0.0006848221,0.0010735389,0.135,0.135,0.2757121765,21.6486467082,3.3359466098,-0.2879390803,0.234619854,-0.5186699525,-0.5446460784,0.6177034247,0.0007096405,-0.37684639,0.2757604035,-0.3366693392,-0.6647873742,0.5042623031,0.0009164296
AMZN,2025-01-03,3,123,Long,13:46:00,13:46:00,13:51:00,0,,224.17,223.95231249999998,,0,74,0,74,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0674610534,,0.0314573413,,-2.1445249545,,,,,,,,,0.0,0.0525638609,0.029695511,-0.1316053624,0.0,-0.1316053624,0.0557649841,-0.1405277598,0,5,0,5,224.155,0.2044125,0.2032625,0.65641,0.34359,-0.2,0.002119,0.0,0.2,5.0,0.027,0.0383,0.737829,0.956821,1.0,1.0,131.0,0.052632,1.334538,-0.000841,7,224.18,224.28,224.155,224.155,27479.0,599.0,224.208111,0.1139858426,0.1096229343,0.0096908034,-0.0026639475,72.9282729908,-0.2853434709,87.3832739667,0.2007982054,223.4849704557,0.6700295443,0.7853798129,0.8531280449,223.8738150922,0.2811849078,223.8759736831,0.2790263169,True,0.125,0.1226379044,0.12,37243.0539516768,623.1465687403,-4.68415e-05,0.0003872423,0.098,0.0867,0.1281722503,58.1655728859,39.9128964184,-0.2132462433,0.2277786924,-2.8821665444,-0.8203714861,0.6840302636,0.0006435607,-0.5105387608,0.3477291244,-2.8081891883,-0.889896367,0.5004370269,0.0019057327
AMZN,2025-01-03,4,199,Short,14:01:00,14:01:00,14:04:00,0,,223.6,223.80094749999998,,0,67,0,67,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0702714005,,0.0424147225,,-1.6567690746,,,,,,,,,0.0,0.0585865366,0.0067079658,-0.0804900952,0.0,-0.0804900952,0.0884496713,-0.102848455,0,3,0,3,223.63,0.1709475,0.1709475,0.694872,0.305128,-0.336417,0.04683,0.025174,0.336417,2.9725,0.1481,0.1481,1.270473,1.471281,1.0,1.0,63.0,0.152778,2.577465,-0.000693,11,223.55,223.67,223.4322,223.63,42360.0,859.0,223.559965,0.1005191943,0.0605636389,0.0209464135,0.009504571,34.9267586565,2.4821879253,36.0916237577,4.6506544762,223.4933982318,-0.1366017682,0.7786375115,-0.1754369218,223.8740613593,0.2440613593,223.8685938306,0.2385938306,False,0.2378,0.1699570246,0.0991,33341.914133508,742.5958980205,0.0003577978,0.0004939632,0.0897,0.0897,0.1155163226,31.3433435592,36.2024780483,-0.1018608642,0.2458528755,-2.9632495433,-0.3258473792,0.7110398671,0.0006509156,0.1544755599,0.4630348808,-2.9590285531,0.5737222511,0.70590346,0.0018634776
AMZN,2025-01-03,5,193,Short,14:09:00,14:09:00,14:18:00,0,,223.84,223.98749999999998,,0,49,0,49,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.077883041,,0.0247730169,,-3.1438658161,,,,,,,,,0.0,-0.0139908996,0.0163526963,-0.1027027027,0.0156354702,-0.1027027027,0.0446727719,-0.1027473755,2,9,4,9,223.85,0.18975,0.184575,0.715385,0.284615,0.181818,-0.069511,-0.0,0.181818,5.5,0.0326,0.0326,0.791481,0.933305,3.0,3.0,14.0,0.05814,1.33093,-0.000827,5,223.87,223.87,223.76,223.85,19245.0,374.0,223.827278,-0.0036700434,0.0059795657,-0.0123096161,0.0013300035,50.6188587122,0.151509014,49.1852769832,-6.9533548868,223.4966524731,-0.3533475269,0.7752000559,-0.4558146303,223.8497107164,-0.0002892836,223.8500662957,6.62957e-05,True,0.11,0.1248260318,0.11,24315.186391092,537.0033693789,-3.57376e-05,0.0005088207,0.0774,0.0774,0.1337462907,17.2209104174,7.0761370319,0.0291059184,0.277118072,-2.9543999335,-0.4365460477,0.8413703359,0.0006744492,0.2907362093,0.428198994,-2.9404269583,0.6151524711,0.6443379107,0.0018163488
AMZN,2025-01-03,10,249,Long,15:09:00,15:09:00,15:14:00,0,,223.87,223.71387500000003,,0,55,0,55,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0577724682,,0.0309751387,,-1.8651237948,,,,,,,,,0.0,-0.0749549346,0.0172442557,-0.0893455439,0.0201027474,-0.0893455439,0.0511949966,-0.0982800983,2,5,0,5,223.85,0.181125,0.181125,0.869231,0.130769,-0.668896,0.0,0.003596,0.668896,1.495,0.0196,0.0196,0.858188,1.044264,45.0,55.0,9.0,0.1,1.444103,-0.000278,9,223.93,223.9646,223.845,223.85,23771.0,540.0,223.917212,-0.0431102987,-0.0632590639,0.0134080641,0.0033703506,43.6744157957,0.3238878692,56.802498826,-0.1368010191,223.5467562384,0.3032437616,0.7627711004,0.397555389,223.9847084202,-0.1347084202,223.9797799712,-0.1297799712,False,0.1196,0.1237663561,0.11,27699.0616273558,558.1697071206,-0.0004019741,0.0004070476,0.1,0.1,0.1185202031,28.7025998645,1.2647922477,0.1517835208,0.3393412466,-2.9753145802,0.74979456,0.8318780652,0.0012976607,0.0311815775,0.4106492019,-2.9681754773,0.1434150531,0.6884818878,0.0014749704
AMZN,2025-01-06,0,96,Short,11:26:00,11:26:00,11:29:00,0,,228.03,228.34324999999998,,0,98,0,98,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.1281430062,,0.0632862739,,-2.0248151511,,,,,,,,,0.0,-0.0341157277,-0.0044689725,-0.1556676168,0.0,-0.1556676168,0.0701600526,-0.197281298,0,3,0,3,228.05,0.29325,0.29325,0.297436,0.702564,-0.5,0.028722,-0.0,0.5,2.0,0.0501,0.0501,0.778826,0.883921,1.0,1.0,3.0,0.45,0.963316,-0.002941,9,227.97,228.05,227.89,228.05,38119.0,810.0,227.965004,0.0394922104,0.0415488439,0.0003192199,-0.0011879267,45.4962877038,-0.7987963288,22.5946315985,2.8378546564,226.8565811183,-1.1934188817,0.9808570136,-1.2167103514,228.1156596684,0.0656596684,228.1159469085,0.0659469085,False,0.16,0.1730229044,0.16,48944.1880641965,871.3604465565,0.0002631348,0.0004133538,0.1099,0.1099,0.1957446543,19.9356531671,10.5189938416,0.141142554,0.2954553058,-1.3584655076,-0.2857586545,0.6626160675,0.0011656021,0.0959606851,0.2717539965,-1.1505842473,-0.5305550003,0.7369443084,0.0013550486
AMZN,2025-01-06,6,271,Short,14:15:00,14:15:00,14:18:00,0,,225.93,226.21149999999997,,0,102,0,102,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.0816191061,,0.0534319496,,-1.527533747,,,,,,,,,0.0,0.0257803162,0.1543241494,-0.1216975705,0.0,-0.1216975705,0.0398282958,-0.1239102536,0,3,1,3,225.97,0.2415,0.2415,0.730769,0.269231,-0.0,-0.0,-0.0,0.0,10.99,0.0,0.01,0.481617,0.790439,1.0,1.0,5.0,0.5,0.674997,-0.00351,7,225.97,225.9999,225.89,225.97,24644.0,624.0,225.941589,0.0504009459,0.0621160704,-0.0150229022,0.0016538888,42.0997476823,0.2433527232,28.4340158357,6.3462174939,227.0082941178,1.0382941178,0.9534751052,1.0889577631,226.1785210144,0.2085210144,226.1755903878,0.2055903878,False,0.1099,0.1408511555,0.1384,51169.3292828281,615.2693415151,2.21271e-05,0.0004983614,0.1099,0.0999,0.1781935971,38.6192419601,11.1334193425,-0.3495586131,0.2203229365,-1.7431436169,-0.9994236344,0.6094649528,0.0013267192,-0.4148506383,0.317381061,-1.8507687256,-0.9979083626,0.7097232666,0.0025519143
AMZN,2025-01-06,8,288,Long,14:54:00,14:54:00,14:58:00,0,,226.28,226.04747500000002,,0,55,0,55,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0692362312,,0.0421451994,,-1.6428023184,,,,,,,,,0.0,-0.0328374609,0.0139214884,-0.1193264684,0.0,-0.1193264684,0.026516993,-0.1458434614,0,4,0,4,226.27,0.222525,0.222525,0.830769,0.169231,0.5,-0.03669,0.0,0.5,2.0,0.02,0.06,1.181045,1.108986,10.0,12.0,16.0,0.166667,0.968437,-0.000224,6,226.18,226.33,226.15,226.27,32696.0,514.0,226.252919,-0.0142373436,-0.0028295193,-0.0121091585,0.0003506671,48.0168228234,2.1598267876,40.120963918,-3.6309029957,226.9678947561,-0.6978947561,0.9427446632,-0.7402797208,226.263786461,0.006213539,226.2625934991,0.0074065009,True,0.18,0.1580067437,0.16,27683.946370492,595.3884765204,0.0003536224,0.000409721,0.16,0.12,0.1424786124,23.3101064437,-3.618445169,0.0984444477,0.3341362415,-2.59699787,-0.3818200081,0.7406564422,0.0012366832,0.071691388,0.3792608312,-2.6402889338,-0.4333808205,0.7824341817,0.0020155596
AMZN,2025-01-08,1,137,Long,11:59:00,11:59:00,12:03:00,0,,222.44,222.1785,,0,56,0,56,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.1094764732,,0.0545853578,,-2.0056014573,,,,,,,,,0.0,0.0046268787,0.1283418053,-0.1483679525,0.0,-0.1483679525,0.0584479813,-0.1663519468,0,4,0,4,222.42,0.253575,0.243915,0.382051,0.617949,-0.384615,0.045493,0.0,0.384615,2.6,0.015,0.05,1.103521,0.847385,1.0,5.0,7.0,0.75,0.721569,-0.006914,9,222.47,222.55,222.42,222.42,30786.0,563.0,222.494669,0.0164990952,0.0245530678,-0.0131226756,0.0025343515,54.704823985,-1.4911186304,43.5515371711,4.5299172912,221.9552963345,0.4647036655,0.7186122998,0.6466681209,222.2760288963,0.1439711037,222.2916494202,0.1283505798,True,0.13,0.1564716365,0.14,27897.9701392494,535.9117502543,-0.0002247747,0.0003542599,0.115,0.08,0.1846523486,18.6438262628,-1.8820050015,-0.2567329482,0.2982483697,-2.4480042689,-0.0636131255,0.7007383926,0.0015536414,-0.2253630714,0.2844482089,-2.4076854853,-0.2273540486,0.6459988977,0.0015611094
