sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
MARA,2025-01-02,2,248,Long,14:32:00,14:32:00,14:47:00,0,,17.13,17.059625,,0,89,0,89,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.2772906232,,0.1005531316,,-2.7576527836,,,,,,,,,0.0,-0.0840988518,0.0539955124,-0.4071285463,0.0005841156,-0.4071285463,0.1080613789,-0.4082967774,1,15,12,15,17.1199,0.0650325,0.0635770313,0.774359,0.225641,0.190661,-0.07703,-0.036582,0.190661,5.244898,0.0,0.0,0.836565,1.12561,10.0,21.0,23.0,0.203704,0.788607,-5e-05,11,17.115,17.1357,17.11,17.1199,37266.0,211.0,17.123691,0.0025141592,0.0114094455,-0.003933863,-0.0024807116,50.5335514295,-3.631213823,59.7128379459,-7.6896868373,17.4698427022,-0.3499427022,0.3355492403,-1.0428952302,17.1208413752,-0.0009413752,17.1211861171,-0.0012861171,False,0.0257,0.0440983337,0.04,44546.470539767,239.0387358506,0.0005784417,0.001424247,0.0257,0.0257,0.0391772589,30.6695707685,-5.2270293203,0.082404199,0.4721353921,-2.3959530512,-0.6195571683,0.910774293,0.0043514162,0.0887530763,0.4262014228,-2.4104580637,0.9067356928,0.9224001819,0.003671608
MARA,2025-01-03,4,150,Long,14:19:00,14:19:00,14:25:00,0,,19.43,19.40375,,0,105,0,105,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.2850904359,,0.1227963683,,-2.3216520154,,,,,,,,,0.0,-0.0686650923,0.0074921406,-0.1544401544,0.3346203346,-0.1544401544,0.3861003861,-0.1801801802,4,6,0,6,19.425,0.08625,0.08625,0.741026,0.258974,-0.8,0.0,0.0,0.8,1.25,0.055,0.055,1.379594,1.036793,13.0,13.0,126.0,0.143885,1.740214,-0.000109,20,19.485,19.5,19.425,19.425,72187.0,451.0,19.456567,-0.002433964,0.0127642105,-0.0068289603,-0.0041846071,47.5627850306,-11.8440202819,59.9792485514,-5.1993149868,18.8358149177,0.5891850823,0.6908791679,0.852804817,19.4645276855,-0.0395276855,19.4634504742,-0.0384504742,False,0.075,0.0401418507,0.035,52324.8162488774,291.926956394,-0.0032072066,0.0012817108,0.02,0.02,0.0387173272,42.4376711672,-17.2706860547,0.0046922071,0.4800234674,-2.6216233196,-1.0,0.9530186697,0.0023319038,-0.0698538968,0.4235566329,-2.5427571659,-0.8681360482,0.9443678101,0.0020203468
MARA,2025-01-06,2,173,Long,13:57:00,13:57:00,14:00:00,0,,20.33,20.244095000000005,,0,97,0,97,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.4073952385,,0.1236165041,,-3.2956379195,,,,,,,,,0.0,-0.1157096774,0.0170248761,-0.418204182,0.024600246,-0.418204182,0.147601476,-0.467404674,1,3,0,3,20.325,0.085905,0.085905,0.684615,0.315385,-0.428571,0.050346,0.004388,0.428571,2.333333,0.015,0.015,1.165572,0.896268,1.0,1.0,88.0,0.074468,1.337187,-3.9e-05,7,20.34,20.355,20.32,20.325,56465.0,337.0,20.342246,0.0031868155,-0.0016958922,0.0050891237,-0.000103208,51.4504689254,0.3650621309,65.4335700318,4.9650977791,20.2109002924,0.1140997076,0.1718836479,0.663819444,20.327454734,-0.002454734,20.3272522673,-0.0022522673,False,0.035,0.0416057416,0.047,48444.0117770176,244.7259820749,-0.0002459722,0.001600004,0.02,0.02,0.0464210827,23.8835684469,13.2794792187,0.003705919,0.491628372,-2.9226499314,-0.7958335804,0.9844303833,0.0089970469,0.0223986195,0.4276189745,-2.8704856809,0.8313277606,0.9799254003,0.0059262523
MARA,2025-01-07,3,209,Long,14:36:00,14:36:00,14:43:00,0,,19.51,19.449797500000003,,0,45,0,45,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.0881261918,,0.0441591948,,-1.9956476179,,,,,,,,,0.0,0.0092585978,0.0115856783,-0.4126089185,0.0,-0.4126089185,0.0507432086,-0.5064069708,0,7,0,7,19.51,0.0664125,0.06486,0.784615,0.215385,0.568562,0.0,0.0,0.568562,1.758824,0.01,0.01,0.924498,0.992929,1.0,1.0,6.0,0.092784,1.875926,-0.000117,9,19.493,19.5199,19.49,19.51,20826.0,198.0,19.504321,0.0144389674,0.0086684576,0.0023720215,0.0016992442,59.9093028117,3.9160889448,56.5835457604,0.0085834906,19.6956349208,-0.1856349208,0.352059202,-0.5272832517,19.4573521216,0.0526478784,19.4603937064,0.0496062936,True,0.0299,0.0342443141,0.0385,22526.827514785,136.4938466058,0.0009230297,0.0013236842,0.0199,0.0199,0.0344881675,26.4580579042,20.6709569436,-0.1982649259,0.4697131005,-2.9166434053,-0.8876159625,0.9083305921,0.0042192619,-0.1768252314,0.4374162624,-2.9136166446,-0.9182770676,0.907280831,0.0040936407
MARA,2025-01-07,4,178,Short,14:43:00,14:43:00,14:46:00,0,,19.42,19.495912500000006,,0,49,0,49,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.3218365063,,0.1602644421,,-2.0081591528,,,,,,,,,0.0,-0.0976871972,0.0109349359,-0.4657865617,0.0,-0.4657865617,0.1003628503,-0.5167400087,0,3,1,3,19.4295,0.0664125,0.0664125,0.802564,0.197436,0.625,-0.0,-0.0,0.625,1.6,0.0288,0.0288,1.742087,1.05319,3.0,10.0,15.0,0.148148,1.915543,-7.1e-05,20,19.46,19.46,19.4112,19.4295,42315.0,202.0,19.436219,0.0084859332,0.0046192087,0.0029351912,0.0004657666,44.2996988207,4.1597615961,32.3186412328,6.2075416711,19.6941377417,0.2646377417,0.3514416964,0.7530061016,19.4581595889,0.0286595889,19.4574903777,0.0279903777,False,0.0488,0.0375708306,0.0385,24289.8276818258,151.2351110267,-0.0018254514,0.0012996434,0.02,0.02,0.0356733506,26.0318113174,19.6980146528,-0.212626116,0.4594293961,-2.8880909327,0.6562114782,0.9571341685,0.0036803577,-0.2493203769,0.4526869551,-2.8822152769,-0.7095653492,0.9661608175,0.0044402603
MARA,2025-01-07,5,191,Long,14:46:00,14:46:00,14:48:00,0,,19.53,19.453070000000004,,0,48,0,48,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.2880090584,,0.0580798775,,-4.9588441059,,,,,,,,,0.0,0.1311845291,-0.0078914462,-0.3842213115,0.0,-0.3842213115,0.0512295082,-0.3842213115,0,2,2,2,19.52,0.06693,0.06693,0.810256,0.189744,0.626566,0.0,0.0,0.626566,1.596,0.0049,0.0199,1.231143,1.088797,1.0,12.0,22.0,0.136,2.16706,-0.000111,17,19.495,19.5299,19.49,19.52,29855.0,221.0,19.511462,0.0134053244,0.0049134377,0.003196968,0.0026474593,59.0722014053,5.2577638829,38.0023213547,5.8514917762,19.6935598738,-0.1735598738,0.3511385122,-0.4942775222,19.4632916285,0.0567083715,19.4654466875,0.0545533125,True,0.0399,0.0400650776,0.0388,24249.8273302277,162.1119402715,0.0013123361,0.0012644343,0.035,0.02,0.0367975678,23.9278534766,12.7874091329,-0.2579625851,0.4720118022,-2.9285531448,-0.8908775995,0.9452003311,0.0038720075,-0.2300168292,0.4365593431,-2.9261633073,-0.9308915674,0.9026116749,0.0043135179
MARA,2025-01-07,6,191,Long,14:48:00,14:48:00,14:59:00,0,,19.45,19.382970000000004,,0,49,0,49,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0994521514,,0.0890437742,,-1.1168905662,,,,,,,,,0.0,-0.193134113,-0.0069928962,-0.3342761635,0.02519928,-0.3342761635,0.4371303677,-0.4366160967,3,11,0,11,19.445,0.06693,0.06693,0.815385,0.184615,-0.705882,0.011011,0.0,0.705882,1.416667,0.065,0.065,1.535984,1.189703,3.0,14.0,22.0,0.133858,2.16706,-0.000111,17,19.505,19.53,19.445,19.445,37456.0,190.0,19.48732,0.0044180439,0.0073883762,0.0019158173,-0.0024430748,51.7612793055,-8.1955527787,45.7369287659,0.7935601438,19.6931977041,-0.2481977041,0.350926947,-0.7072631675,19.468261451,-0.023261451,19.4669879008,-0.0219879008,False,0.085,0.0443661207,0.0388,24385.6633547784,155.9736377092,-0.003337187,0.0015618502,0.02,0.02,0.0372917497,23.9770858552,-10.8041616095,0.147019943,0.4663654229,-2.9023565264,0.6246918833,0.9295310941,0.0037839387,0.1278668785,0.4524316133,-2.8974450221,-0.9314812847,0.9693587179,0.0042491338
MARA,2025-01-08,0,80,Long,11:26:00,11:26:00,11:28:00,0,,18.32,18.217712499999998,,0,110,0,110,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.6578176403,,0.2462582885,,-2.6712507597,,,,,,,,,0.0,-0.2037011024,-0.0675563827,-0.6826870563,0.0,-0.6826870563,0.3003823048,-0.6826870563,0,2,0,2,18.31,0.0922875,0.0922875,0.297436,0.702564,-0.545455,0.09491,0.0,0.545455,1.833333,0.025,0.025,1.994848,0.897349,1.0,1.0,16.0,0.166667,1.084209,-0.000505,6,18.34,18.365,18.31,18.31,109315.0,777.0,18.336474,0.0210239766,0.0153265419,0.0087920133,-0.0015472893,57.3037210734,-1.686573793,59.4261815659,9.3560452868,18.4783739973,-0.1683739973,0.1850327454,-0.9099686484,18.2873139497,0.0226860503,18.2862113498,0.0237886502,True,0.055,0.0505131553,0.0535,54798.6606347576,324.470398007,-0.0010917032,0.0021230438,0.03,0.03,0.0562915168,35.3944906086,24.776299593,0.0963355594,0.4579112902,-2.5552886815,0.794485864,0.9561133891,0.0088065576,0.1352382459,0.4294136599,-2.5710168492,1.0,0.9443085729,0.0070002005
MARA,2025-01-08,8,309,Short,15:24:00,15:24:00,15:29:00,0,,18.38,18.428124999999998,,0,47,0,47,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,5,,,,,,,,,,,,,-0.4033240925,,0.1228956079,,-3.2818430176,,,,,,,,,0.0,-0.0333201535,0.0450725652,-0.4895295078,0.0,-0.4895295078,0.1354364971,-0.4895295078,0,5,2,5,18.385,0.043125,0.043125,0.907692,0.092308,-0.2,-0.0,-0.0,0.2,5.0,0.0068,0.0068,1.006638,0.807993,0.0,2.0,43.0,0.222222,1.099495,-0.000204,10,18.38,18.4,18.375,18.385,23472.0,153.0,18.388031,0.0014812666,0.0053322964,-0.0043651173,0.0002570437,48.4564732117,-0.6380564938,49.4813087593,-8.2812603229,18.3171310878,-0.0678689122,0.2575657434,-0.2635013153,18.3978305228,0.0128305228,18.3964852416,0.0114852416,False,0.025,0.029080515,0.025,23317.2128349305,169.1283742378,0.0002719978,0.0010674362,0.0182,0.0182,0.0359910629,19.4300153261,-0.5680170806,0.0066137234,0.4881772493,-2.8679237111,0.881361245,0.9409910264,0.003704147,0.0475316916,0.410012371,-2.8579350034,0.9086335542,0.9184061985,0.0041590075
MARA,2025-01-10,0,33,Short,11:39:00,11:39:00,11:42:00,0,,17.66,17.73625,,0,102,0,102,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.5616098282,,0.2832640257,,-1.9826373179,,,,,,,,,0.0,-0.0003140618,0.1923222379,-0.5942275042,0.1131861913,-0.5942275042,0.3395585739,-0.6208262592,1,3,0,3,17.67,0.08625,0.08625,0.330769,0.669231,-0.333333,0.032063,0.012918,0.333333,3.0,0.005,0.0201,0.997457,1.139411,1.0,1.0,70.0,0.09375,1.004753,-0.000511,9,17.65,17.67,17.61,17.67,50745.0,300.0,17.629915,0.0050912486,0.0028851256,-0.0024652254,0.0023356742,47.4476949961,1.1785622657,53.0529346485,3.094061299,17.8282527138,0.1582527138,0.203348982,0.7782321417,17.7044164331,0.0344164331,17.7046411303,0.0346411303,False,0.06,0.0603769943,0.05,50874.3802984378,295.4880172534,0.001132503,0.002479086,0.055,0.0399,0.0529896681,26.0828492322,8.6449157141,-0.2309146705,0.3985501912,-2.910499008,0.2730283273,0.9272551169,0.0041305339,-0.2922959862,0.483175966,-2.9133939879,-0.9738542847,0.8695366372,0.0049109522
