sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
META,2025-01-02,3,222,Short,13:36:00,13:36:00,13:42:00,0,,590.52,591.7674999999998,,0,22,0,22,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0504457699,,0.0353545457,,-1.426853857,,,,,,,,,0.0,0.0041833005,0.0032420672,-0.21674343,0.0,-0.2370631265,0.0761988621,-0.2825284476,0,2,0,2,590.56,1.4212275,1.3601625,0.630769,0.369231,0.057143,-0.004116,-0.0,0.057143,17.5,0.3,0.3,0.744128,0.949882,1.0,14.0,10.0,0.375,1.005655,-0.000791,9,590.6,590.81,590.11,590.56,8168.0,325.0,590.490775,0.3735543916,0.2617072825,0.1310252541,-0.0095890725,41.7364427076,1.0164834198,31.2704350209,-0.4048100672,596.5209838282,5.9609838282,4.4547073764,1.3381314023,591.4080950695,0.8480950695,591.3321123886,0.7721123886,False,0.7,0.7745854364,0.7,10976.6086429599,357.8348171914,-6.773e-05,0.0011784112,0.4,0.4,0.815454377,27.2321479666,14.353408677,-0.3540952833,0.1315217174,-0.7961830749,-0.9356134343,0.4223001351,0.0002756725,-0.3874546574,0.1494680975,-0.8317952917,-0.9334508777,0.415038621,0.0002721854
META,2025-01-03,7,265,Short,14:13:00,14:13:00,14:30:00,0,,604.48,604.96675,,0,22,0,22,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0340555133,,0.0220702006,,-1.5430540862,,,,,,,,,0.0,-0.0202525408,0.0540900467,-0.0711249318,0.0,-0.0909902906,0.0777412045,-0.1224010454,0,7,0,8,604.57,0.7245,0.62097125,0.725641,0.274359,-0.638298,0.021113,-0.0,0.638298,1.566667,0.2385,0.2385,0.990762,1.002459,1.0,7.0,10.0,0.611111,0.591169,0.006696,11,604.27,604.57,604.1,604.57,10722.0,363.0,604.283911,0.025968699,0.0148956093,0.0046635187,0.0032047855,48.0037461483,-2.030795905,65.2095055926,2.0619281149,602.5596051491,-2.0103948509,3.0025943646,-0.6695525958,604.6318097899,0.0618097899,604.6280011551,0.0580011551,False,0.47,0.4138065747,0.46,10821.9755461987,344.0241519691,0.0004132716,0.0005203756,0.2315,0.2315,0.4127916092,24.1063866942,13.8798858425,0.1247673631,0.2341159832,-2.6791758976,0.6111344534,0.5002467144,0.0004133149,0.0602005244,0.2292866764,-2.7002594969,0.2421003648,0.5266480275,0.000409533
META,2025-01-03,9,251,Long,14:55:00,14:55:00,15:01:00,0,,606.05,605.6155700000002,,0,24,0,24,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0700400965,,0.0428685585,,-1.6338337213,,,,,,,,,0.0,-0.0107834017,0.0249448915,-0.1564562027,0.0,-0.1564562027,0.0382477829,-0.1977070471,0,6,0,6,606.0482,0.4448775,0.4398503571,0.833333,0.166667,0.024848,-0.068174,-0.010163,0.024848,40.243902,0.13,0.2201,0.991336,0.99787,1.0,1.0,13.0,0.162162,2.290008,-0.002212,12,606.04,606.28,605.95,606.0482,11887.0,357.0,606.12964,0.0304576832,0.086591455,-0.0547253141,-0.0007042288,54.1194630257,-1.0149678037,33.5972044373,-6.8266093579,602.7539550963,3.2942449037,2.9966818118,1.0992975266,605.7980021848,0.2501978152,605.8266396083,0.2215603917,True,0.33,0.2545572021,0.2579,11990.8919528798,361.4462438946,8.77856e-05,0.0002206834,0.2,0.1099,0.2551006661,32.9907012741,4.0798019731,-0.3860469868,0.221376659,-2.518032257,-0.7778350469,0.4434921636,0.0005256345,-0.3161471555,0.1829036936,-2.5606606922,-0.517393989,0.4240459324,0.0003988002
META,2025-01-06,0,112,Long,11:41:00,11:41:00,11:46:00,0,,623.19,622.0125700000001,,0,47,0,47,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0688210277,,0.0452764329,,-1.5200187675,,,,,,,,,0.0,0.0459160658,0.2384788651,-0.1749374077,0.0,-0.1749374077,0.1275919625,-0.2022212236,0,5,0,5,623.08,1.06743,1.06743,0.335897,0.664103,0.299559,0.0,0.0,0.299559,3.338235,0.815,0.815,1.134843,1.031828,1.0,7.0,7.0,0.789474,0.458123,-0.009209,15,622.74,623.875,622.74,623.08,26517.0,817.0,623.329774,0.05513669,0.0278477231,-0.031681225,0.029485096,54.9290493915,2.9809964913,52.6065410122,5.4962701322,614.3510023449,8.7289976551,4.790146245,1.8222820784,622.2376604573,0.8423395427,622.2823589033,0.7976410967,True,1.135,0.6910473886,0.6188,23366.226031604,623.2423434549,0.0004494815,0.0006470796,0.32,0.32,0.6697308775,28.5801710943,22.1395520986,-0.5306282421,0.111894612,1.943355237,-1.0,0.257694267,0.0003229587,-0.3739655157,0.0897021174,1.3285853104,-1.0,0.3334553604,0.0002718015
META,2025-01-08,8,243,Long,14:34:00,14:34:00,14:37:00,0,,613.25,611.9881249999999,,0,26,0,26,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,3,,,,,,,,,,,,,-0.139030589,,0.0253850095,,-5.4768775561,,,,,,,,,0.0,-0.0393324572,0.0208412461,-0.1876080786,0.0,-0.1876080786,0.0407680512,-0.1876080786,0,3,0,3,612.98,0.991875,0.991875,0.779487,0.220513,0.240032,-0.079622,-0.021373,0.240032,4.166111,0.5399,0.5399,1.180774,1.06188,11.0,15.0,40.0,0.245902,1.853429,0.006026,15,612.8,613.2299,612.48,612.98,15613.0,359.0,612.753268,0.0067591197,0.1918799748,-0.1279589835,-0.0285809358,49.3723732286,-2.1082610404,58.3240030268,-7.949712816,611.2532441383,1.7267558617,2.3110643251,0.7471691043,612.836953208,0.143046792,612.872455533,0.107544467,True,0.7499,0.6822515354,0.546,13222.6865813025,370.3750085957,-3.1485e-05,0.0009125434,0.21,0.21,0.642493849,32.1179478004,-11.144281616,-0.2845268403,0.2027824885,-2.913446779,-0.9154765456,0.3274603452,0.0003006102,-0.3179482905,0.1783208836,-2.899040121,-0.9172238314,0.3300392624,0.0003044211
META,2025-01-08,9,243,Long,14:37:00,14:37:00,14:40:00,0,,612.04,611.7581249999998,,0,22,0,22,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0901995904,,0.040529191,,-2.2255462856,,,,,,,,,0.0,-0.1072156018,0.0171135456,-0.0220649527,0.1503685664,-0.0220649527,0.1961329127,-0.0294199369,1,3,0,3,611.83,0.991875,0.991875,0.787179,0.212821,-1.0,0.0,0.0,1.0,1.0,0.792,0.99,0.990453,1.118163,14.0,18.0,40.0,0.234375,1.853429,0.006026,15,613.03,613.03,611.83,611.83,11123.0,378.0,612.375354,-0.3307004358,-0.1387333414,-0.15541867,-0.0182742122,40.5956678825,-6.0377495427,39.1335890656,-14.053595299,611.2583072707,0.5716927293,2.308170197,0.2476822246,612.7951425066,-0.9651425066,612.7811059139,-0.9511059139,False,1.2,0.7368606252,0.665,11230.2165861236,343.9504489945,-0.0018044283,0.0010474589,0.408,0.21,0.6589919252,32.7199378818,-24.2869117349,0.1048710128,0.2084711,-2.9612897643,-0.4403223456,0.638169512,0.0003048023,0.052048597,0.209110529,-2.9575638885,-0.3914817589,0.696075118,0.0002942181
META,2025-01-13,0,75,Long,11:50:00,11:50:00,11:53:00,0,,604.23,603.0898325,,0,24,0,24,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.1220282402,,0.0635556542,,-1.9200217774,,,,,,,,,0.0,-0.043351011,0.0334436614,-0.1783600804,0.0,-0.1783600804,0.0521423901,-0.2110525314,0,3,0,3,604.115,1.0251675,1.0251675,0.358974,0.641026,0.304613,0.0,0.0,0.304613,3.282857,0.3295,0.3295,1.222625,0.770396,1.0,1.0,26.0,0.153846,0.926761,-0.003903,10,603.94,604.43,603.8555,604.115,14373.0,418.0,604.172054,0.0422461549,0.0486307817,-0.0160226854,0.0048190293,52.3305888478,1.9085499895,68.2928861725,1.3650217143,603.6147538417,0.5002461583,2.1285356689,0.235018922,603.88591974,0.22908026,603.8494105557,0.2655894443,True,0.5745,0.5738549989,0.59,11755.8529202519,376.1824810936,0.0002731641,0.0008183985,0.245,0.245,0.7448832757,21.0937054653,13.4686411212,-0.2105667781,0.2159366927,-2.9678760671,-0.9094608987,0.735657841,0.000171512,-0.1982221896,0.2152573324,-2.9551348955,-0.869920518,0.3976775076,0.0002049167
META,2025-01-13,6,218,Long,13:31:00,13:31:00,13:44:00,0,,607.05,606.3201625000002,,0,23,0,23,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,4,,,,,,,,,,,,,-0.1063463712,,0.038047216,,-2.7951157108,,,,,,,,,0.0,0.0789173205,0.052381031,-0.1334563548,0.0421128942,-0.1334563548,0.0609450687,-0.1673476785,9,13,0,1,606.94,0.7933275,0.8866376786,0.617949,0.382051,0.517669,0.0,0.0,0.517669,1.931738,0.4844,0.4844,1.723245,1.122729,1.0,15.0,8.0,0.478261,1.49102,-0.007335,11,606.543,607.3099,606.543,606.94,19871.0,546.0,606.968139,0.2032385663,0.0087234556,0.0897163695,0.0523993706,58.2922270025,6.8095026539,60.6103650354,6.1977029276,603.6505161919,3.2894838081,2.1426617386,1.5352324395,605.9387924397,1.0012075603,605.9651941716,0.9748058284,True,0.7669,0.61491408,0.5505,11531.1538476278,351.3013798323,0.000624639,0.0007164864,0.2825,0.2825,0.5476957282,31.197911763,34.5586710092,-0.4627373977,0.1376354501,-2.7576107244,-0.993792085,0.4106742704,0.0002191644,-0.4440650383,0.1058125886,-2.5865803135,-0.9942095763,0.3144118143,0.0002263537
META,2025-01-13,12,211,Long,14:49:00,14:49:00,14:53:00,0,,606.73,605.6437500000001,,0,33,0,33,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.1590748855,,0.074260284,,-2.1421260065,,,,,,,,,0.0,-0.1801025297,0.0478638133,-0.2077767884,0.0,-0.2077767884,0.114607038,-0.2077767884,0,4,0,4,606.42,0.77625,0.77625,0.817949,0.182051,-0.510067,0.0,0.0,0.510067,1.960526,0.3214,0.4345,1.416546,1.228674,11.0,11.0,59.0,0.175926,1.724364,-0.001987,19,606.8,607.115,606.37,606.42,23116.0,589.0,606.772867,-0.158211335,0.1163060784,-0.1358153625,-0.0693510255,42.8677274035,-9.6636609929,54.9549221051,-8.4506799993,604.0270527996,2.3929472004,2.2792705034,1.0498741579,607.1528151276,-0.7328151276,607.1225982249,-0.7025982249,False,0.745,0.6243370252,0.465,16318.5630465697,442.5603249902,-0.0004214013,0.000698817,0.4236,0.3105,0.5081390196,46.2178553993,-22.8793323074,0.1394824773,0.2450362081,-2.944183391,0.6720503602,0.5824376138,0.0003215826,0.0679028904,0.2103334301,-2.9022455718,0.5470662598,0.524694586,0.0003169266
META,2025-01-14,1,107,Long,11:29:00,11:29:00,11:39:00,0,,595.33,594.1794225,,0,49,0,49,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.1861266092,,0.0898111693,,-2.0724216226,,,,,,,,,0.0,0.0736595951,0.2270990628,-0.2183993011,0.0159599489,-0.2183993011,0.1276795914,-0.2469592097,7,10,0,10,595.24,1.63875,1.3993670455,0.305128,0.694872,-0.243857,0.0,0.0,0.243857,4.100761,0.6684,0.6684,1.38314,0.807183,3.0,3.0,3.0,0.666667,0.544331,-0.022533,8,595.5159,596.0,594.8686,595.24,37893.0,887.0,595.604236,0.4724369078,0.5519886891,-0.0308095601,-0.0243711106,62.2234698717,-2.4574441474,61.9477192744,-4.1360747063,598.239252261,-2.999252261,3.8787457936,-0.7732531134,594.2739470273,0.9660529727,594.3172129817,0.9227870183,True,1.1314,0.823359937,0.7746,27396.3620042272,665.9109163211,-0.0004534957,0.0009376373,0.463,0.463,1.020041566,28.0378275763,3.8610437428,-0.0107183919,0.0973419185,-2.706734421,-0.3087852521,0.3023081456,0.0002038632,0.0521173309,0.0954591039,-2.6432870213,-0.1905791719,0.2970686219,0.0001702119
