sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
NVDA,2025-01-03,4,205,Long,13:44:00,13:44:00,13:49:00,0,,144.64,144.457,,0,207,0,207,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0926305241,,0.059238545,,-1.5636866861,,,,,,,,,0.0,-0.020366327,0.087250284,-0.1279126046,0.0235082625,-0.1279126046,0.1071700201,-0.1521122865,1,5,0,5,144.63,0.22425,0.2113125,0.651282,0.348718,-0.678788,0.0,0.0,0.678788,1.473214,0.095,0.095,1.225407,1.007606,9.0,9.0,25.0,0.326531,1.528888,0.000227,16,144.742,144.785,144.62,144.63,373639.0,2623.0,144.717792,0.0337189882,0.0680646752,-0.0167289472,-0.0088083699,54.6079246326,-7.8306912248,75.9925686683,-6.3816631272,143.0327255856,1.5972744144,1.2650352769,1.2626323104,144.615145758,0.014854242,144.6098249907,0.0201750093,True,0.165,0.1234924864,0.13,304910.1345333326,2573.2546709791,-0.0007879077,0.0005760099,0.07,0.07,0.1225603329,38.029938812,-10.4280327801,-0.3649741767,0.3644689549,-2.694488109,-0.6911954312,0.7443634268,0.0008772442,-0.2731003084,0.285102634,-2.8502771164,-0.7135702519,0.6450235591,0.0008653818
NVDA,2025-01-06,2,148,Short,12:46:00,12:46:00,12:55:00,0,,151.16,151.42704999999995,,0,197,0,197,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0907560676,,0.0504848835,,-1.7976879693,,,,,,,,,0.0,-0.0822621577,0.07005491,-0.226039454,0.0,-0.226039454,0.1377934395,-0.2591151716,0,9,0,9,151.1683,0.25875,0.25875,0.502564,0.497436,-0.372857,-0.0,-0.0,0.372857,2.681992,0.12,0.12,0.85647,0.970499,8.0,8.0,40.0,0.125,0.951972,0.000665,6,151.09,151.17,150.96,151.1683,260980.0,3094.0,151.034874,0.0296732712,0.0500527097,0.0012446149,-0.0108120267,47.3595932166,-4.8337437218,36.2238606824,-1.2839984566,150.3435255668,-0.8247744332,1.2540974478,-0.6576637522,151.1669500949,-0.0013499051,151.1650604838,-0.0032395162,True,0.21,0.1619873906,0.14,304715.7415915368,2785.7166517065,0.0004850076,0.000727739,0.09,0.09,0.1669114468,23.8933835196,11.0361110433,-0.083346406,0.3456151378,-2.9335449957,0.0783666906,0.71462502,0.0011436097,-0.086408686,0.3474903262,-2.9352894023,0.0215507898,0.7266470254,0.0014674707
NVDA,2025-01-06,4,59,Long,13:32:00,13:32:00,13:38:00,0,,151.75,151.5209225,,0,196,0,196,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.0658304594,,0.0433802334,,-1.5175220214,,,,,,,,,0.0,0.0439115683,0.0330886817,-0.1812250816,0.0,-0.1812250816,0.0626050282,-0.2141750964,0,6,0,6,151.745,0.25875,0.2488435714,0.620513,0.379487,0.5625,-0.031107,0.0,0.5625,1.777778,0.1248,0.16,1.666565,0.818482,2.0,3.0,157.0,0.076503,2.428867,-0.000468,14,151.61,151.84,151.6,151.745,490758.0,3743.0,151.751359,0.0693787949,0.0706628735,-0.0032230127,0.0009694671,58.8536255096,2.5738175008,71.2963949621,-3.0226471911,150.440333238,1.304666762,1.2380642605,1.0537956741,151.5201808908,0.2248191092,151.5233263913,0.2216736087,True,0.24,0.1609266408,0.15,294472.6947584854,2626.7426248109,0.0008900464,0.0007020551,0.1152,0.08,0.1966159658,18.1385446344,13.650569327,-0.4011660711,0.3563508983,-2.9118762488,-0.8620304588,0.7478279374,0.001089106,-0.3704419858,0.3144959454,-2.916648367,-0.8683007965,0.7211254497,0.0012671379
NVDA,2025-01-06,6,301,Short,15:18:00,15:18:00,15:25:00,0,,150.15,150.41635999999997,,0,198,0,198,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0925059151,,0.0641777283,,-1.4414021427,,,,,,,,,0.0,-0.0774046318,0.0275659698,-0.2264251465,0.0332978157,-0.2264251465,0.1298614811,-0.2597229622,1,7,0,7,150.16,0.353625,0.312268125,0.892308,0.107692,-0.465116,-0.0,-0.0,0.465116,2.15,0.095,0.095,1.057875,0.877553,2.0,2.0,43.0,0.170213,1.881161,0.000534,8,150.06,150.18,149.965,150.16,361610.0,2814.0,150.082354,-0.0181674874,-0.0355366266,0.007787195,0.0047909721,50.9679566975,-0.9473751041,48.7505200973,-0.327557332,150.4349968863,0.2749968863,1.1420386607,0.2407947259,150.1322434498,-0.0277565502,150.1336357697,-0.0263642303,True,0.215,0.1904983963,0.1897,341826.6506251168,2863.0952193369,0.0006661782,0.0008317199,0.12,0.12,0.2170791529,17.0849478183,8.6404564397,-0.1358734502,0.326946261,-2.9807261373,-0.4980884684,0.6963459045,0.0008415411,-0.1298315387,0.3492856358,-2.9823370371,-0.7147782502,0.742407257,0.0009990517
NVDA,2025-01-08,5,142,Short,14:07:00,14:07:00,14:09:00,0,,140.32,140.6108275,,0,212,0,212,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.1785425118,,0.0810734146,,-2.2022325397,,,,,,,,,0.0,-0.2524032743,0.0272047515,-0.203085474,0.0,-0.203085474,0.1460790252,-0.2387145046,0,2,0,2,140.335,0.2758275,0.2758275,0.710256,0.289744,-0.05,-0.0,-0.0,0.05,20.0,0.039,0.092,1.183593,1.215218,20.0,21.0,105.0,0.096296,2.814961,-0.00018,13,140.32,140.43,140.13,140.335,432109.0,3871.0,140.305992,-0.0955785027,-0.0303640446,-0.0428279548,-0.0111932516,61.7870611326,-4.8871868036,65.4646249777,-2.1449088991,140.8977508326,0.5627508326,1.2801574094,0.4395950283,140.0850165368,-0.2499834632,140.0980616314,-0.2369383686,True,0.3,0.2538822613,0.25,365082.3833236535,3414.3026205862,4.98819e-05,0.0008200687,0.261,0.208,0.2089190976,28.2427941168,-16.964588165,0.1955238982,0.3404033616,-2.888843603,0.8583247633,0.7447061985,0.0009355518,0.1790964321,0.3127957164,-2.8915274838,0.7530459608,0.7348769226,0.0008996493
NVDA,2025-01-08,7,144,Short,14:17:00,14:17:00,14:25:00,0,,140.27,140.5758275,,0,212,0,212,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.0667160946,,0.0560594185,,-1.1900960876,,,,,,,,,0.0,-0.1290511265,0.0169296353,-0.2138275125,0.0,-0.2138275125,0.1781895937,-0.2779757662,0,8,0,8,140.3,0.2758275,0.2758275,0.735897,0.264103,-0.228571,0.013093,-0.0,0.228571,4.375,0.1407,0.1407,0.868563,1.146096,30.0,31.0,105.0,0.076923,2.588567,-0.000122,11,140.22,140.4,140.05,140.3,443768.0,3659.0,140.229781,0.024631254,0.0177520828,0.0372374724,-0.0151791506,49.4003042104,-3.1994959443,62.2418530258,1.2522728489,140.8822753862,0.5822753862,1.2625499078,0.4611899954,140.2183912496,-0.0816087504,140.2219101944,-0.0780898056,True,0.35,0.3214781718,0.3,510921.9169910002,4043.8934322534,0.0006416884,0.0015935902,0.2093,0.2093,0.2804985106,25.636715918,-3.7248417116,0.1006036375,0.3516229904,-2.9144015342,0.8310711389,0.7871377598,0.0008357616,0.1149237663,0.3270718479,-2.9167223689,0.6765883675,0.7566478346,0.0007942958
NVDA,2025-01-10,4,197,Long,14:29:00,14:29:00,14:44:00,0,,136.28,136.09850000000003,,0,218,0,218,Long Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,3,,,,,,,,,,,,,-0.1309296187,,0.0736231004,,-1.7783768683,,,,,,,,,0.0,0.0063245629,0.0022370904,-0.1761209364,0.0513686064,-0.1761209364,0.0807220958,-0.205401042,12,15,13,15,136.27,0.23736,0.2232365625,0.766667,0.233333,-0.4,0.006354,0.008368,0.4,2.5,0.01,0.02,0.931287,0.852945,1.0,1.0,100.0,0.039216,1.372207,-0.000312,4,136.31,136.36,136.26,136.27,220860.0,2027.0,136.309844,0.0757021327,0.0419820846,0.0326743205,0.0005228638,60.4132755683,0.8074334614,65.4102096583,0.6060893625,135.9024230603,0.3675769397,0.8332195212,0.4411525778,136.1748456116,0.0951543884,136.1722771611,0.0977228389,True,0.1,0.1445556988,0.1376,237155.7669022012,2247.4267936208,-0.0002927582,0.0006231776,0.09,0.08,0.1694782434,32.4906415193,21.5114571471,0.0067267888,0.3534949086,-2.9855098991,-0.2676936926,0.7168296075,0.0009811011,0.0333833994,0.3585995859,-2.9845310855,-0.0946126926,0.7375844754,0.0010171485
NVDA,2025-01-10,5,290,Short,14:50:00,14:50:00,14:56:00,0,,135.96,136.20269999999996,,0,218,0,218,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.0917375837,,0.0398746983,,-2.3006464633,,,,,,,,,0.0,0.0168177174,0.0345441117,-0.2160910613,0.0,-0.2160910613,0.0376578024,-0.2271236206,0,6,1,6,135.9612,0.2415,0.2464039286,0.820513,0.179487,0.453333,-0.0,-0.0,0.453333,2.205882,0.145,0.16,1.472177,0.992717,1.0,5.0,25.0,0.566667,0.809427,-0.000299,17,136.07,136.19,135.95,135.9612,307893.0,2779.0,136.048213,0.0521597264,0.0331882075,0.0115522666,0.0037096261,40.0631122545,4.8883340338,33.6759835302,9.8089303948,135.9092570965,-0.0519429035,0.8229449407,-0.0631183217,136.1424033328,0.1812033328,136.1407751897,0.1795751897,False,0.24,0.1513572025,0.1599,209141.3176290644,2050.8438087396,-0.0008366534,0.0006014737,0.095,0.08,0.1524675551,19.0552614,-2.310762027,-0.3232270029,0.3384829042,-2.9877621399,-0.9087956068,0.7829008199,0.0010710905,-0.3543373801,0.3649372214,-2.9871835117,-0.9511239953,0.8022839666,0.0010500583
NVDA,2025-01-13,11,191,Short,13:59:00,13:59:00,14:01:00,0,,132.1,132.29437750000002,,0,223,0,223,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,1,,,,,,,,,,,,,-0.1199193934,,0.0552987113,,-2.1685748302,,,,,,,,,0.0,0.0577663555,0.0067667444,-0.1477614742,0.0,-0.1477614742,0.0566217125,-0.1553312219,0,2,0,2,132.1048,0.1895775,0.1895775,0.689744,0.310256,-0.272222,0.089016,-0.0,0.272222,3.673469,0.02,0.02,1.054833,0.859229,1.0,1.0,3.0,0.269231,1.737107,-7e-05,21,132.0803,132.12,132.03,132.1048,181394.0,1855.0,132.079809,0.0701689439,0.0643122462,0.0113292894,-0.0027362959,37.1104855538,-0.5450501451,36.1719174622,8.9066974712,131.5974973606,-0.5073026394,0.7754032425,-0.6542436395,132.2609810953,0.1561810953,132.2624189634,0.1576189634,False,0.09,0.1140848514,0.1,171964.59378293,1835.0891027573,0.0001362647,0.0006385898,0.07,0.07,0.1327758141,34.993625835,19.8103307705,-0.1823237217,0.3658439461,-2.9517467402,-0.6280819769,0.7694661575,0.0014937413,-0.1821322658,0.3613305826,-2.9672031014,-0.3796029923,0.7969335937,0.0020129718
NVDA,2025-01-13,15,145,Short,14:50:00,14:50:00,14:56:00,0,,131.99,132.25375000000003,,0,223,0,223,Short Unentered,0.0,0.0,0.0,0,0,0,0,,,,,0.0,,0,2,,,,,,,,,,,,,-0.1327549876,,0.0503961627,,-2.6342280925,,,,,,,,,0.0,0.0845771239,-0.0031700634,-0.2197052919,0.0,-0.2197052919,0.041668245,-0.2300087125,0,6,0,6,131.995,0.2415,0.2488928571,0.820513,0.179487,0.674419,-0.0,-0.0,0.674419,1.482759,0.085,0.17,1.539044,1.213968,1.0,2.0,124.0,0.177143,1.892577,-9.1e-05,31,132.14,132.155,131.94,131.995,388323.0,3528.0,132.029151,0.0899077697,0.0383403609,0.0368947888,0.00733631,38.4635352789,4.6220447073,38.8237679671,6.4333635839,131.6372747956,-0.3577252044,0.7606279559,-0.4703024674,132.2426066831,0.2476066831,132.2337441054,0.2387441054,False,0.215,0.1626145116,0.14,252314.3548971503,2386.5170255356,-0.0010971667,0.000878652,0.13,0.045,0.1339529197,43.7278684835,31.4626949934,-0.2781107737,0.3682907846,-2.9812500292,-0.7081566668,0.6976858712,0.0022019199,-0.2603913308,0.3770893084,-2.9869532245,-0.7080542315,0.7140790214,0.0022398954
